Zeelandic	Palatine German	probability
ˈɛː_ɫ	ˈo	1.0
ˈɛː_n	ˈɑ̃ː	1.0
ˈɒː	ˈɑ	1.0
ˈɑu̯	ˈɑ_l	1.0
ˈøː_n	ˈõː	1.0
ˈæi̯	ˈɛː	1.0
ˈuː_n	ˈĩː	1.0
ˈiːə̯	ˈiː	1.0
ˈiː_n	ˈẽː	1.0
ˈeː_x	ˈɑ̃ɪ̯	1.0
ʋ	β	1.0
ɾ_ə	ɐ	1.0
ɾ_t	ɐ_ʣ̥	1.0
ɾ_d̥	ɐ_d̥	1.0
ɫ_v̥	l_f	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ə_ɾ	ɐ	1.0
ə_n	ə	1.0
z̥	s	1.0
x_ə	ɣ̊	1.0
x_t	x_d̥	1.0
v_ə	β	1.0
t_ə	s	1.0
s_x	ʃ	1.0
s_t	ʃ_d̥	1.0
p_ə	f_ə	1.0
n_ə	n	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
k_ə	x	1.0
iː	eː	1.0
i	ɪ	1.0
d̥	d̥	1.0
d_ˈʊə̯	d̥_ˈoː	1.0
d_ɾ	d̥_r	1.0
b	b̥	1.0
n	n	0.91
z	s	0.894
v	f	0.873
ˈɑ	ˈɑ	0.856
d	d̥	0.855
s	ʃ	0.839
ŋ	ŋ	0.776
ˈyː	ˈau̯	0.757
ˈɪ	ˈɪ	0.74
j	j	0.665
ɾ	ɐ	0.654
ˈu	ˈu	0.644
x	ɡ̊	0.642
ˈæ	ˈɛ	0.636
ˈuː	ˈuː	0.633
p	f	0.622
ˈiː	ˈiː	0.575
ə	-	0.549
k	kʰ	0.528
ˈɪə̯	ˈɛː	0.521
ˈi	ˈɪ	0.503
ˈi	ˈaɪ̯	0.497
ˈɔ	ˈu	0.492
ˈɛː	ˈoː	0.459
ˈeː	ˈɛ	0.451
t	s	0.436
ˈʏ	-	0.426
ə	ə	0.424
t	ʣ̥	0.416
ˈɔ	ˈɔ	0.396
p	b̥	0.378
ˈuː	-	0.367
ˈæ	-	0.364
ˈeː	-	0.361
ˈu	ˈuː	0.356
k	ɡ̊	0.344
ˈøː	ˈu	0.343
ˈøː	-	0.343
j	-	0.335
ˈʏ	ˈu	0.324
ˈøː	ˈoː	0.314
ɾ	r	0.307
ˈʊə̯	ˈɑː	0.304
ˈiː	ˈaɪ̯	0.285
ˈɪə̯	-	0.277
ˈʊə̯	ˈoː	0.257
ˈʏ	ˈɔ	0.25
ˈʊə̯	ˈɔ	0.236
ŋ	ʃ	0.224
ˈɛː	ˈɑː	0.206
ˈʊə̯	-	0.203
ˈɪə̯	ˈeː	0.202
ˈyː	ˈaɪ̯	0.192
ˈeː	ˈɪ	0.189
s	-	0.161
ˈɪ	ˈaɪ̯	0.15
t	d̥	0.148
ˈɑ	ˈɑː	0.144
v	β	0.127
ˈɛː	ˈɛː	0.126
x	ɣ̊	0.121
ˈɔ	-	0.112
ˈɪ	-	0.11
z	ʃ	0.106
x	ʃ	0.105
ˈɛː	ˈɑ	0.1
ˈiː	-	0.095
n	-	0.09
k	ʃ	0.088
x	j	0.085
d	r	0.075
d	d̥_r	0.07
ˈɛː	-	0.056
ˈɛː	h_ˈɑ	0.053
ˈyː	ˈau̯̯	0.051
