Luxembourgish	Saterland Frisian	probability
b	b	1.0
d	d	0.716
d	t	0.167
d	-	0.09
e	ɪ	0.131
f	f	0.64
f	p	0.236
f	x	0.069
f	-	0.045
h	h	1.0
j	j	0.508
k	k	0.558
k	x	0.171
k	-	0.129
k	ɣ	0.129
kʰ	k	0.695
kʰ	s	0.265
kʰ	-	0.045
l	l	0.942
l	l_j	0.042
m	m	1.0
n	n	0.538
n	-	0.46
p	p	0.922
p	d	0.053
s	t	0.422
s	s	0.37
s	z	0.122
s	t_ə	0.077
t	t	0.541
t	d	0.407
t	-	0.047
tʰ	t	1.0
v	v	0.779
v	ɣ	0.099
v	w	0.065
v	-	0.056
w	v	0.874
w	w	0.114
z	s	0.928
z	z	0.073
ŋ	ŋ	0.787
ŋ	n	0.197
ɐ	r	0.576
ɐ	ə_r	0.367
ɐ	-	0.045
ɐ	r_ə	0.037
ɐ_t	d	1.0
ɕ	x	0.6
ɕ	k	0.212
ɕ	k_ə	0.134
ɕ	-	0.058
ə	ə	0.521
ə	-	0.238
ə	j_ə	0.116
ə	ɪ	0.068
ɡ	ɣ	0.627
ɡ	j	0.171
ɡ	-	0.085
ɡ	ɡ	0.085
ʀ	r	0.888
ʀ	z	0.044
ʀ	-	0.041
ʀ	r_j	0.041
ʃ	s	0.544
ʃ	s_k	0.433
ʃ	x	0.036
ʑ	ɣ	0.508
ʦ	t	1.0
ˈaː	ˈoː	0.314
ˈaː	ˈɔː	0.159
ˈaː	ˈaː	0.084
ˈaː	ˈɛ	0.078
ˈaː	ˈɛː_r	0.052
ˈe	j	0.349
ˈe	ˈɛː	0.297
ˈe	ˈɪ	0.259
ˈe	ˈɛɪ̯	0.078
ˈeː	ˈeː	0.47
ˈeː	ˈaː	0.137
ˈeː	ˈɛɪ̯	0.137
ˈeː	ˈi	0.079
ˈeː	ˈoː	0.079
ˈi	ˈɪ	0.196
ˈi	a	0.196
ˈi	ˈɛɪ̯	0.142
ˈi	ˈuː	0.131
ˈi	ˈoː	0.131
ˈiə̯	ˈeː	0.538
ˈiə̯	ˈi	0.229
ˈiə̯	ˈiːu̯	0.229
ˈiː	ˈʊ	0.259
ˈiː	ˈɛː	0.171
ˈiː	ˈɪ	0.12
ˈiː	ˈiː	0.096
ˈiː	ˈɔː	0.092
ˈo	ˈʊ	0.419
ˈo	ˈoːu̯	0.291
ˈo	ˈɔ	0.142
ˈo	ˈuː	0.096
ˈoː	ˈɔː	0.259
ˈoː	ˈɛɪ̯	0.226
ˈoː	ˈiː	0.158
ˈoː	ˈoː	0.115
ˈoː	ˈaːi̯	0.104
ˈu	ˈuː	0.366
ˈu	ˈoːu̯	0.319
ˈu	ˈɛ	0.143
ˈu	ˈoː	0.143
ˈuə̯	ˈɔː	0.437
ˈuə̯	ˈoːu̯	0.219
ˈuə̯	ˈa	0.147
ˈuə̯	ˈoː	0.147
ˈuː	ˈɔː	0.574
ˈuː	ˈʊ	0.192
ˈuː	ˈoːu̯	0.112
ˈæ	ˈɛː	0.574
ˈæ	ˈoːu̯	0.292
ˈæɪ̯	ˈi	0.574
ˈæɪ̯	ˈiː	0.292
ˈæːɪ̯	ˈi	0.579
ˈæːɪ̯	ˈɛɪ̯	0.187
ˈæːɪ̯	ˈyː	0.123
ˈæːɪ̯	ˈiː	0.092
ˈæːʊ̯	ˈuː	0.843
ˈæːʊ̯	ˈɛɪ̯	0.135
ˈɑ	ˈɪ	0.235
ˈɑ	ˈoːu̯	0.207
ˈɑ	ˈɔ	0.148
ˈɑ	ˈiː	0.101
ˈɑ	ˈoː	0.067
ˈɑɪ̯	ˈuː	0.351
ˈɑɪ̯	ˈiː	0.158
ˈɑɪ̯	ˈɛɪ̯	0.158
ˈɑɪ̯	j_ˈuː	0.152
ˈɑɪ̯	ˈi	0.115
ˈɔ	ˈʊ	0.385
ˈɔ	ˈu	0.195
ˈə	ˈɪ	0.273
ˈə	ˈɔ	0.141
ˈə	ˈi	0.141
ˈə	ˈiː	0.123
ˈə	ˈɔː	0.099
ˈəɪ̯	ˈeː	0.294
ˈəɪ̯	ˈɛɪ̯	0.224
ˈəɪ̯	ˈoː	0.151
ˈəɪ̯	j_ˈoː	0.103
ˈəɪ̯	ˈiː	0.078
ˈəʊ̯	ˈoː	0.617
ˈəʊ̯	ˈoːu̯	0.209
ˈəʊ̯	ˈu	0.158
ˈɛ	ˈɛ	0.723
ˈɛ	ˈeː	0.211
ˈɛː	ˈɛɪ̯	0.461
ˈɛː	ˈiː	0.304
ˈɛː	ˈaː	0.177
ˈʊ	ˈoːu̯	0.608
ˈʊ	ˈuː	0.204
ˈʊ	ˈʊ	0.075
ˈʊɪ̯	ˈɔ	0.258
χ	k	0.474
χ	x	0.331
χ	-	0.153
