Western Lombard	Western Lombard	probability
ˈɛ_#>	ˈe_#>	1.0
ˈɑː_t	ˈa_tː	1.0
ˈɑː_r	ˈa_ɾ	1.0
ˈɑː	ˈa	1.0
ˈœ	w	1.0
ˈỹ	ˈu_n	1.0
ˈy	ˈu	1.0
ˈoː	ˈɔ	1.0
ˈo	ˈɔ	1.0
ˈĩ	ˈi_n	1.0
ˈi_#>	ˈi_#>	1.0
ˈa_v	ˈa_p	1.0
ˈa_#>	ˈa_#>	1.0
ʃ	ʧː_ˈi	1.0
ɛ	-	1.0
y	u	1.0
w	w	1.0
ũ	-	1.0
s_p	ʃ_p	1.0
s_k	ʃ_k	1.0
r_t	ɾ_t	1.0
r_n	ɾ_n	1.0
p_r	p_ɾ	1.0
p_j	k_j	1.0
p	p	1.0
o	-	1.0
l_a	ə	1.0
k_r	k_ɾ	1.0
k_a	kː_ə	1.0
ĩ	-	1.0
f_j	ʃ	1.0
f_#>	v_ə_#>	1.0
ẽ	v_ə	1.0
e_n	ə_n	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_j	1.0
<#_ʒ	<#	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_a	1.0
#>	ə_#>	1.0
k	k	0.949
f	f	0.944
v	v	0.889
ˈyː	ˈu	0.857
ˈøː	ˈɔ	0.833
z	-	0.833
ˈa	ˈa	0.8
a	ə	0.781
ˈiː	ˈi	0.778
m	m	0.778
j	ʎː	0.778
i	i	0.75
r	ɾ	0.727
r_#>	ə_#>	0.714
n	n	0.714
t	t	0.686
ˈẽ	ˈɛ_n	0.667
ˈã	ˈa_n	0.667
ʒ	ʤ	0.667
ɲ	ɲː	0.667
ˈu	ˈu	0.615
ˈeː	ˈe	0.5
u	u	0.5
l	l	0.5
s	s	0.48
ˈuː	ˈo	0.444
ˈɔ	ˈɔ	0.438
ˈɔ	w_ˈɔ	0.438
d	d	0.407
ʧ	ʃ	0.4
ɡ	ɡ	0.4
ɡ	-	0.4
ˈɛ	j_ˈɛ	0.387
ˈũ	ˈɔ_n	0.375
ˈũ	ˈu_n	0.375
ˈuː	ˈu	0.333
ˈi	ˈu	0.333
ˈi	ˈi_ɾ	0.333
ˈi	ˈi	0.333
ˈẽ	ˈɛ	0.333
ˈe	ˈɛ_ɾ	0.333
ˈe	ˈi	0.333
ˈe	-	0.333
ˈã	ˈa	0.333
ʒ	-	0.333
e	ə	0.333
d	t	0.333
ˈɛ	ˈɛ	0.323
ˈeː	ˈi	0.312
l	lː	0.312
u	-	0.3
r_#>	#>	0.286
e	ɾ	0.286
d	ɾ	0.259
ˈũ	ˈo_n	0.25
i	-	0.25
b	v	0.25
b	b_w	0.25
ˈu	ˈɔ	0.231
r	r	0.227
ˈuː	ˈu_p	0.222
ˈiː	i	0.222
ɲ	-	0.222
m	mː	0.222
j	-	0.222
a	a	0.219
ˈa	ˈa_ɾ	0.2
ʧ	kː_j	0.2
ɡ	k	0.2
u	a	0.2
t	tː	0.2
e	i	0.19
ˈeː	j_ˈɛ	0.188
b	b	0.188
b	-	0.188
s	ʃ	0.18
ˈøː	-	0.167
z	z	0.167
ˈɛ	ˈe	0.161
ˈu	ˈo	0.154
ʧ	tː	0.15
ˈyː	ˈo	0.143
n	ə	0.143
n	nː	0.143
ˈɛ	ˈi	0.129
ˈɔ	ˈo	0.125
l	-	0.125
b	bː	0.125
s	ʃː	0.12
ɲ	ɲ	0.111
v	p	0.111
ʧ	ʤː	0.1
ʧ	k_j	0.1
e	a	0.095
e	-	0.095
s	ʦː	0.08
s	sː	0.08
l	ə	0.062
t	d_ə	0.057
t	-	0.057
f	fː	0.056
k	ŋ_ɡ	0.051
