Neapolitan	Neapolitan	probability
ˈu_ʃ	ˈæ	1.0
ˈu_ɾ	ˈo	1.0
ˈi_n_ə_#>	ˈi_#>	1.0
ˈi_kː	ˈæ_k	1.0
ˈa_n_ə_#>	ˈa_#>	1.0
ʧː	-	1.0
ʧ	-	1.0
ʦː_ə	w	1.0
ʦ	-	1.0
ʤː	-	1.0
ʎː	ʎ	1.0
ʃː_ə	ʃ_e	1.0
ɾ_n	r_n	1.0
ɲː	ɲ	1.0
ɲ	-	1.0
ə_ɾ	ɾ	1.0
ə_l	e_l	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ˈɔ	ˈɒ	1.0
v_ə	w	1.0
t_ɾ	ɾ	1.0
sː_ə_#>	s_#>	1.0
rː	r	1.0
p_ə_#>	p_#>	1.0
n_ə_#>	#>	1.0
n_ə	n_ɐ	1.0
mː	m	1.0
m	m	1.0
l_ə_#>	l_#>	1.0
l	l	1.0
kː_j	ʎ	1.0
kː	k	1.0
k_ə_#>	k_#>	1.0
k_j	p_l	1.0
j_ˈu	ʤ_ˈu	1.0
j_ˈa	l_ˈa	1.0
fː	f	1.0
f	f	1.0
e_#>	#>	1.0
e	-	1.0
dː	-	1.0
d_ə	t	1.0
d	d	1.0
b	b	1.0
a	a	1.0
<#_ˈi	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_ˈu	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_j	<#_ʤ	1.0
<#_a	<#_a	1.0
<#	<#_r	1.0
n	n	0.92
s	s	0.88
ˈa	ˈa	0.87
k	k	0.867
tː	t	0.846
lː	ʎ	0.833
p	p	0.794
v	v	0.704
r	ɾ	0.667
ˈi	ˈi	0.645
ʤ	ʤ	0.625
t	t	0.61
o	-	0.6
#>	r_#>	0.6
u	o	0.583
ˈe	ˈæ	0.579
ˈɔ	ˈɒ	0.571
j_ˈɛ	ˈe	0.562
w	w	0.556
ɡ	ɡ	0.545
ˈu	ˈu	0.515
ʃː	s	0.5
ʃː	-	0.5
nː	n	0.5
nː	-	0.5
ʃ	s	0.48
ˈɛ	ˈe	0.474
ɾ	r	0.455
ˈo	ˈɒ	0.429
ˈu	ˈo	0.424
ˈɛ	ˈæ	0.421
o	o	0.4
i	-	0.4
ʤ	-	0.375
ɾ	ɾ	0.364
ˈo	ˈo	0.357
i	e	0.35
r	r	0.333
t	ð	0.317
ə	ɐ	0.286
ɡ	ɣ	0.273
u	u	0.25
j_ˈɛ	ˈæ	0.25
i	i	0.25
ʃ	e_s	0.24
ə	ɜ	0.224
w	l	0.222
w	-	0.222
ˈo	-	0.214
ʃ	-	0.2
#>	s_#>	0.2
ˈɔ	-	0.19
j_ˈɛ	ˈi	0.188
ɡ	k	0.182
ə	ɞ	0.173
u	-	0.167
lː	l	0.167
ˈi	ˈæ	0.161
ˈe	ˈe_j	0.158
tː	j_t	0.154
v	b	0.148
p	β	0.147
ɾ	-	0.145
ˈɔ	ˈu	0.143
ˈi	ˈe	0.129
s	-	0.12
ˈɛ	ˈæ_r	0.105
ˈe	ˈe	0.105
ˈe	-	0.105
ə	e	0.102
#>	t_#>	0.1
#>	e_#>	0.1
ˈɔ	w	0.095
ə	w	0.092
k	ɣ	0.089
ʃ	f_l	0.08
n	-	0.08
ˈa	ˈe	0.074
v	w	0.074
v	-	0.074
t	-	0.073
ˈi	ˈi_r	0.065
ˈu	w	0.061
p	s	0.059
ˈa	a	0.056
ˈe	ˈɛ	0.053
