Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʊ	-	1.0
ˈɑ_ɾ	ˈi̯ø	1.0
ˈœʏ̯	ˈɑi̯	1.0
ˈœ	-	1.0
ˈøː	ˈi	1.0
ˈæː	-	1.0
ʰpː	f	1.0
ʰkː	c	1.0
ʋ_ɑ	n	1.0
ʋ_e	v_ɛ	1.0
ʋ_#>	b̥_#>	1.0
ʉ	p	1.0
ɲ	ŋ	1.0
ɡː	-	1.0
ɡ_#>	ɡ̊_#>	1.0
ɛ	-	1.0
ɑ_#>	#>	1.0
ŋː	ŋ	1.0
tː	ʦ	1.0
sː	n_s	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
nː	n	1.0
m	m	1.0
k_#>	x_#>	1.0
k	ç	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_w	1.0
<#_d	<#_t	1.0
n	n	0.889
ɑ	a	0.806
ˈɪ	ˈɘ̟	0.8
ˈæɪ̯	ˈa	0.8
kʰ	k	0.8
e	-	0.8
l	w	0.773
ˈʉ	ˈu	0.769
ˈʏ	ˈɘ̟	0.75
ʂ	ʃ	0.75
t	s	0.75
ˈɔ	-	0.714
ʰtː	x_t	0.714
ɾ	r	0.705
ʋ	v	0.7
ə	ɛ	0.667
p	f	0.667
e_n	ə_t	0.667
ˈɑ	ˈɑ	0.647
ˈʉː	ˈɑi̯	0.643
ˈuː	ˈʏ	0.643
<#	<#_v	0.625
ˈæʉ̯	ˈu_t	0.6
ˈiː	ˈai̯	0.6
lː	w	0.6
ɡ	ɡ	0.588
ˈeː	-	0.556
ˈoː	ˈø	0.545
ˈyː	ˈɑi̯_ɛ	0.5
ˈyː	ˈi	0.5
ç	k	0.5
ç	-	0.5
tʰ	ʦ	0.5
s	z	0.5
ˈɑː	ˈɔ	0.444
ˈeː	ˈɑ	0.444
j	-	0.417
ˈæʉ̯	-	0.4
lː	w_d̥	0.4
<#	<#_w	0.375
s	ʃ	0.367
tʰ	d	0.357
ˈɑ	ˈɔ	0.353
ˈɑː	ˈɑ	0.333
ə	-	0.333
p	-	0.333
e_n	ɑ	0.333
ˈɛ	ˈɛ	0.308
ˈɛ	ˈa	0.308
ɡ	-	0.294
ˈɔ	ˈɑ	0.286
ʰtː	t	0.286
ˈoː	ˈei̯	0.273
ˈʏ	ˈu	0.25
ʂ	ʧ	0.25
ˈʉ	-	0.231
ˈɛ	ˈai̯	0.231
l	l	0.227
ˈɑː	ˈɔ_t	0.222
ˈʉː	-	0.214
ˈuː	ˈi	0.214
#>	d̥_#>	0.211
ˈɪ	ˈei̯	0.2
ˈæɪ̯	-	0.2
ʋ	f	0.2
kʰ	-	0.2
e	ɛ	0.2
#>	t_#>	0.184
ˈoː	-	0.182
j	ɡ	0.167
j	ɟ	0.167
j	h	0.167
#>	r_#>	0.158
ˈɛ	ˈɘ̟_n	0.154
ˈʉː	ˈi	0.143
ˈuː	-	0.143
tʰ	t	0.143
ɾ	-	0.136
ˈiː	ˈɘ̟	0.133
ˈiː	ˈi	0.133
ˈiː	-	0.133
#>	n_#>	0.132
t	ʦ	0.125
t	t	0.125
ɡ	ɡ̊	0.118
ɾ	ɛ_r	0.114
n	a	0.111
#>	ɡ̊_#>	0.105
#>	ə_#>	0.105
ʋ	-	0.1
ɑ	n	0.097
ɑ	-	0.097
j	ˈɪ	0.083
s	t	0.067
s	s	0.067
#>	x_#>	0.053
#>	w_a_#>	0.053
