Gallurese	Gallurese	probability
ˈu_l	ˈo_l	1.0
ˈo	ˈo	1.0
ˈi_#>	e_r_#>	1.0
ˈa_rː	ˈɛ_r	1.0
ˈa_#>	ˈa_r_#>	1.0
ˈa	ˈa	1.0
ʧː	θ	1.0
ʦː	s	1.0
ʦ	θ	1.0
ʤ	ð_ˈi	1.0
ʣ	ð	1.0
ʒ	z	1.0
ʃː	s	1.0
ɡ	ɡ	1.0
ɟː	-	1.0
ɖː_u_#>	l_#>	1.0
ŋ	ŋ	1.0
z	z	1.0
w	a	1.0
v	v	1.0
u_#>	#>	1.0
tː	t	1.0
t_i_#>	t_#>	1.0
sː	s	1.0
s	s	1.0
rː	r	1.0
r_u	r_o	1.0
r	r	1.0
pː	-	1.0
p	p	1.0
nː	n	1.0
n_i_#>	ŋ_#>	1.0
mː	-	1.0
m	m	1.0
kː	k	1.0
f	f	1.0
cː	ʧ	1.0
bː	v	1.0
a_p	a_v	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_c	<#_ʧ	1.0
<#	<#_ð	1.0
a	a	0.937
b	b	0.882
k	k	0.829
u	o	0.783
d	d	0.783
t	t	0.684
ɟ	ð	0.667
j	j	0.667
ʧ	θ	0.647
ˈɛ	ˈe	0.63
ˈe_#>	e_r_#>	0.6
l	l	0.591
ˈe	ˈɛ	0.588
n	ŋ	0.514
ˈi	ˈi	0.5
ɲː	ŋ	0.5
ɲː	n	0.5
ɖː	l	0.5
<#_a	<#_o	0.5
<#_a	<#	0.5
n	n	0.486
ˈɔ	ˈo	0.483
ˈu	ˈu	0.45
ˈu	ˈo	0.45
ˈɔ	ˈɔ	0.448
l	r	0.409
ˈi	ˈe	0.4
ˈe_#>	ˈe_r_#>	0.4
ˈɛ	ˈɛ	0.37
i	-	0.354
ɟ	j	0.333
j	-	0.333
i	e	0.312
ɖː	j	0.25
ɖː	-	0.25
ʧ	z	0.235
d	-	0.217
t	d	0.211
ˈe	j_ˈe	0.176
k	ɡ	0.171
i	i	0.146
ˈe	ˈi	0.118
ˈe	ˈe	0.118
ʧ	-	0.118
b	v	0.118
t	-	0.105
i	ˈe	0.104
ˈu	-	0.1
ˈi	ˈi_r	0.1
ˈɔ	ˈo_v	0.069
a	e	0.063
