East Franconian	Mainland North Frisian	probability
β	-	1.0
ˈɛː	-	1.0
ˈɘ	-	1.0
ˈiː_ɐ	ˈɛ	1.0
ˈa	ˈa	1.0
ʦ	t	1.0
ʃ_d̥	s_t	1.0
ɾ	d_ə	1.0
ɪ	i	1.0
ɣ	j_ə	1.0
ə	ç	1.0
v̥	p	1.0
v_ˈɔ	ˈʊ	1.0
s_ˈɛ	s_ˈeː	1.0
r	ʀ	1.0
l_f	l_v	1.0
l_d̥	lʲ	1.0
kʰ	k	1.0
j	-	1.0
i	i	1.0
h	h	1.0
eː	ɛi̯	1.0
d̥_n	d̥	1.0
b̥͡v̥	p	1.0
f	f	0.953
v	v	0.926
l	l	0.887
m	m	0.865
b̥	b	0.794
n_d̥	n	0.776
s	s	0.741
ɐ	ʀ	0.698
a	ə	0.686
x	k	0.665
ˈʊ	ˈʊ	0.648
ʃ	ʃ	0.639
n	n	0.619
ˈaɪ̯	ˈi	0.563
ɣ̊	ɣ̥	0.55
ˈeː	ˈi	0.549
ˈaʊ̯	ˈʏ	0.505
ŋ	ŋ	0.5
z̥	z	0.494
ɡ̊	ɡ	0.463
ˈeː	-	0.451
ɣ̊	-	0.45
ˈɛ	-	0.445
ˈiː	ˈiː	0.423
ç	k	0.408
ˈaː	ˈiː	0.4
ˈuː	-	0.39
ɡ̊	-	0.39
d̥	d	0.368
ʃ	s	0.361
ˈʊ	-	0.352
ˈaʊ̯	ˈœː	0.351
ˈuː	ˈœ	0.339
x	x	0.335
z̥	-	0.33
ç	ŋ	0.313
ˈɔ	-	0.306
ˈɪ	ˈi	0.295
d̥	t	0.295
ˈaː	ˈuː	0.292
ˈoː	-	0.283
ç	x	0.279
ˈɒ	ˈœ	0.273
ˈuː	ˈyː	0.271
s	tʲ	0.259
ˈiː	-	0.251
n	ə	0.251
ˈoː	ˈɛi̯	0.241
ˈɒ	ˈɒ	0.227
ˈaː	-	0.227
n_d̥	nʲ	0.224
ɐ	ə_ʀ	0.217
ˈɛ	ˈɛː	0.216
ˈɔ	ˈɔ	0.209
b̥	v̥	0.206
ˈɪ	ˈʊ	0.197
a	-	0.188
ˈoː	ˈɔː	0.186
ˈoː	ˈɔu̯	0.181
z̥	d_ə	0.176
ˈɛ	ˈa	0.173
ˈɒ	ˈɒː	0.167
ˈɔ	ˈɔː	0.166
ˈɔ	ˈœ	0.166
ˈɪ	-	0.153
ˈɔ	ˈʊ	0.153
ɡ̊	k	0.147
d̥	d̥	0.145
ˈaʊ̯	-	0.144
ˈaɪ̯	ˈa	0.136
ˈɪ	ˈa	0.134
ˈiː	ˈɛi̯	0.134
n	-	0.129
ˈiː	ˈɔː	0.125
a	ə_n	0.125
ˈɪ	ˈai̯	0.124
ŋ	k	0.124
ŋ	-	0.124
ˈaɪ̯	ˈʏ	0.122
ˈɒ	-	0.118
ˈɒ	ˈʊ	0.117
ˈoː	ˈɛː	0.109
d̥	dʲ	0.099
ˈɒ	ˈuː	0.098
ˈɪ	ˈeː	0.097
ŋ	ə	0.097
ŋ	j_ə	0.097
ˈaɪ̯	ˈœː	0.092
ˈaɪ̯	ˈai̯	0.087
ˈɛ	j_ˈa	0.085
ɐ	ə	0.085
ˈaː	ˈiː_nʲ	0.081
ˈɛ	ˈeː	0.08
m	v	0.076
v	-	0.074
d̥	-	0.071
ˈiː	ˈɛ	0.067
m	v_ə	0.059
ŋ	w	0.058
l	-	0.05
