Bellunese	Brazilian Portuguese	probability
f	f	1.0
m	m	1.0
a	a	0.061
j	-	0.561
l	l	0.531
o	i	0.101
s	s	0.551
ŋ	-	0.201
ˈa	ˈa	0.471
ˈe	ˈe	0.661
ˈɛ	ˈe	0.111
ˈɛ	-	0.201
a	ɐ	0.452
l	w	0.132
l	l_u	0.322
t	-	0.092
t	ʧ_i	0.2
ɲ	j̃	0.52
ˈa	ˈɐ̃	0.472
ˈe	ˈĩ	0.062
ˈu	ˈu	0.902
ˈɔ	ˈɔ	0.12
d	z	0.073
o	o	0.233
o	u	0.553
r	-	0.073
r	ɾ	0.383
ð	-	0.053
ɡ	ɡ	0.943
ˈɔ	ˈo	0.733
θ	s	0.803
e	j	0.064
i	i	0.524
n	-	0.284
p	-	0.084
s	ʃ	0.354
w	w	0.884
ŋ	w̃	0.574
e	e	0.185
n	n	0.55
s	j_ʃ	0.065
t	d	0.085
v	b	0.175
z	z	0.525
ʧ	ʃ	0.245
ʧ	ʎ	0.755
ˈi	ˈi	0.25
ˈo	ˈɐ̃	0.065
a	u_#>	0.256
i	e	0.476
n	j̃	0.16
o	-	0.056
p	p	0.916
v	v	0.816
w	-	0.116
z	ʒ	0.166
ˈe	ˈẽ	0.216
ˈi	ˈe	0.066
ˈi	ˈĩ	0.666
d	d	0.877
e	ˈe	0.407
r	h	0.517
ð	ʒ	0.947
ŋ	j̃_u	0.077
ɡ	<#_e	0.057
ˈɔ	ˈo_j	0.147
θ	-	0.197
a	ʃ_#>	0.098
e	i	0.228
k	k	0.98
ɲ	-	0.48
ˈo	ˈo	0.618
ˈu	ˈũ	0.098
ˈɛ	ˈɛ	0.688
a	i_#>	0.079
b	b	0.989
j	ʎ	0.439
t	t	0.509
z	-	0.309
ŋ	j̃	0.059
ŋ	m	0.089
ˈo	ˈõ	0.069
ˈo	ˈɔ	0.209
