Corsican	Old French	probability
ˈɔ_z	ˈo	1.0
ˈɔ_j	ˈu_s	1.0
ˈe_s	ˈɛ_s	1.0
ˈa_t	ˈɛ	1.0
ˈa_l	ˈa_w	1.0
ʧː	ʦ	1.0
ʧ_e	j_s	1.0
ʦː	j_s	1.0
ʤ	j	1.0
ʣ	-	1.0
ʒ	l	1.0
ʎ	ʎ	1.0
ʃː	s_ˈũ	1.0
ʃ	s	1.0
z	-	1.0
w	w	1.0
v_u	ˈɛ_f	1.0
v_e	f	1.0
u_l	l	1.0
tː_e	t	1.0
t_ˈa	t_ˈe	1.0
sː	s	1.0
rː	r	1.0
r	r	1.0
p_j	p_l	1.0
o	-	1.0
nː	n	1.0
mː	m	1.0
lː	l	1.0
l	l	1.0
k_u	w	1.0
i_k	ə	1.0
fː	f	1.0
f	f	1.0
dː	j_t	1.0
d_u	t	1.0
d	-	1.0
c	ʎ	1.0
bː	b	1.0
b	b	1.0
n	n	0.961
m	m	0.929
ɲ	ɲ	0.883
v	v	0.879
s	s	0.841
a	ə	0.754
p	p	0.746
ŋ	ŋ	0.718
t	t	0.664
e	-	0.64
d_e	r_ə	0.628
t_a	ə	0.614
ɡ	ɡ	0.604
kː	ʧ	0.547
r_u	r	0.505
ɟ	ʤ	0.5
r_u	r_ə	0.495
ˈo	ˈũ	0.461
kː	-	0.453
ˈi	ˈi	0.444
i	-	0.424
tː	t	0.414
ɡ	-	0.396
t_a	t_ə	0.386
i	ə	0.379
j	l	0.377
d_e	t	0.372
ˈi	ˈĩ	0.36
ɟ	-	0.359
ˈu	ˈỹ	0.352
ˈe	ˈi	0.343
tː	j_t	0.342
k	ʧ	0.34
j	j	0.34
ˈɔ	ˈɔ	0.336
t	-	0.336
k	k	0.336
ˈɛ	ˈẽ	0.329
ˈu	ˈy	0.314
ˈa	ˈã	0.302
ˈe	ˈɛ	0.301
ˈo	ˈy	0.285
ŋ	n	0.282
u	ə	0.263
tː	-	0.245
u	-	0.231
ˈa	ˈã_j	0.23
ˈɛ	ˈɔ_j	0.227
ˈɛ	ˈɛ	0.225
ˈe	j_ˈɛ	0.215
ˈa	ˈa	0.213
ˈɔ	ˈu	0.211
ˈɔ	ˈũ	0.203
a	a	0.192
p	v	0.182
s	e_s	0.159
e	ə	0.156
u	u	0.154
j	-	0.142
ˈe	-	0.141
ɟ	ɡ_l	0.141
j	s	0.14
ˈa	ˈɛ	0.132
k	-	0.13
ˈi	-	0.128
ˈɔ	w	0.125
ˈo	ˈɔ	0.121
v	-	0.121
ɲ	j	0.117
i	i	0.11
k	j	0.109
ˈu	ˈũ_j	0.107
ˈu	ˈõ	0.107
e	r_ə	0.101
u	s	0.095
u	n	0.095
i	ĩ	0.086
k	ʧ_j	0.085
p	-	0.072
u	ũ	0.071
m	-	0.071
ˈo	u	0.07
ˈu	w	0.069
ˈi	ˈɔ_j	0.068
ˈa	j	0.065
ˈɛ	-	0.063
ˈo	w	0.063
ˈɔ	u	0.062
ˈɛ	j	0.061
e	ˈi_r	0.058
ˈɛ	ˈɔ	0.057
a	ã	0.054
u	j	0.053
ˈu	ˈu	0.05
