Old High German	Wymysorys	probability
ˈɛ_r	ˈɑ	1.0
ˈɛ_h	ˈɑ	1.0
ˈɑ_ɡ	ˈi̯ø	1.0
ˈɑ_r	ˈi̯ø	1.0
ˈu_r	ˈʏ	1.0
ˈoː	ˈu	1.0
ˈou̯	ˈɑi̯	1.0
ˈiː	ˈai̯	1.0
ˈeː	ˈei̯	1.0
ʦː	ʦ	1.0
ʦ	ʦ	1.0
ə	a	1.0
ɑ_n	a	1.0
ŋ	ŋ	1.0
v	v	1.0
tː	t	1.0
s̻ː	s	1.0
s̻	s	1.0
s_ˈi	z_ˈɘ̟	1.0
s_k	ʃ	1.0
s_i	s	1.0
rː	ˈɑi̯_ɡ̊	1.0
r	r	1.0
p͡f	-	1.0
p	p	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	w	1.0
kː	k	1.0
kʰ	k	1.0
j	j	1.0
f	f	1.0
eː	-	1.0
e_n	a	1.0
ˈio̯	ˈi	0.905
ɛ	ɛ	0.877
t	t	0.864
l	w	0.861
ˈuː	ˈɑi̯	0.852
n	n	0.828
ˈei̯	ˈa	0.809
w	v	0.786
h	h	0.777
ɑ	-	0.763
o	-	0.758
d	d	0.757
ˈi	ˈɘ̟	0.744
x	x	0.744
u	-	0.744
i	-	0.728
ˈo	ˈu	0.688
b	b	0.618
ˈe	ˈɛ	0.6
ˈuo̯	ˈʏ	0.598
xː	x	0.59
ˈɑ	ˈɑ	0.566
ˈɑː	-	0.533
ˈiu̯	ˈɑi̯	0.525
ˈiu̯	ˈɑi̯_ɛ	0.475
s	z	0.474
ɡ	ɡ̊	0.472
ˈu	ˈu	0.469
ˈɑː	ˈø	0.467
ˈɛ	ˈɑ	0.463
ˈɑ	ˈɔ	0.434
k	k	0.429
xː	ç	0.41
ˈuo̯	ˈi	0.402
ˈe	ˈi	0.4
k	ʧ	0.37
ˈu	ˈɘ̟	0.355
s	ʃ	0.318
ɡ	ɟ	0.311
i	ə	0.272
u	ɪ	0.256
o	a	0.242
ɑ	ɛ	0.237
h	-	0.223
w	-	0.214
ˈɛ	ˈa	0.207
s	s	0.207
k	c	0.202
ˈɛ	ˈɛ	0.198
ˈei̯	ˈɛ	0.191
b	-	0.18
ˈu	-	0.176
ˈo	ˈɔ	0.156
ˈo	ˈø	0.156
x	ç	0.156
ˈuː	-	0.148
d	d̥	0.148
l	l	0.139
ɡ	-	0.132
ˈɛ	-	0.131
ˈi	ˈi	0.13
n	-	0.127
ˈi	ˈei̯	0.125
ɛ	ɑ	0.123
b	v	0.119
x	k	0.1
t	d̥	0.1
ˈio̯	ˈɪ	0.095
d	t	0.095
ɡ	ɡ	0.085
b	b̥	0.083
