Saterland Frisian	Saterland Frisian	probability
ˈɛɪ̯_n	ˈĩː	1.0
ˈɛɪ̯_#>	ˈai̯_#>	1.0
ˈɔːɪ̯	-	1.0
ˈœː	ˈeː	1.0
ˈøː	ˈau̯	1.0
ˈyː	ˈoi̯	1.0
ˈuː_n	ˈõː	1.0
ˈoː_l	ˈa_l	1.0
ˈiːu̯	ˈɛ	1.0
ˈiː_r	ˈɑː	1.0
ˈi_n	ˈɑ̃i̯	1.0
ˈeːu̯	ˈɛ	1.0
ˈeː_n	ˈãː	1.0
ˈaː	-	1.0
ɣ_j	ɣ̊	1.0
ə_r	æ̆	1.0
ŋ	ŋ	1.0
z_ə	s	1.0
w	-	1.0
t_ə	s	1.0
t_#>	#>	1.0
s_v	ʃ_v	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
p_ˈaː	pʰ	1.0
p_#>	f_#>	1.0
m	m	1.0
l_ə_#>	l_#>	1.0
l	l	1.0
k_#>	#>	1.0
j_ˈʊ	ˈi	1.0
j_ˈuː	ˈoi̯	1.0
j_ˈoː	ˈiː	1.0
i	ɛː	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
d_ə	ɐ	1.0
d_#>	#>	1.0
<#_ɡ	<#	1.0
<#_t	<#_d̥	1.0
<#_r	<#_ʀ	1.0
<#_k	<#_kʰ	1.0
<#	<#_d̥	1.0
s	s	0.935
n	n	0.886
ˈɪ	ˈi	0.867
v	v	0.852
d	d̥	0.738
ə	ə	0.647
ˈiː	ˈi	0.636
ˈa	-	0.6
ɪ	i	0.6
b	b̥	0.579
ˈɛː	ˈi	0.5
ˈɛː	-	0.5
ˈɔ	ˈɑ	0.5
ˈɔ	ˈo	0.5
ˈi	ˈai̯	0.5
ˈaːi̯	ˈɑː_ɣ̊	0.5
ˈaːi̯	-	0.5
p	v̥	0.5
p	f	0.5
r	ʀ	0.486
x	ʃ	0.474
ˈʊ	ˈu	0.462
ˈoː	ˈaː	0.429
#>	ə_#>	0.429
b	p	0.421
ɣ	ɡ̊	0.417
ˈɛɪ̯	ˈɑː	0.4
ˈa	ˈa	0.4
ɪ	-	0.4
k	k	0.4
t	t	0.385
ˈiː	-	0.364
ˈɔː	ˈa	0.333
ˈɔː	-	0.333
ˈuː	ˈau̯	0.333
ˈʊ	-	0.308
ˈɛɪ̯	ˈiː	0.3
ˈɛɪ̯	-	0.3
ˈɛ	ˈɛ	0.3
ˈɛ	-	0.3
ˈoːu̯	ˈuː	0.3
k	ʃ	0.3
k	ɡ̊	0.3
ə	-	0.294
ˈoː	-	0.286
#>	ʃ_#>	0.286
#>	f_#>	0.286
ˈeː	ˈeː	0.273
ˈeː	ˈaː	0.273
ˈeː	-	0.273
x	x	0.263
x	-	0.263
r	ɐ	0.257
ˈi	ɐ	0.25
ˈi	-	0.25
ɣ	k	0.25
j	ˈiː	0.25
j	ɡ̊	0.25
j	j	0.25
j	-	0.25
ˈoː	ˈoː	0.238
ˈʊ	ˈo	0.231
t	ʦ	0.231
ˈuː	ˈu	0.222
ˈɛ	ˈɑː	0.2
ˈɛ	ˈai̯	0.2
ˈɔː	ˈɑ	0.2
ˈoːu̯	ˈɑ	0.2
ˈoːu̯	-	0.2
r	æ̆	0.2
ˈeː	ˈe	0.182
t	s	0.179
ɣ	v	0.167
ɣ	-	0.167
ˈoːu̯	ˈɔ	0.15
ˈoːu̯	ˈoː	0.15
d	t	0.143
ˈɪ	-	0.133
ˈɔː	ˈɑː	0.133
t	z̥	0.128
d	-	0.119
n	-	0.114
ˈuː	ˈuː	0.111
ˈuː	ˈoː	0.111
ˈuː	ˈoi̯	0.111
ˈuː	ˈo	0.111
t	d̥	0.077
v	b̥	0.074
v	-	0.074
s	ʃ	0.065
r	-	0.057
