Afrikaans	Afrikaans	probability
χ_r	χ_r	1.0
χ	χ	1.0
ˈʊə̯	ˈʊə̯	1.0
ˈɪə̯	ˈɪə̯	1.0
ˈɪø̯	ˈɪø̯	1.0
ˈɛː	ˈɛː	1.0
ˈɛ	ˈɛ	1.0
ˈəɪ̯	ˈəɪ̯	1.0
ˈə	ˈə	1.0
ˈɔː	ˈɔː	1.0
ˈɔ	ˈɔ	1.0
ˈɑː	ˈɑː	1.0
ˈœɪ̯	ˈœɪ̯	1.0
ˈœu̯	ˈœu̯	1.0
ˈœ	ˈœ	1.0
ˈæː	ˈæː	1.0
ˈæ	ˈæ	1.0
ˈyː	ˈyː	1.0
ˈu	ˈu	1.0
ˈi	ˈi	1.0
ˈa	ˈa	1.0
ɫ	ɫ	1.0
ɦ	ɦ	1.0
ə	ə	1.0
ŋ	ŋ	1.0
w	w	1.0
v̥	v̥	1.0
v	v	1.0
t	t	1.0
s_ɫ	s_ɫ	1.0
s	s	1.0
r_χ	r_χ	1.0
r_t	r_t	1.0
r	r	1.0
p	p	1.0
n_t	n_t	1.0
n	n	1.0
m	m	1.0
k	k	1.0
j	j	1.0
i	i	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
