Icelandic	Middle English	probability
θ	θ	1.0
ˈɛi̯	ˈɔː	1.0
ˈɔː	ˈu	1.0
ˈɑu̯	-	1.0
ˈœːy̯	ˈɛː	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈu	ˈu	1.0
ˈaː_u	ˈɛu̯	1.0
ʰt͡n̥	ˈaː_t	1.0
ʰp	p	1.0
ʰc	ʧ	1.0
ʏ_r̥	ə	1.0
ɲ	-	1.0
ɪ_r̥	ə_r	1.0
ɣ_ʏ	ˈæi̯	1.0
ɡ̊ː	ʤ	1.0
ɑu̯	iː	1.0
ð_ʏ	θ	1.0
ç	h	1.0
x	x	1.0
v_ˈɛː	w	1.0
t͡n̥	n	1.0
t_ʏ	t	1.0
t	t	1.0
sː	s	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
r	r	1.0
pʰ	p	1.0
p	p	1.0
m	m	1.0
l_j	l	1.0
kʰ_v	ʍ	1.0
kʰ	k	1.0
j_ˈuː	ˈeː	1.0
j_ˈoːu̯	ˈeː	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
cʰ	k	1.0
c	k	1.0
b̥	b	1.0
aːu̯	eː	1.0
r̥	r	0.919
n	n	0.899
s	s	0.875
ʰt	t	0.816
ˈi	ˈi	0.783
ʏ	ə	0.748
ð	d	0.72
ŋ	ŋ	0.713
k	k	0.709
nː	n	0.703
ɪ	-	0.684
l̥	ɫ	0.666
v	v	0.643
ɡ̊	ɡ	0.64
r_t͡n̥	r_n	0.638
a	ə_n	0.631
ˈa	ˈa	0.622
ɟ̊	ɡ	0.605
ˈɪː	ˈi	0.596
ˈɔu̯	ˈi	0.593
ˈaːu̯	-	0.593
ˈai̯	ˈeː	0.593
ˈoːu̯	-	0.565
j	-	0.564
ˈɑːu̯	ˈɛː	0.536
t͡l̥	ɫ	0.527
n̥	n	0.527
ˈʏ	ˈu	0.517
ˈɛːi̯	ˈɔː	0.51
l	l	0.505
ˈaː	ˈaː	0.503
ˈau̯	ˈɛ	0.5
ˈau̯	-	0.5
ʰk	ŋ_k	0.5
ʰk	k	0.5
ˈɛː	-	0.495
l	ɫ	0.495
ˈuː	ˈuː	0.483
t͡l̥	l	0.473
n̥	k_n	0.473
ˈiː	ˈiː	0.469
ˈɪ	ˈiː	0.468
ˈaːi̯	ˈeː	0.466
ˈɑːu̯	-	0.464
ˈɔ	ˈɔ	0.461
ˈoːu̯	ˈoː	0.435
ˈʏː	ˈu	0.432
ˈɔu̯	-	0.407
ˈaːu̯	ˈɔː	0.407
ˈai̯	-	0.407
ˈɪː	-	0.404
ɟ̊	-	0.395
ˈɛ	ˈɛ	0.382
ˈɔ	ˈu	0.381
r_t͡n̥	r	0.362
v	w	0.357
l̥	l	0.334
ˈʏː	ˈiː	0.333
ˈaːi̯	-	0.326
ɪ	ə	0.316
ˈɛ	-	0.309
a	ə	0.306
ˈɛː	ˈɛ	0.305
ˈuː	ˈiː	0.302
nː	-	0.297
k	ʧ	0.291
ˈaː	ˈa	0.289
ˈʏ	ˈuː	0.287
ŋ	-	0.287
ˈɛːi̯	-	0.273
ˈɪ	ˈi	0.252
ˈʏː	-	0.234
ˈiː	ˈeː	0.226
ˈɛːi̯	ˈeː	0.217
ˈi	-	0.217
ˈuː	-	0.215
ˈaː	-	0.209
ˈaːi̯	ˈau̯	0.208
ɡ̊	-	0.207
j	ˈɛ	0.206
ˈɛː	ˈeː	0.2
ˈa	-	0.197
ˈʏ	-	0.196
ˈɛ	ˈi	0.19
ʰt	x_t	0.184
ˈɪ	ˈɔ	0.182
ˈa	ˈɔː	0.181
ʏ	n	0.164
ˈɔ	w	0.158
ˈiː	-	0.124
ˈiː	ə	0.122
j	ˈɛː	0.118
ð	-	0.101
n	-	0.101
ˈɪ	ˈu	0.099
ð	ð	0.098
ʏ	ɔu̯	0.087
ˈɛ	ˈa	0.081
ɡ̊	j	0.081
ð	θ	0.081
s	ʃ	0.081
r̥	ə	0.081
ɡ̊	x	0.072
j	ˈiː	0.069
ˈiː	ˈi	0.059
