Portuguese	Portuguese	probability
ˈɨ	ˈe	1.0
ˈɐ̃_w̃	ˈu	1.0
ˈɐ_j	ˈɛ	1.0
ˈũ	ˈy	1.0
ˈo_w	ˈo	1.0
ˈi_ɲ	ˈi	1.0
ˈa	ˈa	1.0
ʃ_#>	#>	1.0
ʁ	r	1.0
ɾ_ˈe	r_ˈɛ	1.0
ɾ_u	e_r	1.0
ɾ_k	r_k	1.0
ɫ	l	1.0
ɨ_#>	#>	1.0
ɐ̃	-	1.0
ɐ_ʒ	a_j	1.0
ɐ_#>	#>	1.0
ð_ɐ	d_a	1.0
w̃_#>	#>	1.0
v_ɨ_#>	f_#>	1.0
ũ	-	1.0
u_#>	#>	1.0
t_ɐ	t_a	1.0
s_ɨ	s	1.0
s_ɐ	s_a	1.0
s	s	1.0
p	p	1.0
õ	o_n	1.0
o	ˈø	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k_ɾ	k_r	1.0
k	k	1.0
j̃	-	1.0
j_ʃ	s	1.0
j_t	ʧ	1.0
j_m	y	1.0
ĩ	ŋ	1.0
i_ʃ	s	1.0
i	i	1.0
f	f	1.0
ẽ	e_n	1.0
b	b	1.0
<#_ˈu	<#_ˈo	1.0
<#_ˈa	<#_ˈɛ	1.0
<#_ʃ	<#_p_j	1.0
<#_ʁ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɔ	<#_o	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#_e	1.0
ɾ	r	0.949
t	t	0.931
ɾ_#>	#>	0.893
ɐ	a	0.866
d	d	0.812
ʃ	s	0.81
β	-	0.8
ʒ	z	0.8
ɲ	ɲ	0.75
ˈẽ	ˈe	0.714
ɾ_ɐ	r_a	0.714
ˈɛ	ˈɛ	0.706
ɣ	ɡ	0.688
ˈɐ̃	ˈa	0.667
ð	t	0.632
w	w	0.625
j	-	0.615
ɾ_ɨ	e_r	0.6
ˈi	ˈi	0.571
ˈɐ	ˈa	0.562
u	o	0.562
ˈõ	ˈu	0.5
ˈõ	ˈo_n	0.5
ˈĩ	ˈi	0.5
ˈĩ	-	0.5
ɨ	e	0.5
z	z	0.5
z	-	0.5
ˈu	ˈy	0.444
#>	a_#>	0.417
ɾ_ɨ	r	0.4
w	-	0.375
ˈo	ˈɔ	0.351
ˈɔ	ˈu	0.35
ˈɐ̃	ˈa_n	0.333
ˈu	ˈø	0.333
v	b	0.333
v	-	0.333
ɣ	k	0.312
u	e	0.312
ˈe	ˈɛ	0.308
ˈe	ˈi	0.308
ʎ	ʧ	0.3
ʎ	j	0.3
ˈɛ	ˈe	0.294
ˈẽ	ˈɛ_n	0.286
ɾ_ɐ	a	0.286
ɨ	i	0.278
ˈo	ˈø	0.27
ˈe	ˈe	0.269
ð	d	0.263
ˈɔ	ˈø	0.25
ˈɐ	ˈe	0.25
ɲ	n	0.25
#>	l_#>	0.25
j	j	0.231
ˈu	-	0.222
ɨ	-	0.222
ˈo	ˈo	0.216
β	ʋ	0.2
ˈɔ	ˈɔ	0.2
ˈɔ	ˈo	0.2
ʒ	ʤ	0.2
ʎ	ˈø_l	0.2
ʎ	ʤ	0.2
v	ʋ	0.2
ˈɐ	ˈɛ	0.188
d	t	0.188
ˈi	ˈe	0.179
ˈi	-	0.179
#>	s_#>	0.167
#>	e_#>	0.167
ˈo	ˈu	0.162
j	n	0.154
ɐ	-	0.134
v	f	0.133
u	j	0.125
ˈe	-	0.115
ɾ_#>	d_#>	0.107
ð	-	0.105
ʃ	ʧ	0.095
ʃ	f_j	0.095
ˈi	j	0.071
t	-	0.069
ɾ	-	0.051
