Eastphalian	Eastphalian	probability
ˈɛː	-	1.0
ˈɛə̯	ˈɛː	1.0
ˈɔ_l	ˈɔː	1.0
ˈøː	j_ˈɪ	1.0
ˈyː	j_ˈuə̯	1.0
ˈeo̯_d̥_#>	ˈɪə̯_#>	1.0
ˈaː	-	1.0
ˈaɪ̯	ˈɪə̯	1.0
ɪ	ə	1.0
ɣ̊	-	1.0
ɣ_ə_#>	χ_#>	1.0
ɡ	ɣ	1.0
ɒː	j_ɪ	1.0
ç	χ	1.0
z̥_#>	s_#>	1.0
z_n	z_ə	1.0
x	χ	1.0
w	v	1.0
v̥	f	1.0
t_n	t_ə	1.0
s_l	s_l	1.0
s	s	1.0
r_ˈʏ	r	1.0
p	p	1.0
n_d̥	n	1.0
m	m	1.0
l_ə	l	1.0
l	l	1.0
k_ə	k_ə	1.0
h	h	1.0
f_#>	#>	1.0
f	f	1.0
d	d	1.0
b_m	p_ə	1.0
b	b	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
t	t	0.932
z	s	0.882
ʃ	s_k	0.875
d̥	d̥	0.857
r	r	0.833
k	k	0.818
<#_d	<#_t	0.818
ɣ	ɡ	0.8
ˈaʊ̯	ˈuə̯	0.778
ŋ	ŋ	0.769
ˈeː	-	0.75
v	ʋ	0.72
ˈeo̯	ˈɪə̯	0.667
ˈɪ	ˈɪ	0.591
ˈʊ	ˈɔ	0.583
ˈɔʏ̯	ˈiə̯	0.571
ˈɔ	-	0.556
n	n	0.54
ə	-	0.517
ˈœ	ˈɪ	0.5
ˈœ	-	0.5
ˈuː	ˈuː	0.5
ˈuː	-	0.5
ˈoː	ˈoə̯	0.5
ˈoː	-	0.5
ɐ	r	0.5
j	ɡ	0.5
j	-	0.5
ə	ə	0.483
ˈa	ˈa	0.462
ˈʏ	-	0.444
ˈɔ	ˈɔ	0.444
ˈɒː	ˈiə̯	0.429
ˈɛ	ˈɪ	0.417
ˈiː	ˈiː	0.375
ˈiː	ˈi	0.375
ˈɛɪ̯	ˈiə̯	0.364
ˈeo̯	-	0.333
ɐ	ə_r	0.3
ˈɔʏ̯	-	0.286
ˈʊ	-	0.25
ˈɛ	-	0.25
ˈeː	ˈiə̯	0.25
n	ə	0.238
ŋ	-	0.231
ˈɪ	ˈi	0.227
ˈʏ	ˈɪ	0.222
ˈʏ	ˈɛː	0.222
ˈaʊ̯	ˈoː	0.222
ɣ	ɣ	0.2
v	v	0.2
ˈɛɪ̯	j	0.182
<#_d	<#	0.182
ˈʊ	ˈuː	0.167
ˈɛ	ˈɛ	0.167
ˈɛ	ˈɔ	0.167
r	-	0.167
ˈɔʏ̯	ˈu̯o	0.143
ˈɒː	ˈɪə̯	0.143
ˈɒː	ˈoə̯	0.143
ˈɒː	ˈaː	0.143
ˈɒː	ˈa	0.143
d̥	-	0.143
ˈɛɪ̯	ˈɪə̯	0.136
ˈɛɪ̯	ˈiː	0.136
ˈiː	ˈɛ_j	0.125
ˈiː	j	0.125
ʃ	s	0.125
z	ɕ	0.118
ˈa	ˈɪə̯	0.115
ˈa	ˈɔː	0.115
ˈa	ˈaː	0.115
ˈa	-	0.115
ˈʏ	ˈøə̯	0.111
ˈɪ	ˈiː	0.091
ˈɪ	j_ˈɔ	0.091
ˈɛɪ̯	ˈeː	0.091
ˈɛɪ̯	ˈaː	0.091
k	ʦ	0.091
k	k_ə	0.091
v	-	0.08
ˈa	ˈɛ	0.077
ɐ	ˈɪə̯_r	0.075
ɐ	-	0.075
t	-	0.068
n	j_ə	0.063
n	-	0.063
