Palatine German	Pennsylvania German	probability
β	ʋ	1.0
ˈɪ	ˈɪ	1.0
ˈɛ̃ː	ˈeː	1.0
ˈɔ_ɐ	ˈaː	1.0
ˈɑ̃ː	-	1.0
ˈɑːɪ̯	ˈɔɪ̯	1.0
ˈuː	ˈuː	1.0
ˈu	ˈʊ	1.0
ˈo	ˈoː	1.0
ˈĩː	-	1.0
ˈi	ˈiː_ɡ	1.0
ˈaɪ̯	ˈaɪ̯	1.0
ˈau̯̯	ˈaʊ̯	1.0
ˈau̯	ˈaʊ̯	1.0
ɪ	ɪ	1.0
ə	ə	1.0
ɑ	ə	1.0
ŋ	ŋ	1.0
x	x	1.0
s	s	1.0
r_ə	d_ə	1.0
n_ʃ	n_ʃ	1.0
m	m	1.0
l	l	1.0
kʰ	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
eː	eː	1.0
ˈɑ	ˈa	0.968
n	n	0.953
ʣ̥	ʦ	0.896
ˈɑː	ˈɔː	0.885
ˈeː	ˈeː	0.852
r	ɾ	0.849
ˈiː	ˈiː	0.845
ɐ	ɑ	0.806
ˈɛ	ˈɛ	0.801
ˈɔ	ˈɔ	0.783
ˈoː	ˈoː	0.768
b̥	b	0.674
ˈɛː	ˈeː	0.564
ʃ	ʃ	0.556
ɣ̊	ɡ̊	0.553
ɡ̊	ɡ	0.543
d̥	d	0.492
d̥	d̥	0.463
ɣ̊	ɣ	0.447
ʃ	ç	0.388
b̥	b̥	0.275
ɡ̊	k	0.242
ˈɛː	-	0.219
ˈɔ	ˈʊ	0.217
ˈɛː	ˈɛː	0.216
ɡ̊	ɡ̊	0.215
ˈɛ	ˈɛː	0.199
ˈiː	ˈeː	0.155
r	d	0.151
ˈeː	ˈɛː	0.148
ˈoː	ˈɔː	0.135
ˈɑː	-	0.115
ʣ̥	-	0.104
ˈoː	ˈɔ	0.097
ɐ	ɾ_ə	0.068
ʃ	ɡ̊	0.055
ɐ	ɾ_ɪ	0.051
b̥	p	0.051
