Franco-Provençal	Franco-Provençal	probability
ˈy	ˈo_β	1.0
ˈĩ	ˈi_n	1.0
ˈe_#>	o_#>	1.0
ˈaː_ð	ˈa_j	1.0
ʦ	θ_o	1.0
ʎ	ʎ	1.0
ɲ	ɲ	1.0
ɛ̃	e	1.0
ɛ	e	1.0
ə_#>	#>	1.0
ɔ	-	1.0
ɑ̃	a_n	1.0
ɑː	a_s	1.0
ð_ˈi	ɾ_ˈe	1.0
y	k	1.0
w_ˈɛː	ˈu	1.0
u	-	1.0
t_a	t_a	1.0
t_#>	t_e_#>	1.0
t	t	1.0
s_ə	ʃ_a	1.0
p	p	1.0
m	m	1.0
k	k	1.0
j_ˈe	ˈa_ɾ	1.0
ĩ	-	1.0
i	a	1.0
d	d	1.0
<#_ˈoː	<#_ˈo	1.0
<#_ʁ	<#_r	1.0
<#_ð	<#_ʧ	1.0
<#_w	<#_w	1.0
<#_t	<#_t	1.0
<#_s	<#_θ	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
n	n	0.895
f	f	0.875
l	l	0.846
s	s	0.84
ʁ	ɾ	0.804
a	a	0.8
ð	ɾ	0.778
ˈoː	w_ˈe	0.714
ɡ	ɡ	0.714
o	o	0.714
l_#>	ʎ_o_#>	0.714
e	e_s	0.714
#>	o_#>	0.709
ʃ	k	0.68
ˈɔ	w_ˈe	0.667
ˈɑ̃	ˈa_n	0.667
ˈɛ	ˈe	0.643
ˈa	ˈa	0.64
ˈɛ̃	ˈe_n	0.6
ˈø	ˈo	0.6
z	θ	0.6
ə	a	0.583
b	b	0.562
ˈi	ˈi	0.55
v	b	0.548
ˈɛː	ˈe	0.5
ˈɔ̃	ˈo_n	0.5
ˈɔ̃	n_o	0.5
ˈu	ˈu	0.5
ˈo	ˈo	0.5
ˈaː	ˈa	0.5
ˈaː	w	0.5
ʁ_o	ɾ_e	0.5
ʁ_o	o	0.5
ˈø	w	0.4
z	s	0.4
w	w	0.375
ˈe	ˈe	0.368
v	β	0.355
ˈɔ	ˈo	0.333
ˈɑː	ˈa_l	0.333
ˈɑː	ˈa	0.333
ˈɑː	-	0.333
j	-	0.318
b	β	0.312
ˈu	ˈo	0.3
ə	e	0.292
ˈoː	ˈo	0.286
ɡ	ɣ	0.286
l_#>	#>	0.286
e	i	0.286
ˈa	ˈa_ɾ	0.28
ˈo	ˈu	0.25
ˈo	-	0.25
w	ˈu	0.25
w	ˈo	0.25
j	j	0.227
ð	ˈe	0.222
ˈɛ	j_ˈe	0.214
ˈɛ̃	ˈe	0.2
ˈɛ̃	ɲ_o	0.2
ˈu	w_ˈe	0.2
ˈi	ˈe	0.2
ʃ	θ	0.2
ˈe	j_ˈe	0.184
ˈɑ̃	ˈa_ŋ	0.167
ˈɑ̃	ˈa_m	0.167
s	θ	0.16
ˈɛː	ˈe_j	0.15
ˈɛː	ˈa	0.15
ˈi	-	0.15
ˈɛ	ˈe_j	0.143
o	u	0.143
o	-	0.143
ˈe	ˈi	0.132
ə	ˈe_ɾ	0.125
w	-	0.125
f	-	0.125
b	b_w	0.125
ʃ	-	0.12
#>	e_#>	0.109
n	ŋ_ɡ	0.105
ˈɛː	ð_o	0.1
ˈɛː	e	0.1
ˈi	ˈi_ɾ	0.1
v	-	0.097
j	ˈu	0.091
j	ˈi	0.091
j	ɾ	0.091
j	ð	0.091
j	e_ð	0.091
#>	a_#>	0.091
ˈa	ˈe_ɣ	0.08
ˈe	ˈa_w	0.079
ˈe	ˈa	0.079
ʁ	ɾ_o	0.078
l	ʎ	0.077
l	-	0.077
a	ð_a	0.067
#>	l_#>	0.055
ˈe	o	0.053
ˈe	j	0.053
ˈe	-	0.053
