Western Lombard	Western Lombard	probability
ˈɛ_k	ˈɛ_t	1.0
ˈɛ_#>	ˈɛː_ʁ_#>	1.0
ˈœ	w_ˈe	1.0
ˈøː_k	w_ˈa	1.0
ˈỹ	ˈɔ̃	1.0
ˈy	ˈoː	1.0
ˈũ	ˈɔ̃	1.0
ˈuː_r	ˈy	1.0
ˈoː	-	1.0
ˈo	ˈa_m	1.0
ˈẽ	ˈɛ̃	1.0
ˈa_l	ˈoː	1.0
ʧ_#>	#>	1.0
ʃ	ə_t	1.0
ɛ	-	1.0
y	-	1.0
t_#>	#>	1.0
t	t	1.0
r_t	ʁ	1.0
r_#>	#>	1.0
n_#>	#>	1.0
m	m	1.0
l_t	t	1.0
l	l	1.0
k_#>	#>	1.0
ĩ	-	1.0
f_#>	#>	1.0
f	f	1.0
ẽ	n_o	1.0
b	b	1.0
ã	ɑ̃	1.0
a_s	ɑː	1.0
<#_ʧ	<#	1.0
<#_ʒ	<#_ð	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
p	p	0.9
n	n	0.893
v	v	0.889
l_#>	l_#>	0.789
r	ʁ	0.773
ˈã	ˈɑ̃	0.75
s	s	0.744
i	-	0.727
ˈĩ	ˈĩ	0.714
a	a	0.71
ɲ	ɲ	0.667
ɡ	ɡ	0.667
z	-	0.667
e_r	ʁ_o	0.667
ˈi	ˈi	0.636
s_#>	#>	0.571
k	k	0.559
u	o	0.556
ʧ	s	0.533
ˈɑː	ˈa	0.5
ˈe	ˈɛ	0.5
ˈe	-	0.5
ˈa	ˈa	0.5
ʤ	ɡ_ʎ	0.5
ʤ	-	0.5
ʒ	z	0.5
ʒ	-	0.5
w	w	0.5
w	-	0.5
e	ə	0.5
ˈeː	ˈɛː	0.467
ˈɛ	ˈe	0.444
k	ʃ	0.441
s_#>	ʃ_#>	0.429
j	l	0.412
d	d	0.407
d	-	0.407
ˈiː	ˈe	0.4
e	-	0.4
ˈɔ	ˈoː	0.375
ˈyː	ˈu	0.357
ˈyː	-	0.357
j	ʎ	0.353
ˈøː	ˈoː	0.333
ˈuː	ˈø	0.333
ˈu	-	0.333
ɲ	ˈɛ̃	0.333
z	z	0.333
e_r	ʁ	0.333
#>	ə_#>	0.316
ˈɔ	-	0.312
ˈiː	ˈi	0.3
ˈiː	-	0.3
ˈĩ	-	0.286
i	j	0.273
ʧ	ʎ	0.267
ˈu	ˈo	0.25
ˈu	w_ˈe	0.25
ˈã	-	0.25
ˈa	ˈaː	0.231
ˈɑː	-	0.227
ˈɛ	ˈɛː	0.222
ˈøː	ˈo	0.222
ˈøː	w	0.222
ˈøː	-	0.222
ˈuː	ˈo	0.222
ˈuː	w_ˈɛː	0.222
ˈuː	-	0.222
u	ɔ	0.222
u	-	0.222
l_#>	#>	0.211
#>	ʁ_#>	0.211
ˈeː	ˈi	0.2
ˈeː	j_ˈe	0.2
ʧ	ð	0.2
ɡ	-	0.2
ˈɔ	ˈø	0.188
a	ə	0.188
ˈɛ	ˈɛ	0.185
d	ð	0.185
ˈɑː	ˈaː	0.182
ˈi	ˈɛ	0.182
ˈi	ˈe	0.182
ˈu	ˈɔ	0.167
#>	o_#>	0.158
s	e	0.154
ˈɛ	-	0.148
ˈyː	ˈo	0.143
ˈyː	w	0.143
r	ð	0.136
ˈeː	-	0.133
ɡ	v	0.133
ˈɔ	ˈɔ	0.125
j	ˈe	0.118
j	-	0.118
ˈa	j_ˈe	0.115
v	-	0.111
n	-	0.107
#>	ˈɛː_#>	0.105
#>	ˈi_#>	0.105
#>	ʃ_#>	0.105
p	-	0.1
e	ɛː	0.1
ˈɑː	ˈɛː	0.091
ˈa	ˈɑː	0.077
ˈa	ˈe	0.077
a	-	0.058
s	ʃ	0.051
s	t	0.051
