Old High German	Luxembourgish	probability
ˈɑ_r	ˈaː	1.0
ˈou̯	ˈaː	1.0
ˈio̯_ɡ	ˈɜɪ̯	1.0
ˈie̯	ˈɑɪ̯	1.0
ˈeː	ˈɜɪ̯	1.0
ʦː	ʦ	1.0
ʦ	ʦ	1.0
ɛ	-	1.0
ə	ə	1.0
ɑ_r	ɐ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː_ɑ	χ	1.0
xː	ɕ	1.0
v	v	1.0
u	ə	1.0
t_ɛ	t	1.0
s̻ː	s	1.0
s̻	s	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
s_i	z̥	1.0
r_o	ɐ	1.0
r_i	ɐ	1.0
p	p	1.0
oː	ə	1.0
ou̯	ˈaː	1.0
o	-	1.0
nː	n	1.0
n_t	n	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_t	l	1.0
l	l	1.0
kː	k	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
fː	f	1.0
e	ə	1.0
f	f	0.942
d	d	0.904
ˈei̯	ˈeː	0.877
n	n	0.865
ˈiː	ˈæːɪ̯	0.853
ˈio̯	ˈɜɪ̯	0.821
h	h	0.791
x	ɕ	0.775
b	b	0.772
i	-	0.765
eː	-	0.667
ˈɑː	ˈoː	0.664
r	ɐ	0.597
ˈoː	ˈəʊ̯	0.591
ɑ	ə	0.579
ˈiu̯	-	0.549
ˈe	-	0.535
ˈuo̯	ˈu	0.53
t	t	0.529
p͡f	-	0.526
s	ʃ	0.518
w	v	0.509
ˈo	ˈo	0.499
p͡f	pʰ	0.474
ˈe	ˈiː	0.465
s	z	0.454
ˈiu̯	ˈɑɪ̯	0.451
ɡ	-	0.439
ɑ	-	0.421
ˈɑ	ˈaː	0.416
ˈuː	ˈæːʊ̯	0.415
ˈoː	ˈɜɪ̯	0.409
r	ʀ	0.403
ˈi	ˈɑ	0.397
ˈuː	ˈɑʊ̯	0.38
t	d̥	0.341
eː	ʑ	0.333
ˈɑ	ˈɑ	0.328
ɡ	ə	0.327
ˈɛ	ˈɛː	0.326
ˈu	ˈo	0.3
ˈi	ˈə	0.253
w	w	0.251
w	-	0.24
ˈɛ	ˈiə̯	0.229
b	v	0.228
ˈu	ˈə	0.227
ˈo	ˈaː	0.225
ˈɑː	ˈəʊ̯	0.215
ˈɛ	ˈiː	0.214
h	-	0.209
ˈuː	-	0.206
ˈuo̯	ˈəʊ̯	0.199
ˈu	ˈuː	0.188
ˈio̯	-	0.179
ˈi	ˈiː	0.176
ˈo	-	0.159
ɡ	ɡ̊	0.158
ˈiː	-	0.147
i	ə	0.142
ˈɛ	ˈɛ	0.14
ˈuo̯	ˈɜɪ̯	0.135
ˈuo̯	ˈi	0.135
ˈei̯	-	0.123
ˈɑː	ˈɜɪ̯	0.121
x	χ	0.12
ˈo	ˈu	0.117
x	-	0.105
t	d	0.103
ˈi	ˈe	0.096
d	-	0.096
ˈu	ˈe	0.095
i	ˈɑɪ̯	0.093
ˈɛ	ˈə	0.091
ˈɑ	ˈæ	0.089
ˈu	-	0.082
ˈɑ	ˈuə̯	0.079
ˈi	-	0.079
ɡ	ɣ̊	0.075
ˈu	ˈi	0.067
n	-	0.062
f	ə_f	0.058
ˈɑ	ˈu	0.053
