English	West Flemish	probability
b	b	1.0
d	t	0.513
d	d	0.378
d	ɾ_t	0.065
d	-	0.041
f	v	0.827
f	f	0.134
f	-	0.04
h	-	0.853
h	ɦ	0.091
h	z	0.061
j	j	0.358
j	ˈiə̯	0.139
j	ɦ	0.139
k	k	1.0
k_s	s	1.0
kʰ	k	0.826
kʰ	v	0.148
l	l	1.0
m	m	0.767
m	m_ə	0.12
m	ɾ_m	0.104
n	n	0.76
n	n_ə	0.137
n	-	0.099
p	p	1.0
pʰ	p	1.0
s	z	0.496
s	s	0.449
s	ɾ_s	0.059
t	t	0.781
t	t_ə	0.105
t	t_n	0.101
tʰ	t	0.944
tʰ	b	0.06
v	v	0.74
v	v_ə	0.247
w	ʋ	0.917
w	-	0.079
z	s	0.822
z	z	0.121
ð	d	0.562
ð	-	0.416
ŋ	ŋ	1.0
ə	ɾ	0.805
ə	-	0.078
ə	ɾ_ə	0.058
ə	ə	0.047
ə	ə_ɾ	0.042
əʊ̯	-	0.644
əʊ̯	n	0.25
ɡ	ɦ	0.784
ɡ	-	0.203
ɪ	ə	0.349
ɪ	-	0.265
ɪ	ˈæ	0.179
ɪ	m	0.114
ɫ	l	0.483
ɫ	ə_l	0.258
ɫ	n	0.077
ɫ	-	0.074
ɫ	l_ə	0.062
ɫ_d	t	1.0
ɹ	ɾ	0.931
ɹ	-	0.069
ʃ	ʃ	0.527
ʃ	s	0.47
ʤ	-	1.0
ʧ	k	0.697
ʧ	k_ə	0.298
ˈaɪ̯	ˈi	0.281
ˈaɪ̯	ˈɛ	0.107
ˈaɪ̯	ˈiə̯_ɦ	0.093
ˈaɪ̯	ˈɑ	0.093
ˈaɪ̯	ˈœ	0.081
ˈaʊ̯	ˈyː	0.586
ˈaʊ̯	ˈu	0.213
ˈaʊ̯	ˈøː	0.122
ˈaʊ̯	ˈuə̯	0.074
ˈe	ˈeː	0.314
ˈe	ˈoː	0.215
ˈe	ˈɔ	0.138
ˈe	ˈiə̯	0.131
ˈe	-	0.102
ˈeɪ̯	ˈɒː	0.531
ˈeɪ̯	ˈɑ	0.153
ˈeɪ̯	ˈoː	0.127
ˈeɪ̯	ˈæ	0.078
ˈeɪ̯	ˈeː	0.07
ˈiː	ˈiə̯	0.292
ˈiː	ˈoː	0.25
ˈiː	ˈɒː	0.19
ˈiː	ˈuə̯	0.112
ˈiː	ˈi	0.055
ˈuː	ˈuə̯	0.315
ˈuː	ˈɒː	0.158
ˈuː	ˈɛː	0.158
ˈuː	ˈɑ	0.158
ˈuː	ˈɑ_n	0.111
ˈæ	ˈɑ	0.831
ˈæ	ˈæ	0.168
ˈɐ	ˈuə̯	0.319
ˈɐ	ˈu	0.236
ˈɐ	ˈɛː	0.109
ˈɐ	ˈøː	0.106
ˈɐ	ˈoː	0.083
ˈɑː	ˈɑ	0.34
ˈɑː	ˈæ_ɾ	0.321
ˈɑː	ˈɒː	0.252
ˈɑː	w	0.076
ˈɒ	ˈɔ	0.468
ˈɒ	ˈɑ	0.339
ˈɒ	ˈu	0.137
ˈɔː	ˈoː_ɾ	0.282
ˈɔː	ˈɔ	0.245
ˈɔː	ˈɒː	0.209
ˈɔː	ˈɑ_ɾ	0.182
ˈɔː	ə	0.069
ˈəʊ̯	ˈɛː	0.334
ˈəʊ̯	ˈu	0.172
ˈəʊ̯	ˈiə̯	0.077
ˈəʊ̯	ˈeː	0.077
ˈəʊ̯	ˈøː	0.077
ˈɛ	ˈɒː	1.0
ˈɜː	ˈɛː	0.45
ˈɜː	ˈæ	0.231
ˈɜː	ˈoː	0.136
ˈɪ	ˈɪ	0.271
ˈɪ	ˈiə̯	0.125
ˈɪ	ˈɛ	0.125
ˈɪ	ˈoː	0.101
ˈɪ	ˈi	0.086
ˈʊ	ˈuə̯	0.525
ˈʊ	ˈœ	0.447
θ	d	0.621
θ	n_t	0.205
θ	t	0.146
