English	West Flemish	probability
b	b	1.0
d	d	0.456
d	t	0.403
d	p	0.053
d	-	0.05
f	v	0.794
f	f	0.194
h	-	0.851
h	k	0.096
j	ɦ	0.399
j	j	0.317
j	ˈiə̯	0.284
k	k	0.96
kʰ	k	0.923
kʰ	v	0.077
l	l	0.945
m	m	0.912
m	ɾ_m	0.064
n	n	0.946
p	p	1.0
pʰ	p	1.0
s	z	0.562
s	s	0.382
s	ɾ_s	0.056
t	t	0.946
t	ɾ_t	0.054
tʰ	t	0.946
tʰ	b	0.054
v	v	1.0
w	ʋ	0.953
z	s	0.702
z	z	0.298
ð	-	0.568
ð	d	0.432
ŋ	ŋ	1.0
ə	ɾ	0.766
ə	-	0.108
ə	ə_ɾ	0.106
əʊ̯	-	0.535
əʊ̯	w	0.465
ɜː	ˈæ	1.0
ɡ	ɦ	0.953
ɪ	ə	0.459
ɪ	-	0.342
ɪ	m	0.157
ɫ	w	0.364
ɫ	l	0.312
ɫ	ə_l	0.23
ɫ	n	0.069
ɹ	ɾ	0.919
ɹ	-	0.081
ʃ	ʃ	0.577
ʃ	s	0.423
ʤ	ɦ	0.763
ʤ	k	0.237
ʧ	k	1.0
ˈaɪ̯	ˈi	0.211
ˈaɪ̯	ˈɪ	0.175
ˈaɪ̯	ˈiə̯	0.111
ˈaɪ̯	ˈeː	0.092
ˈaɪ̯	ˈɛ	0.074
ˈaɪ̯	ˈɑ	0.074
ˈaɪ̯	ə	0.067
ˈaɪ̯	ˈoː	0.063
ˈaɪ̯	ˈœ	0.056
ˈaʊ̯	ˈyː	0.621
ˈaʊ̯	ˈu	0.185
ˈaʊ̯	ˈuə̯	0.133
ˈaʊ̯	ˈøː	0.061
ˈe	ˈiə̯	0.325
ˈe	ˈeː	0.262
ˈe	ˈoː	0.132
ˈe	ˈɔ	0.115
ˈe	-	0.072
ˈeɪ̯	ˈɒː	0.408
ˈeɪ̯	ˈɑ	0.233
ˈeɪ̯	ˈeː	0.171
ˈeɪ̯	ˈæ	0.097
ˈeɪ̯	ˈɛ	0.051
ˈiː	ˈoː	0.236
ˈiː	ˈiə̯	0.218
ˈiː	ˈuə̯	0.154
ˈiː	ˈɒː	0.11
ˈiː	ə	0.065
ˈiː	iə̯	0.063
ˈuː	ˈuə̯	0.306
ˈuː	ʋ	0.215
ˈuː	ˈɑ	0.162
ˈuː	ˈɒː	0.125
ˈuː	ˈi	0.111
ˈuː	ˈiə̯	0.066
ˈæ	ˈɑ	0.988
ˈɐ	ˈu	0.339
ˈɐ	ˈoː	0.138
ˈɐ	ˈɛː	0.127
ˈɐ	ˈœ	0.11
ˈɐ	ˈɔ	0.086
ˈɐ	ˈøː	0.075
ˈɐ	ˈuə̯	0.073
ˈɑː	ˈɑ	0.507
ˈɑː	ˈæ	0.233
ˈɑː	ˈɒː	0.162
ˈɑː	w	0.098
ˈɒ	ˈɑ	0.473
ˈɒ	ˈɔ	0.446
ˈɒ	ˈu	0.081
ˈɔː	ˈoː	0.501
ˈɔː	ˈɔ	0.182
ˈɔː	ˈɑ	0.14
ˈɔː	ˈɒː	0.089
ˈɔː	ə	0.058
ˈəʊ̯	ˈɛː	0.36
ˈəʊ̯	ˈu	0.175
ˈəʊ̯	ˈeː	0.124
ˈəʊ̯	ˈɒː	0.058
ˈəʊ̯	j	0.054
ˈəʊ̯	w	0.054
ˈəʊ̯	ˈøː	0.054
ˈɛ	ˈɒː	0.535
ˈɛ	ˈæ	0.465
ˈɜː	ˈæ	0.414
ˈɜː	ˈɛː	0.366
ˈɜː	ˈoː	0.22
ˈɪ	ˈɪ	0.415
ˈɪ	ˈiə̯	0.098
ˈɪ	ˈoː	0.092
ˈɪ	ˈɛ	0.083
ˈɪ	ˈæ	0.074
ˈɪ	ˈœ	0.07
ˈɪ	ˈi	0.065
ˈʊ	ˈuə̯	0.569
ˈʊ	ˈœ	0.431
θ	d	0.713
θ	n_t	0.177
θ	t	0.11
