West Frisian	West Frisian	probability
ˈɪə̯_#>	ˈɔa̯_ɾ_#>	1.0
ˈɪ_z_ə_#>	ˈiː_#>	1.0
ˈɛ_t	ˈeː_d	1.0
ˈɛ_j_#>	ˈiː_#>	1.0
ˈɔu̯	ˈuː	1.0
ˈøə̯	ˈɪ	1.0
ˈø	-	1.0
ˈyː	ˈʏ	1.0
ˈy	-	1.0
ˈu̯o	ˈɛ	1.0
ˈoː_#>	ˈʏ_#>	1.0
ˈi_t	ˈɪ_t	1.0
ɣ	ç	1.0
ɡ	ɡ	1.0
ə_r	ɐ	1.0
ə_n	ə_n	1.0
ŋ	ŋ	1.0
v_ə	ə_f	1.0
v	v	1.0
t_r	tʰ_r	1.0
s_#>	s_#>	1.0
n_ə	nʲ	1.0
n_d	n	1.0
n_#>	#>	1.0
l_d̥	lʲ	1.0
j_ˈɛ	ˈɛː	1.0
h	h	1.0
f	f	1.0
d̥_#>	#>	1.0
d_ə	ɾ	1.0
b	b	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
<#	<#_j	1.0
#>	t_#>	1.0
t	t	0.951
s	s	0.942
m	m	0.92
ʋ	v	0.895
d	d	0.889
k	k	0.879
l	l	0.833
ə	-	0.796
p	p	0.786
n	n	0.725
ˈaː	ˈɔː	0.7
d̥	ɾ	0.7
ˈeː	-	0.667
ɪ	ɪ	0.667
z	s	0.667
ˈɛi̯	ˈaɪ̯	0.625
ˈɔː	-	0.6
ˈa	ˈa	0.588
ˈiː	ˈɪ	0.583
ˈuː	ˈʏ	0.571
j_ə_#>	ə_#>	0.571
χ	ç	0.5
χ	x	0.5
ˈɛː	-	0.5
ˈɛ	ˈa	0.5
ˈɛ	-	0.5
ˈu	ˈʊ	0.5
ˈu	ˈœ	0.5
r	ɐ	0.463
ˈoə̯	ˈuː	0.462
ˈi	ˈɪ	0.455
j	-	0.444
ˈɔ	-	0.429
j_ə_#>	#>	0.429
ˈiː	-	0.417
r	r	0.415
ˈɪ	ˈɛ	0.414
ˈɔː	ˈœ	0.4
ʦ	tʰ	0.4
ʦ	-	0.4
ˈɛi̯	-	0.375
ˈiə̯	ˈiː	0.368
ˈi	-	0.364
ˈeː	ˈeː	0.333
ɪ	aɪ̯	0.333
z	z	0.333
j	j	0.333
ˈɪə̯	ˈɔa̯	0.316
ˈɪ	ˈɪ	0.31
ˈaː	-	0.3
d̥	t	0.3
ˈɔ	ˈʊ	0.286
ˈɔ	ˈɔ	0.286
ˈuː	-	0.286
ˈɪə̯	-	0.263
ˈɛː	ˈeː	0.25
ˈɛː	ˈa	0.25
ˈa	-	0.235
ˈoə̯	r	0.231
j	ˈiː	0.222
p	pʰ	0.214
ˈɪə̯	ˈoː	0.211
ˈiə̯	ˈɛ	0.211
ˈuə̯	ˈɔ	0.2
ˈuə̯	ˈyː	0.2
ˈuə̯	-	0.2
ʦ	tʲ	0.2
ˈi	ˈiː	0.182
ˈa	ˈɔː	0.176
ˈoə̯	ˈɔa̯	0.154
ˈoə̯	-	0.154
ˈuː	ˈyː	0.143
ˈɪ	ˈeː	0.138
ˈuə̯	ˈʊ	0.133
ˈuə̯	ˈœ	0.133
ˈuə̯	ˈuː	0.133
l	ˈɛ_l	0.111
d	-	0.111
ˈɪə̯	ˈʊ	0.105
ˈɪə̯	ˈɛ	0.105
ˈiə̯	ˈɔː	0.105
ˈiə̯	ˈøː	0.105
ˈiə̯	ˈyː	0.105
ˈiə̯	-	0.105
ʋ	v_ˈʏ	0.105
n	ɐ_n	0.1
ə	ə	0.082
m	ə_m	0.08
n	ˈœ_n	0.075
r	-	0.073
ˈɪ	ˈʊ	0.069
ˈɪ	-	0.069
k	ɡ	0.061
k	-	0.061
s	ʃ	0.058
l	-	0.056
