Galician	Galician	probability
θ_#>	s_#>	1.0
β_ɐ	e	1.0
ˈɑ	ˈa	1.0
ˈi_ʊ	t	1.0
ˈi_l	ˈi_l	1.0
ˈa_ɾ	ˈaː	1.0
ˈa_#>	ˈa_n_e_#>	1.0
ʊ_#>	#>	1.0
ɾ_ɐ	r_e	1.0
ɾ_t	r_t	1.0
ɾ_n	r	1.0
ɪ_#>	#>	1.0
ɣ_ʊ	s	1.0
ɟ_ʊ	l_i	1.0
ɑ	ɡ_a	1.0
ɐ_#>	#>	1.0
w_t	l_t	1.0
v	z_v	1.0
s_ˈo	ˈa	1.0
s_ɐ	z_e	1.0
s_#>	#>	1.0
s	s	1.0
r	r	1.0
p	p	1.0
n_ʊ	ŋ	1.0
l_ʊ	ˈɛ_l	1.0
k_ʊ_#>	k_#>	1.0
j_ʃ	s	1.0
f	f	1.0
e_s	s	1.0
d_ˈe	d_ˈi	1.0
d_ʊ	t	1.0
d	d	1.0
a_ð	a_d	1.0
<#_θ	<#_ʧ	1.0
<#_ˈo	<#_ˈa	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#	1.0
<#	<#_v	1.0
ɐ	e	0.948
m	m	0.906
t	t	0.895
l	l	0.895
n	n	0.889
<#_l	<#_l	0.85
ɾ	r	0.796
ŋ	ŋ	0.783
ˈe_ɾ	i	0.778
ɡ	ɡ	0.778
ˈa	ˈa	0.756
ˈi	ˈi	0.731
ɟ	-	0.625
b	v	0.618
ð	t	0.611
ˈi_ɾ	ˈiː	0.6
u	u	0.6
i	i	0.6
w	w	0.583
j	-	0.583
a	a	0.556
ɲ	ɲ	0.529
o	o	0.526
ˈɛ	j_ˈɛ	0.524
ˈe_j	ˈɛ	0.5
ˈe_j	ˈe	0.5
ˈe	ˈe	0.5
ʊ	l	0.5
ʊ	i	0.5
ɣ	ɡ	0.5
ˈu	ˈu	0.476
k	k	0.475
θ	ʧ	0.467
ʧ	p_l	0.429
k	c	0.425
β	v	0.4
ˈo	ˈo	0.4
ˈi_ɾ	i	0.4
u	-	0.4
i	-	0.4
e	e	0.4
ð	d	0.389
b	b	0.382
ʃ	s	0.375
ʃ	j	0.375
ɟ	l	0.375
ɣ	-	0.333
w	-	0.333
β	f	0.3
ˈu	ˈuː	0.286
ʧ	k_l	0.286
ʧ	f_l	0.286
a	e	0.278
ˈɔ	ˈuː	0.273
e	i	0.267
o	-	0.263
ʃ	ʤ	0.25
j	i	0.25
ˈa	ˈaː	0.244
ɲ	ŋ	0.235
ɲ	n	0.235
ˈɔ	ˈo	0.227
ˈe_ɾ	ˈeː	0.222
ɡ	k	0.222
θ	s	0.2
θ	-	0.2
β	b	0.2
ˈo	ˈɔ	0.2
e	-	0.2
ˈɛ	ˈɛ	0.19
ˈɛ	ˈiː	0.19
ɣ	k	0.167
j	j	0.167
a	-	0.167
<#_l	<#_j	0.15
ˈe	ˈɛ	0.147
ˈe	ˈi	0.147
ˈu	ˈo	0.143
ˈɔ	w_ˈɛ	0.136
ˈɔ	w	0.136
ˈɔ	-	0.136
θ	z	0.133
e	j	0.133
ŋ	-	0.13
ˈe	-	0.118
ˈi	i	0.115
ˈo	ˈu	0.111
n	ɲ	0.111
o	u	0.105
o	i	0.105
l	-	0.105
β	-	0.1
ˈɛ	-	0.095
ˈu	ˈoː	0.095
m	-	0.094
ˈɔ	w_ˈa	0.091
ˈo	ˈoː	0.089
ˈo	w	0.089
ˈe	ˈeː	0.088
ŋ	n	0.087
w	ˈɔː	0.083
ɾ	ˈaː	0.082
ˈi	ˈiː	0.077
ˈi	-	0.077
ˈo	w_ˈi	0.067
t	d	0.053
t	-	0.053
ɐ	-	0.052
