West Frisian	West Frisian	probability
ˈɪə̯_n	ˈɛ̃ː	1.0
ˈɛ_j	ˈai̯	1.0
ˈɔu̯	-	1.0
ˈɔ_ɣ	ˈoĩ̯	1.0
ˈøə̯	ˈoi̯	1.0
ˈø	-	1.0
ˈyː	ˈu	1.0
ˈy	-	1.0
ˈu̯o	ˈoi̯	1.0
ˈu	ˈu	1.0
ˈoː	ˈuː	1.0
ˈiə̯_r_#>	ˈɑː_#>	1.0
ˈi_n	ˈɑ̃i̯	1.0
ʋ	v	1.0
ɪ_n	ɛː	1.0
ə_χ	i_ʃ	1.0
ə_r	æ̆	1.0
ə_l	l	1.0
ə_#>	#>	1.0
ɕ	s	1.0
z	-	1.0
v	v	1.0
t_#>	s_#>	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
p_#>	f_#>	1.0
n_d	n	1.0
n_#>	#>	1.0
m_#>	m_#>	1.0
m	m	1.0
k_ə	ʤ̥	1.0
k_#>	ʃ_#>	1.0
j_ˈɪ	ˈiː	1.0
j_ˈɛ	ˈæ	1.0
j_ˈuə̯	ˈoi̯	1.0
j_ə	ə	1.0
h	h	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_d	<#_d̥	1.0
l	l	0.935
f	f	0.88
n	n	0.844
ə	ə	0.829
ŋ	ŋ	0.8
s	s	0.784
ˈuə̯	ˈuː	0.778
d̥_#>	d̥_#>	0.75
ɡ	ɡ̊	0.727
ˈɛː	-	0.714
ˈɛi̯	-	0.667
ˈiə̯_n	ˈãː	0.667
ˈa	ˈɑ	0.667
ˈɪ	ˈi	0.615
ˈeː	ˈeː	0.6
b	b̥	0.579
d	t	0.571
#>	d̥_#>	0.571
ˈɔː	ˈɑ	0.5
ˈɔː	-	0.5
ˈi	ˈi	0.5
ʦ	kʰ	0.5
ʦ	-	0.5
ɣ	ɣ̊	0.5
ɣ	k	0.5
k	ɡ̊	0.5
k	x	0.5
j	-	0.467
ˈuː	ˈau̯	0.462
r	ʀ	0.447
ˈiː	ˈi	0.444
ˈɔ	ˈo	0.429
d	d̥	0.429
b	p	0.421
ˈoə̯	ˈɔ_ɐ	0.4
ˈeː	-	0.4
ˈiə̯	ˈiː	0.385
p	v̥	0.375
t	t	0.366
χ	ʃ	0.357
χ	x	0.357
ˈɔ	-	0.357
ˈɛi̯	ˈɑː_ɣ̊	0.333
ˈɛ	-	0.333
ˈiː	-	0.333
ˈiə̯_n	ˈĩː	0.333
ˈoə̯	-	0.3
r	ɐ	0.289
χ	-	0.286
ˈɪə̯	ˈaː	0.286
ˈɪə̯	-	0.286
ˈɛː	ˈɑː	0.286
ˈaː	ˈɑː	0.273
ˈaː	ˈaː	0.273
ˈaː	ˈa	0.273
ɡ	k	0.273
t	ʦ	0.268
ˈi	ˈai̯	0.25
ˈi	-	0.25
p	f	0.25
p	-	0.25
d̥_#>	#>	0.25
ˈuː	-	0.231
ˈiə̯	ˈɛː	0.231
ˈiə̯	ˈɑː	0.231
ˈɛ	ˈɛ	0.222
ˈɛ	ˈæ	0.222
ˈɛ	ˈe	0.222
ˈuə̯	ˈu	0.222
ˈiː	ˈai̯	0.222
ˈɔ	ˈi	0.214
r	æ̆	0.211
ˈoə̯	ˈoː	0.2
ˈa	ˈa	0.2
ŋ	-	0.2
t	d̥	0.195
ˈaː	ˈɛ	0.182
ˈuː	ˈoː	0.154
ˈuː	ˈoi̯	0.154
ˈiə̯	ˈeː	0.154
ˈɪə̯	ˈoː	0.143
ˈɪə̯	ˈa	0.143
ə	-	0.143
#>	ʃ_#>	0.143
#>	ə_#>	0.143
#>	b̥_#>	0.143
s	ʃ	0.135
ˈa	ˈɑː	0.133
j	ˈiː	0.133
j	ˈai̯	0.133
j	ɡ̊	0.133
j	j	0.133
p	pʰ	0.125
t	z̥	0.122
f	b̥	0.12
ˈɪ	ˈe	0.115
ˈɪ	-	0.115
ˈoə̯	ˈõː	0.1
ˈɪə̯	ˈiː	0.095
n	v_ə	0.094
s	-	0.081
ˈɪ	ˈiː	0.077
ˈɪ	ˈai̯	0.077
l	-	0.065
n	j	0.062
r	-	0.053
