Zeelandic	Zeelandic	probability
ˈɛː_#>	b_m_#>	1.0
ˈɒː	ˈa	1.0
ˈɑu̯	ˈɔ_l	1.0
ˈæi̯	ˈae̯	1.0
ˈæ_ɾ	ˈaː	1.0
ˈuːə̯	-	1.0
ˈoː	-	1.0
ˈiːə̯	ˈae̯	1.0
ɾ_ə	æ	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ə_ɾ	æ	1.0
ə_n	n	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
w_#>	#>	1.0
v_ə	m	1.0
v	f	1.0
t_ə	t	1.0
s_x	ʃ	1.0
n_ə	n	1.0
m	m	1.0
l	l	1.0
k_ə	k	1.0
iː	ae̯	1.0
i	ɪ	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#	<#_h	1.0
d	d	0.926
n	n	0.895
d̥	d̥	0.889
t	t	0.879
ʋ	v	0.87
ˈɑ	ˈa	0.864
z	z	0.864
ˈyː	ˈuː	0.857
p	p	0.846
ˈɪ	ˈɪ	0.833
v̥	v̥	0.778
ˈʊə̯	ˈaʊ̯	0.769
ˈʏ	-	0.75
s	ʃ	0.75
ˈɛː	ˈɒː	0.727
n_d	n	0.714
ˈɪə̯	ˈae̯	0.667
ˈeː	ˈɛː	0.625
ˈʊə̯_ɾ	ˈuː	0.6
ˈæ	ˈɛ	0.6
ˈi	ˈiː	0.6
x_ə	ŋ	0.6
k	kʰ	0.583
ˈuː	ˈaʊ̯	0.571
ə	-	0.536
ˈu	ˈʊ	0.5
ˈu	ˈaʊ̯	0.5
ŋ_k	ŋ	0.5
ŋ_k	ç	0.5
j	j	0.5
j	-	0.5
ˈiː	ˈae̯	0.471
ˈuː	ˈɔʏ̯	0.429
ɾ	r	0.424
ˈʊə̯_ɾ	æ	0.4
ˈɔ	ˈʊ	0.4
ˈøː	ˈɔ	0.4
ˈøː	ˈœː	0.4
ˈæ	-	0.4
ˈi	ˈɪ	0.4
x_ə	ɡ	0.4
ˈeː	-	0.375
k	k	0.375
ə	n	0.339
ˈɪə̯	-	0.333
ɾ	æ	0.303
x	ɡ	0.29
x	ç	0.29
n_d	n_n	0.286
ˈʏ	ˈʏ	0.25
ˈɔ	ˈɔ	0.25
ˈɔ	-	0.25
s	s	0.25
ˈiː	ˈiː	0.235
ˈʊə̯	-	0.231
v̥	m	0.222
ˈøː	ˈøː	0.2
x	x	0.194
ˈiː	ˈyː	0.176
ˈɪ	ˈʏ	0.167
p	-	0.154
ˈyː	ˈiː	0.143
ˈɛː	-	0.136
ˈɑ	-	0.136
z	ʃ	0.136
ʋ	w	0.13
x	j	0.129
t	-	0.121
ˈiː	-	0.118
d̥	t	0.111
n	-	0.105
ˈɔ	r	0.1
ˈɛː	ˈoː	0.091
ɾ	ˈaː	0.091
ə	æ	0.089
d	-	0.074
x	ɣ̊	0.065
ɾ	ˈuː_æ	0.061
ɾ	ˈoː_æ	0.061
ɾ	ˈiː	0.061
