Bokmål Norwegian	Pennsylvania German	probability
b	b	0.944
b	-	0.056
d	d	0.746
d	d̥	0.191
f	f	0.976
h	h	0.973
i	ɪ	1.0
j	ɡ	0.352
j	h	0.227
j	ˈɛː	0.167
j	-	0.096
j	x	0.052
k	ç	0.486
k	x	0.207
k	-	0.199
k	k	0.108
kʰ	kʰ	0.732
kʰ	ɡ	0.179
kʰ	-	0.089
kː	k	1.0
l	l	0.918
l	ɣ_l	0.062
lː	l	0.875
lː	-	0.125
m	m	0.901
m	n	0.099
mː	m	1.0
n	n	0.741
n	ç	0.138
n	-	0.094
nː	n	0.93
nː	-	0.07
p	f	0.839
p	p	0.161
pʰ	p͡f	0.807
pʰ	b	0.193
pː	f	1.0
s	s	0.492
s	ʃ	0.47
sː	s	1.0
t	s	0.636
t	t	0.317
tʰ	d	0.634
tʰ	ʦ	0.327
tː	s	0.395
tː	ʦ	0.291
tː	ç_t	0.266
ŋ	ç	1.0
ŋː	ŋ	1.0
ɕ	kʰ	0.96
ə	-	0.526
ə	ə	0.421
ɡ	ɡ	0.563
ɡ	j	0.181
ɡ	ɡ̊	0.145
ɡ	ç	0.077
ɡː	k	0.796
ɡː	-	0.204
ɪ	ɪ	1.0
ɳ	n	0.866
ɳ	ɑ	0.134
ɾ	ɾ	0.488
ɾ	ɑ	0.321
ɾ	d_ɑ	0.107
ɾ	-	0.084
ʂ	s	0.701
ʂ	ʃ	0.299
ʃ	ʃ	1.0
ʈ	t	0.5
ʈ	ʦ	0.5
ʈː	ʦ	1.0
ʋ	ʋ	0.621
ʋ	v	0.151
ʋ	b̥	0.103
ʋ	f	0.077
ˈeː	ˈeː	0.312
ˈeː	ˈɛ	0.171
ˈeː	ˈɔː	0.147
ˈeː	ˈiː	0.103
ˈeː	ˈaɪ̯	0.099
ˈeː	ˈɪ	0.099
ˈeː	ˈa	0.068
ˈiː	ˈaɪ̯	0.55
ˈiː	ˈiː	0.146
ˈiː	ˈɛ	0.13
ˈiː	ˈɪ	0.086
ˈoː	ˈoː	0.516
ˈoː	ˈɔː	0.217
ˈoː	ˈeː	0.156
ˈoː	j	0.058
ˈuː	ˈuː	0.304
ˈuː	ˈʊ	0.178
ˈuː	-	0.143
ˈuː	ˈa	0.14
ˈuː	ˈaː	0.136
ˈyː	ˈiː	0.664
ˈyː	ˈaɪ̯	0.285
ˈyː	ˈɪ	0.051
ˈæ	ˈɛː	0.67
ˈæ	ˈɪ	0.33
ˈæɪ̯	ˈeː	0.787
ˈæɪ̯	j	0.087
ˈæɪ̯	ˈɪ	0.085
ˈæː	ˈɛ	0.434
ˈæː	ˈɛː	0.295
ˈæː	ˈiː	0.18
ˈæː	ɑ	0.091
ˈøː	ˈoː	0.451
ˈøː	ˈeː	0.204
ˈøː	ˈɔː	0.148
ˈøː	ˈuː	0.105
ˈøː	-	0.064
ˈœ	ˈoː	0.234
ˈœ	ˈɪ	0.152
ˈœ	ˈiː	0.15
ˈœ	ˈɔː	0.123
ˈœ	ʋ	0.097
ˈœ	ˈɔ	0.066
ˈœ	ˈʊ	0.066
ˈœʏ̯	ˈaʊ̯	1.0
ˈɑ	ˈa	0.732
ˈɑ	ˈaː	0.136
ˈɑ	ˈɔː	0.104
ˈɑː	ˈɔː	0.603
ˈɑː	ˈa	0.397
ˈɔ	ˈʊ	0.561
ˈɔ	ˈɛ	0.156
ˈɔ	ˈa	0.096
ˈɔ	ˈɔ	0.088
ˈɔ	ˈaː	0.065
ˈɛ	ˈɛ	0.362
ˈɛ	ˈaɪ̯	0.132
ˈɛ	ˈɛː	0.125
ˈɛ	ˈeː	0.119
ˈɛ	ˈa	0.104
ˈɛ	ˈɪ	0.08
ˈɪ	ˈɪ	0.859
ˈɪ	ˈaɪ̯	0.069
ˈʉ	ˈʊ	0.728
ˈʉ	ʋ_ˈɔ	0.066
ˈʉ	ˈaʊ̯	0.061
ˈʉ	ˈɛ	0.057
ˈʉː	ˈaʊ̯	0.529
ˈʉː	ˈɔ	0.156
ˈʉː	-	0.117
ˈʉː	ˈaɪ̯	0.067
ˈʉː	ˈeː	0.067
ˈʊ	ˈʊ	0.395
ˈʊ	ˈaʊ̯	0.222
ˈʊ	ˈeː	0.222
ˈʊ	ˈaː	0.161
ˈʏ	ˈɪ	0.686
ˈʏ	ˈaʊ̯	0.157
ˈʏ	ˈʊ	0.088
ˈʏ	ˈaɪ̯	0.069
