Luxembourgish	Luxembourgish	probability
ˈʊ	ˈʏ	1.0
ˈɛː_ɐ	ˈɑ	1.0
ˈəʊ̯_d̥	ˈu_t	1.0
ˈɔ	ˈu	1.0
ˈɑʊ̯	ˈɑi̯	1.0
ˈæːʊ̯	ˈɑi̯	1.0
ˈæ	-	1.0
ˈuː	ˈʏ	1.0
ˈiə̯	ˈɑ	1.0
ʦ	ʦ	1.0
ʑ	-	1.0
ʃ_t	s_t	1.0
ʀ	r	1.0
ɡ	ɡ	1.0
ə_ɕ	ɪ_k	1.0
ə_n	a	1.0
z̥	s	1.0
z	z	1.0
w	v	1.0
t	t	1.0
s	s	1.0
p	p	1.0
m	m	1.0
kʰ	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
e_ŋ	ɑ	1.0
d	d	1.0
b	b	1.0
<#_ʀ	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_t	1.0
ʃ	ʃ	0.955
v	v	0.913
ˈo	ˈu	0.846
ˈæːɪ̯	ˈai̯	0.833
k	k	0.833
ˈeː	ˈa	0.786
n	n	0.773
l	w	0.769
χ	x	0.714
ŋ	ŋ	0.7
ˈəʊ̯	ˈʏ	0.667
ɕ	x	0.667
d̥	d̥	0.667
ˈə	ˈɘ̟	0.647
#>	ɡ̊_#>	0.643
ˈɜɪ̯	ˈi	0.625
ˈuə̯	ˈɔ	0.6
ˈe	ˈɘ̟	0.6
l_ə	w	0.6
ə	-	0.529
ˈɛ	ˈa	0.5
ˈɛ	-	0.5
ˈu	-	0.5
ˈiː	ˈi	0.5
ˈi	ˈɑ	0.5
ˈi	-	0.5
v̥	b̥	0.5
v̥	-	0.5
ɐ	ɛ_r	0.471
ˈoː	ˈø	0.444
ˈaː	ˈɑ	0.429
ˈɑ	ˈɘ̟	0.421
ˈiː	-	0.417
ˈuə̯	ˈɑ	0.4
ˈe	-	0.4
l_ə	l	0.4
ɐ	r	0.382
ˈə	-	0.353
ˈəʊ̯	ˈø	0.333
ˈɑɪ̯	-	0.333
ˈoː	ˈi̯ø	0.333
d̥	t	0.333
ˈɑ	ˈɑ	0.316
ŋ	n	0.3
χ	-	0.286
ˈu	ˈʏ	0.25
ˈu	ˈɔ	0.25
ˈaː	ˈɔ	0.238
ə	ɟ	0.235
ə	ə	0.235
ˈɑɪ̯	ˈɘ̟_n	0.222
ˈɑɪ̯	ˈɑi̯_ɛ	0.222
ˈɑɪ̯	ˈɑi̯	0.222
ˈoː	-	0.222
ɕ	ç	0.222
ˈeː	-	0.214
#>	ə_#>	0.214
ˈaː	ˈɑi̯	0.19
ˈɜɪ̯	ˈei̯	0.188
ˈɜɪ̯	-	0.188
ˈæːɪ̯	-	0.167
k	c	0.167
n	n_d	0.159
ˈɑ	ˈɔ	0.158
ˈo	-	0.154
ˈaː	ˈi̯ø	0.143
#>	t_#>	0.143
ɕ	ɡ̊	0.111
ˈɑ	-	0.105
l	l	0.103
ɐ	ə	0.088
v	-	0.087
ˈiː	ˈɪ	0.083
l	w_d̥	0.077
n	a	0.068
ɐ	-	0.059
l	-	0.051
