Bavarian	Old English	probability
ˈɛ	-	1.0
ˈɑ_n	ˈoː	1.0
ˈoɐ̯	ˈɑː	1.0
ˈou̯	ˈæːɑ̯	1.0
ˈiː	ˈi	1.0
ˈa	-	1.0
ʋ	w	1.0
ʃ_d̥	s_t	1.0
ɡ̊_s	k_s	1.0
ɡ̊_a	ʤ	1.0
ə	-	1.0
ŋ_ɡ̊	ŋ_k	1.0
ç	ʧ	1.0
sː	t_e	1.0
r_ˈai̯	r_ˈeːo̯	1.0
r	r	1.0
n_ʃ	ʃː	1.0
l	l	1.0
h	h	1.0
fː	p	1.0
f_ə	eo̯	1.0
eː	iːy̯	1.0
f	f	0.964
b̥	b	0.899
ˈiɐ̯	ˈeːo̯	0.881
ˈau̯	ˈuː	0.817
ˈuɐ̯	ˈoː	0.8
j	ɫ	0.77
m	m	0.766
a	ɑ	0.757
ˈi	ˈi	0.71
ʦ	t	0.706
ˈɑ	ˈɑ	0.681
n	n	0.674
i	-	0.667
ˈai̯	ˈiː	0.642
s	s	0.624
ˈe	ˈe	0.62
ɐ	r	0.617
ˈu	ˈu	0.604
d̥	d	0.569
ʃ	s	0.557
ˈɒ	ˈɑ	0.549
ˈɑː	ˈɑ	0.549
ˈaː	ˈæːɑ̯	0.541
kʰ	k	0.534
ˈɒː	-	0.526
β	v	0.5
β	-	0.5
x	-	0.477
ˈɒː	ˈæ	0.474
ˈeː	-	0.47
kʰ	ʧ	0.466
ˈaː	-	0.459
ˈɒ	ˈæ	0.451
ˈɑː	-	0.451
ʃ	ʃ	0.443
x	x	0.368
i	iː	0.333
ˈo	ˈo	0.325
ɡ̊	j	0.322
ˈɑ	-	0.319
ˈo	ˈæɑ̯	0.313
ˈoː	ˈæːɑ̯	0.307
ŋ	ŋ_ɡ	0.301
ˈoː	-	0.299
ʦ	tː	0.294
ˈeː	ˈe	0.267
ˈeː	ˈiːy̯	0.263
ˈe	ˈeo̯	0.261
a	e	0.243
ˈo	ˈu	0.237
ˈoː	ˈæː	0.236
ɡ̊	ɣ	0.23
j	l	0.23
ŋ	n	0.228
s	t_ɑ	0.222
ˈu	-	0.206
ŋ	ɣ_ɑ	0.205
ˈuɐ̯	ˈeː	0.2
ˈau̯	-	0.183
ŋ	ŋ	0.16
ˈoː	ˈo	0.158
x	ç	0.155
ɡ̊	k	0.152
ˈi	-	0.146
n	nː	0.144
ˈu	ˈy	0.142
ɐ	e_r	0.142
ˈe	-	0.12
d̥	d_ɑ	0.12
ˈiɐ̯	ˈeː	0.119
ɡ̊	ʤ	0.116
d̥	θ	0.109
ŋ	ʤː_ɑ	0.107
ɡ̊	ɣ̊	0.106
b̥	-	0.101
n	ɑ	0.098
ɐ	o_r	0.095
ˈai̯	ˈeːo̯	0.092
ˈai̯	-	0.092
ˈi	ˈy	0.091
ˈai̯	ˈiːy̯	0.088
d̥	t	0.088
ˈai̯	ˈyː	0.087
m	-	0.085
s	z	0.081
m	mː	0.077
ˈo	-	0.074
ɡ̊	ʧː	0.074
d̥	ð	0.074
s	t	0.073
ɐ	r_e	0.069
m	v_ɑ	0.06
ˈi	ˈo	0.053
ˈo	ˈi	0.052
