Swabian	Dutch	probability
a	ə	0.864
a	-	0.136
b	b	0.611
b	v	0.18
b	v̥	0.174
b̥͡f	p	0.958
d	d	0.481
d	d̥	0.31
d	t	0.186
e	ə	1.0
eə̯	i	1.0
f	v	0.652
f	p	0.272
f	f	0.076
h	ɦ	1.0
i	ɪ	1.0
j	j	1.0
kʰ	k	0.982
l	ɫ	0.896
l	ə_ɫ	0.057
m	m	0.912
m	-	0.088
n	n	0.99
p͡f	p	1.0
s	z	0.439
s	t	0.317
s	s	0.17
s	z̥	0.063
t	d̥	0.602
t	t	0.398
x	χ	0.719
x	k	0.281
ç	k	0.761
ç	χ	0.239
ŋ	ŋ	0.959
ɡ	χ	0.827
ɡ	ŋ	0.07
ɡ	k	0.067
ɪ	ə	0.5
ɪ	ɪ	0.5
ʁ	ɾ	0.855
ʁ	ˈɛ_ɾ	0.091
ʃ	s	0.897
ʃ	z	0.103
ʋ	ʋ	0.946
ʋ	-	0.054
ʌ	ə	0.728
ʌ	ɾ	0.234
ʕ	ɾ	0.904
ʕ	-	0.096
ʣ	t	1.0
ʦ	t	1.0
ˈa	ˈɑ	0.666
ˈa	ˈaː	0.115
ˈa	ˈɑu̯	0.092
ˈa	ˈɛ	0.066
ˈa	ˈɪ	0.061
ˈae̯	ˈi	0.334
ˈae̯	ˈeː	0.197
ˈae̯	ˈɛi̯	0.163
ˈae̯	ˈoː	0.129
ˈae̯	ˈœy̯	0.105
ˈae̯	-	0.073
ˈao̯	ˈœy̯	0.536
ˈao̯	ˈoː	0.31
ˈao̯	ˈɑu̯	0.059
ˈao̯	ˈyː	0.054
ˈaː	ˈɑ	0.591
ˈaː	ˈaː	0.281
ˈaː	ˈɛ	0.128
ˈe	ˈɪ	0.652
ˈe	ˈɛ	0.235
ˈe	ˈaː	0.078
ˈeə̯	ˈi	0.404
ˈeə̯	ˈu	0.402
ˈeə̯	ˈeː	0.193
ˈeː	ˈoː	0.626
ˈeː	ˈi	0.121
ˈeː	ˈɛ	0.118
ˈeː	ˈeː	0.054
ˈeː	ˈɪ	0.054
ˈi	ˈɪ	0.446
ˈi	χ_ˈɪ	0.11
ˈi	ˈoː	0.104
ˈi	ˈɛi̯	0.079
ˈi	ˈi	0.075
ˈi	ˈeː	0.071
ˈi	ˈɛ	0.059
ˈi	-	0.056
ˈiə̯	ˈi	0.694
ˈiə̯	ˈu	0.306
ˈiː	ˈi	0.435
ˈiː	j	0.183
ˈiː	ˈeː	0.178
ˈiː	ˈu	0.102
ˈiː	ˈɪ	0.102
ˈo	ˈɔ	0.757
ˈo	ˈoː	0.1
ˈo	ˈaː	0.075
ˈoː	ˈoː	0.792
ˈoː	ˈaː	0.208
ˈu	ˈɔ	0.422
ˈu	ˈʏ	0.346
ˈu	ˈu	0.12
ˈu	ˈoː	0.112
ˈuə̯	ˈu	1.0
ˈuː	ˈu	1.0
ˈɔ	ˈoː	0.562
ˈɔ	ˈɔ	0.438
ˈɔe̯	ˈeː	0.803
ˈɔe̯	ˈɛi̯	0.197
ˈɔə̯	ˈu	1.0
ˈɔː	ˈaː	0.893
ˈɔː	ˈøː	0.087
ˈəi̯	ˈɛi̯	0.53
ˈəi̯	ˈɪ	0.194
ˈəi̯	ˈyː	0.142
ˈəi̯	ˈœy̯	0.097
ˈɛ	ˈɛ	0.393
ˈɛ	ˈɑ	0.179
ˈɛ	ˈeː	0.139
ˈɛ	ˈaː	0.103
ˈɛ	ˈɛi̯	0.095
ˈɛː	ˈeː	0.596
ˈɛː	ˈaː	0.254
ˈɛː	ˈɛ	0.15
ˈɪ	ˈɪ	0.75
ˈɪ	ˈɛ	0.25
ˈʌ	ˈɛ	1.0
