Bavarian	East Low German	probability
ˈʏ	ˈʏ	1.0
ˈɛ	ˈɛː	1.0
ˈoː	ˈɒː	1.0
ˈoɐ̯_#>	ˈae̯_n_#>	1.0
ˈou̯	ˈaʊ̯	1.0
ˈiː	ˈɪ	1.0
ˈeː	ˈɛ	1.0
ˈeɐ̯	n	1.0
ˈaː	ˈaʊ̯	1.0
ˈau̯	ˈuː	1.0
ˈa	ˈa	1.0
ʦ_#>	t_#>	1.0
ʃ	ʃ	1.0
ɡ̊_n	ŋ	1.0
ɡ̊_#>	ç_#>	1.0
ə	-	1.0
ŋ_n	ŋ	1.0
ŋ	ŋ	1.0
ç	k	1.0
s_n	t_n	1.0
r_n	æ_n	1.0
p͡f	p	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
i	ɪ	1.0
h	h	1.0
f_#>	p_#>	1.0
d̥_n	n	1.0
b̥_#>	f_#>	1.0
a_#>	#>	1.0
<#_n	<#_n	1.0
n	n	0.938
f	f	0.929
r	r	0.926
b̥	b	0.909
ʋ	v	0.905
j	l	0.895
ˈuɐ̯	ˈaʊ̯	0.818
ɐ	æ	0.8
a	æ	0.773
ˈoɐ̯	ˈae̯	0.75
ʦ	tʰ	0.75
ˈiɐ̯	ˈae̯	0.714
ˈi	ˈɪ	0.714
d̥	d	0.7
t	t	0.667
ɡ̊	ɡ	0.647
k	k	0.6
x	k	0.583
#>	n_#>	0.556
ˈɒ	ˈɒː	0.5
ˈɒ	ˈa	0.5
ˈai̯	ˈiː	0.5
#>	ç_#>	0.444
x	x	0.417
s	z	0.405
ˈo	ˈa	0.4
k	-	0.4
ˈe	ˈɛ	0.375
ˈe	-	0.375
ˈu	ˈʏ	0.357
ˈɔ	ˈɔ	0.333
ˈɔ	ˈɒː	0.333
ˈɔ	ˈa	0.333
s	s	0.31
ˈu	ˈʊ	0.286
ˈiɐ̯	ˈɔʏ̯	0.286
s	t	0.286
ˈo	ˈɔ	0.267
ˈoɐ̯	ˈuː_æ	0.25
ˈe	ˈiː	0.25
ʦ	t	0.25
ɡ̊	j	0.235
ˈu	ˈɔ	0.214
ˈo	ˈʊ	0.2
ɐ	ˈaː	0.2
ˈi	ˈiː	0.19
ˈuɐ̯	ˈɔʏ̯	0.182
d̥	t	0.18
ˈai̯	ˈyː	0.15
ˈai̯	ˈae̯	0.15
ˈu	ˈuː	0.143
a	m	0.136
ˈo	ˈɛ	0.133
t	d	0.125
t	-	0.125
ɡ̊	x	0.118
j	j	0.105
ˈai̯	ˈʏ	0.1
ˈai̯	ˈɪ	0.1
ˈi	ˈae̯	0.095
ʋ	w	0.095
b̥	-	0.091
a	-	0.091
t	ɾ	0.083
d̥	ɾ	0.08
r	ˈaː	0.074
f	p	0.071
n	-	0.062
