Franco-Provençal	Venetian	probability
a	a	1.0
b	b	1.0
d	d	1.0
e	a	1.0
i	a	1.0
o	o	1.0
p	p	1.0
s	s	1.0
z	z	1.0
ɔ	o	1.0
ɲ	ɲ	1.0
ʎ	-	1.0
ˈaː	ˈa	1.0
ˈĩ	ˈi_ŋ	1.0
ˈɑː	ˈa	1.0
ˈɔ	ˈo	1.0
k	k	0.941
w	ˈu	0.121
ʒ	z	0.211
ˈi	ˈe	0.241
ˈi	ˈi	0.641
ˈo	ˈu	0.521
ˈø	o	0.281
ˈɔ̃	ˈo_ŋ	0.481
ˈɛː	ˈe	0.591
n	n_i	0.082
ə	e	0.362
ˈe	o	0.212
ˈe	ˈa	0.302
ˈɑ̃	ˈa	0.112
ˈɛː	e	0.052
j	j	0.603
l	ˈe	0.163
t	t	0.643
v	-	0.053
ɡ	ɡ	0.93
ˈe	-	0.063
ˈoː	l	0.063
ˈɛː	ˈa	0.063
ʁ	r_o	0.074
ʁ	a_r	0.094
ˈo	ˈɔ	0.204
ˈɛː	ˈɛ	0.294
ˈɛ̃	ˈa_ŋ	0.14
ˈɛ̃	o	0.154
ˈɛ̃	ˈe_ŋ	0.54
l	j	0.155
l	ɰ	0.305
ð	z	0.345
ð	r	0.655
ə	o	0.065
ʁ	r	0.695
ʃ	-	0.135
ˈa	ˈa	0.715
ˈo	ˈo	0.275
ˈu	ˈo	0.165
ˈɛ	ˈɛ	0.235
ˈɛ	ˈe	0.765
w	ˈɔ	0.346
w	ˈo	0.476
ˈa	o	0.076
ˈe	ˈi	0.226
j	-	0.347
t	s_t	0.267
v	v	0.947
w	-	0.057
ə	e_r	0.207
ə	a	0.367
ɡ	ʤ	0.07
ʁ	-	0.127
ˈe	ˈɛ	0.197
ˈoː	ˈɔ	0.937
ˈu	ˈu	0.557
ˈɛ̃	ŋ	0.167
f	f	0.98
l	l	0.278
n	n	0.918
ʃ	k	0.818
ˈu	ˈɔ	0.278
ˈɑ̃	ˈa_ŋ	0.888
k	s_k	0.059
l	-	0.099
m	m	0.959
t	s	0.09
ʒ	-	0.789
ˈa	ˈa_r	0.209
ˈi	ˈɛ	0.059
ˈi	ˈi_r	0.059
ˈø	ˈɔ	0.719
ˈɔ̃	n	0.519
