Dutch	Mainland North Frisian	probability
χ_ə	j	1.0
ˈɛ_n	ˈa_n	1.0
ˈɔ_n	ˈʏ	1.0
ˈɑ_ɫ	ˈuː_l	1.0
ˈøː	ˈɔː	1.0
ˈyː	-	1.0
ˈoː_v	ˈɔu̯	1.0
ˈi_χ	w	1.0
ʋ_ˈɔ	ˈʊ	1.0
ʋ	v	1.0
ɪ	i	1.0
ɦ	h	1.0
ə_χ	i	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
w	ˈiː	1.0
v_ə	v_ə	1.0
s_χ	ʃ	1.0
s_ɫ	s_l	1.0
p	p	1.0
n_d̥	nʲ	1.0
n_d	n	1.0
m	m	1.0
j	j	1.0
i	ɛi̯	1.0
d_ə	d̥	1.0
b	b	1.0
ɫ	l	0.952
ɾ	ʀ	0.911
k	k	0.896
z	s	0.895
v	f	0.89
ˈi	ˈiː	0.76
ˈɛi̯	ˈi	0.732
n	n	0.727
t	t	0.707
ə	ə	0.661
ˈœy̯	ˈʏ	0.656
d	d	0.641
s	s	0.637
ˈɑu̯	-	0.596
ˈɔ	ˈʊ	0.585
v̥	v̥	0.502
d̥	d̥	0.466
ˈʏ	-	0.443
ˈɑu̯	ˈœ	0.404
χ	ɡ	0.382
ˈɪ	ˈi	0.369
s	ʃ	0.363
ˈœy̯	ˈœː	0.344
ˈu	ˈœ	0.333
ˈaː	-	0.332
ˈʏ	ˈeː	0.33
ˈeː	ˈiː	0.33
ˈeː	-	0.313
χ	x	0.307
ˈoː	ˈuː	0.289
ˈɛ	ˈa	0.277
ˈu	ˈɛi̯	0.274
d	t	0.268
ˈu	ˈɛ	0.267
ˈɪ	ˈa	0.264
ə	-	0.255
v̥	ə_v̥	0.25
ˈi	-	0.24
ˈɛ	-	0.233
χ	j	0.23
ˈʏ	ˈʏ	0.227
ˈɪ	-	0.226
d̥	dʲ	0.222
ˈoː	ˈɔ	0.209
ˈɛ	ˈeː	0.203
ˈɑ	ˈœ	0.2
ˈɑ	ˈɒ	0.19
d̥	z̥	0.178
ˈaː	ˈɛi̯	0.176
ˈoː	-	0.165
ˈɛ	ˈɒ	0.164
ˈɛi̯	ˈiː	0.163
n	nʲ	0.153
ˈɑ	ˈʊ	0.148
ˈɪ	ˈai̯	0.142
t	tʲ	0.142
ˈaː	ˈɒː	0.138
d̥	lʲ	0.133
ˈaː	j_ˈa	0.131
ˈɑ	-	0.128
ˈu	-	0.126
ˈaː	ˈɔu̯	0.126
ˈeː	ˈɛː_d	0.125
v̥	n	0.125
v̥	-	0.123
ˈɛ	ˈʊ	0.122
ˈoː	ˈyː	0.122
ˈoː	ˈaː	0.114
ˈɔ	ˈɔː	0.112
ˈɑ	ˈɒː	0.111
v	f_j	0.11
ˈɛi̯	ˈɛ	0.106
z	-	0.105
k	-	0.104
ˈɔ	ˈœ	0.103
ˈɔ	-	0.103
ˈɑ	ˈa	0.103
ˈɔ	ˈʏ	0.097
ˈaː	ˈɛː	0.097
ˈeː	ˈɛː	0.091
d	dʲ	0.091
ˈeː	ˈuː	0.085
ə	v_ə	0.083
χ	d	0.081
n	ə	0.078
ˈɑ	ˈɔː	0.074
t	d	0.069
ˈoː	ˈiː	0.061
ɾ	ə_ʀ	0.059
ˈeː	ˈaː	0.057
