Campidanese	Brazilian Portuguese	probability
m	m	1.0
rː	-	1.0
v	-	1.0
ɖː	l	1.0
ɡ	ɡ	1.0
ɲː	j̃	1.0
ʃː	j_ʃ	1.0
ʣ	ʎ	1.0
ʦ	s	1.0
s	s	0.651
w	-	0.091
ˈu	ˈo	0.131
d	ʤ	0.142
i	e	0.122
l	l	0.82
n	-	0.472
p	p	0.852
t	ʧ	0.192
t	t	0.572
z	-	0.202
ɣ	-	0.242
ʧ	s	0.742
ˈo	ˈɐ̃	0.062
β	b	0.532
e	ẽ	0.103
f	f	0.833
i	i	0.53
j	ʎ	0.393
l	-	0.123
nː	-	0.683
o	u	0.173
u	-	0.073
u	u	0.843
ð	-	0.313
ʤ	-	0.753
ˈi	ˈẽ	0.143
ˈi	ˈĩ	0.313
ˈo	ˈɔ	0.153
d	d	0.734
e	j	0.094
i	w̃	0.054
i	-	0.184
n	ˈẽ	0.064
sː	s	0.734
ʒ	ʒ	0.164
b	ʒ	0.065
b	b	0.175
d	-	0.125
e	i	0.185
e	e	0.415
t	-	0.065
t	j_ʧ	0.105
ˈa	-	0.125
ˈa	ˈɐ̃	0.225
ˈe	ˈẽ	0.15
ˈo	ˈõ	0.195
a	-	0.056
a	ɐ	0.76
b	v	0.76
r	ɾ	0.576
sː	l	0.266
t	d	0.066
ˈa	ˈa	0.586
ˈe	ˈɛ	0.36
ˈi	ˈi	0.26
ˈo	ˈo	0.56
ˈu	-	0.156
ˈu	ˈu	0.46
a	a	0.147
e	ˈe	0.17
f	ʃ_#>	0.167
k	k	0.857
l	w	0.057
n	j̃	0.207
n	n	0.257
nː	n	0.317
o	o	0.637
r	h	0.117
r	-	0.187
ð	d	0.687
ʒ	j_ʃ	0.627
ʤ	ʒ	0.247
ˈe	ˈe_j	0.077
ˈe	ˈe	0.37
ˈu	ˈõ	0.067
ˈu	ˈũ	0.167
i	ˈe	0.068
j	j	0.228
j	-	0.378
k	ɡ	0.078
p	-	0.148
r	ɦ	0.098
z	ʃ	0.798
ɣ	ɡ	0.758
ʧ	ʃ	0.258
β	v	0.468
o	-	0.189
s	ʃ	0.349
w	w	0.909
ʒ	z	0.209
ˈi	ˈe	0.219
