Kashubian	Štokavian	probability
ˈɞ_w	ûː	1.0
ˈɞ	ěː	1.0
ˈə	îː	1.0
ˈõ	ûː	1.0
ˈi	î	1.0
ˈa_ŋ	ěː	1.0
ʣ	d	1.0
ʒ	ʒ	1.0
ʐ	r	1.0
ʃ	ʒ	1.0
ɲ	n	1.0
ɡ	ɡ	1.0
ə	i	1.0
ɔ	o	1.0
ŋ	-	1.0
z	z	1.0
x	x	1.0
v_j	ʋ	1.0
v	ʋ	1.0
u̯ɛ	o	1.0
s_#>	s_#>	1.0
s	s	1.0
r	r	1.0
p_j	p	1.0
p_#>	b_#>	1.0
p	p	1.0
n	n	1.0
m_ə	a_m	1.0
m	m	1.0
i_#>	#>	1.0
f	ʋ	1.0
d	d	1.0
b	b	1.0
a_ŋ	eː	1.0
a	a	1.0
<#_j	<#_j	1.0
t	t	0.875
k	k	0.842
j	j	0.75
w	l	0.706
ˈu	ôː	0.6
ɛ	e	0.571
l	l	0.545
ʦ	t	0.526
ˈe	ěː	0.5
ˈe	ê	0.5
i	k	0.5
i	iː	0.5
u̯ˈɛ	ô	0.455
ɛ	a	0.429
ˈu	-	0.4
u̯ˈɛ	ǒ	0.364
l	ʎ	0.273
ʦ	t_i	0.263
ˈɛ	ê	0.25
ˈɛ	â	0.25
ˈɔ	ǒ	0.25
ˈɔ	ôː	0.25
ˈɔ	ě	0.25
ˈɔ	ǎː	0.25
j	-	0.25
ˈa	êː	0.231
ˈa	ê	0.231
ˈa	-	0.231
ʦ	ʦ	0.211
u̯ˈɛ	ôː	0.182
l	l_j	0.182
w	û	0.176
k	ɡ	0.158
ˈa	r	0.154
ˈa	j_êː	0.154
ˈɛ	ô	0.125
ˈɛ	ě	0.125
ˈɛ	êː	0.125
ˈɛ	-	0.125
t	d	0.125
w	o	0.118
