Alsatian	Afrikaans	probability
b̥	b	0.89
b̥	f	0.104
d̥	d	0.437
d̥	t	0.378
d̥	-	0.169
e	-	0.514
f	f	0.846
f	p	0.094
f	t	0.053
f_ə	p	1.0
h	ɦ	1.0
i	ə	0.843
i	-	0.137
i_ʃ	k	1.0
j	χ	0.274
j	j	0.238
j	-	0.196
k	χ	0.511
k	-	0.337
k	k	0.143
kʰ	k	0.886
kʰ	-	0.112
l	ɫ	0.856
l	l	0.143
m	m	1.0
n	n	0.857
n	-	0.094
n	ŋ	0.048
p	p	1.0
p͡f	f	0.415
p͡f	p	0.372
s	s	0.68
s	t	0.317
t	t	0.511
t	-	0.252
t	d	0.232
v	v	0.66
v	-	0.174
w	v	0.392
w	ˈœ	0.232
w	w	0.232
x	χ	0.803
x	k	0.194
ŋ	ŋ	1.0
ə	-	0.677
ə	ə	0.297
ɡ̊	χ	0.831
ɡ̊	k	0.096
ɡ̊	-	0.071
ʁ	r	0.94
ʁ	-	0.059
ʃ	s	0.73
ʃ	k	0.109
ʃ	s_k	0.07
ʃ	χ	0.046
ʃ	-	0.044
ʃ_t	χ	1.0
ʋ	v	0.812
ʋ	w	0.124
ʋ	-	0.063
ʦ	t	1.0
ˈai̯	ˈʊə̯	1.0
ˈaː	ˈɛː	0.23
ˈaː	ˈɔː	0.061
ˈe	ˈɛ	0.347
ˈe	ˈɪə̯	0.272
ˈe	ˈæː	0.136
ˈe	ˈə	0.136
ˈe	-	0.1
ˈei̯	ˈi	0.822
ˈei̯	ˈəɪ̯	0.122
ˈeː	ˈi	0.403
ˈeː	ˈʊə̯	0.282
ˈeː	ˈɪə̯	0.186
ˈeː	ˈɛ	0.094
ˈi	ˈə	0.52
ˈi	ˈɛ	0.133
ˈi	ˈœɪ̯	0.079
ˈi	ˈɪə̯	0.079
ˈi	ˈʊə̯	0.052
ˈiː	ˈi	0.261
ˈiː	ˈəɪ̯	0.172
ˈiː	ˈə	0.147
ˈiː	ˈu	0.128
ˈiː	ˈyː	0.091
ˈo	ˈɔ	0.564
ˈo	ˈʊə̯	0.432
ˈoː	ˈɑː	0.432
ˈoː	ˈʊə̯	0.298
ˈoː	ˈoːi̯	0.092
ˈoː	ˈɔ	0.092
ˈoː	ˈɪø̯	0.075
ˈu	ˈɔ	0.475
ˈu	ˈœ	0.256
ˈu	ˈɔː	0.1
ˈu	ˈʊə̯	0.1
ˈu	ˈɪø̯	0.067
ˈyː	ˈœɪ̯	1.0
ˈæ	ˈɪə̯	0.582
ˈæ	ˈæː	0.172
ˈæ	ˈɛ	0.172
ˈæː	ˈɪə̯	0.533
ˈæː	ˈɑː	0.276
ˈæː	ˈi	0.148
ˈø	ˈʊə̯	0.264
ˈøi̯	ˈœɪ̯	0.514
ˈøː	ˈu	1.0
ˈœ	ˈʊə̯	0.514
ˈɒ	ˈa	0.695
ˈɒ	ˈɑː	0.171
ˈɒ	ˈɛː	0.054
ˈɒ	ˈɪ	0.054
ˈɒ_l	ˈœu̯	1.0
ˈɒː	ˈa	0.784
ˈɒː	ˈɪø̯	0.133
ˈɒː	ˈɑː	0.077
ˈɔi̯	ˈœu̯	0.264
ˈəi̯	ˈəɪ̯	0.537
ˈəi̯	ˈɪə̯	0.438
ˈɛ	ˈa	0.574
ˈɛ	ˈɪə̯	0.295
ˈʊː	ˈu	0.39
ˈʊː	ˈʊə̯	0.302
ˈʊː	ˈuːi̯	0.112
ˈʊː	ˈuː	0.089
ˈʊː	ˈɔ	0.087
