Alsatian	Afrikaans	probability
e	-	1.0
eː	i	1.0
h	ɦ	1.0
p	p	1.0
ŋ	ŋ	1.0
ʦ	t	1.0
ˈai̯	ˈʊə̯	1.0
ˈø	ˈʊə̯	1.0
ˈøi̯	ˈœɪ̯	1.0
ˈøː	ˈu	1.0
ˈœ	ˈʊə̯	1.0
ˈɔi̯	ˈœu̯	1.0
m	m	0.931
s	s	0.621
ə	ə	0.641
ʋ	w	0.121
ˈe	ˈɑː	0.071
ˈei̯	ˈi	0.401
ˈeː	ˈɑː	0.091
ˈi	ˈʊə̯	0.051
ˈi	ˈɛ	0.121
ˈæ	ˈæ	0.221
ˈɛ	ˈa	0.391
j	j	0.312
t	-	0.102
x	χ	0.632
ˈeː	ˈʊə̯	0.232
ˈeː	ˈɛ	0.252
ˈi	ˈəɪ̯	0.112
ˈiː	ˈə	0.062
ˈo	ˈʊə̯	0.512
ˈoː	ˈɪø̯	0.122
ˈæː	ˈɑː	0.262
ˈɒ	ˈœu̯	0.052
ˈɒ	ˈa	0.702
ˈʊː	ˈʊə̯	0.352
b̥	b	0.883
k	k	0.193
ɡ̊	χ	0.93
ʁ	r	0.913
ʃ	k	0.073
ˈe	ˈæː	0.053
ˈe	ˈæ	0.083
ˈiː	-	0.093
ˈiː	ˈu	0.133
ˈu	ˈœ	0.113
ˈɒ	ˈɪ	0.053
ˈɒː	ˈɪø̯	0.113
ˈəi̯	ˈɪə̯	0.513
d̥	d̥	0.274
j	χ	0.364
l	ɫ	0.974
ʃ	s	0.754
ˈe	ˈɪə̯	0.094
ˈiː	ˈəɪ̯	0.164
ˈiː	ˈyː	0.184
ˈæ	ˈɪə̯	0.734
f	p	0.245
i	ə	0.975
n	n	0.935
p͡f	f	0.205
p͡f	p	0.795
v	v	0.5
v	-	0.5
w	ˈœ	0.315
w	v	0.595
ˈaː	ˈi	0.465
ˈe	-	0.055
ˈei̯	ˈɪə̯	0.45
ˈoː	ˈɑː	0.575
ˈu	ˈɔ	0.675
ˈɒ	ˈɑː	0.15
ˈɒː	ˈa	0.845
b̥	f	0.06
d̥	-	0.166
d̥	d	0.56
j	-	0.126
kʰ	k	0.966
t	d̥	0.456
ʋ	v	0.836
ˈaː	ˈɛː	0.136
ˈe	ˈɛ	0.456
ˈiː	ə	0.066
ˈoː	ˈʊə̯	0.216
ˈu	ˈɪø̯	0.076
ˈyː	ˈɔ	0.056
ˈyː	ˈœɪ̯	0.756
b̥	v̥	0.057
t	d	0.227
ʁ	-	0.087
ˈiː	ˈi	0.197
ˈæː	ˈi	0.267
ˈæː	ˈɪə̯	0.47
ˈəi̯	ˈəɪ̯	0.487
ˈʊː	ˈɔ	0.17
f	f	0.698
j	ˈɛː	0.198
k	-	0.298
t	t	0.198
x	k	0.368
ˈe	ˈə	0.188
ˈeː	ˈi	0.288
ˈi	ˈə	0.578
ˈiː	ˈæ	0.068
ˈo	ˈɔ	0.488
ˈyː	ˈyː	0.188
ˈʊː	ˈu	0.478
k	χ	0.509
m	-	0.069
s	t	0.379
w	w	0.089
ə	-	0.359
ʃ	χ	0.139
ˈaː	ˈɔː	0.399
ˈei̯	ˈəɪ̯	0.149
ˈeː	ˈɪə̯	0.109
ˈu	ˈʊə̯	0.089
ˈɛ	ˈɪə̯	0.609
