Eastern Lombard	Gascon	probability
u	u	1.0
w	w	1.0
ŋ	ŋ	1.0
b	b	0.661
m	m	0.781
o	-	0.131
o	a_w	0.141
s	e_s	0.121
ˈa	ˈa_ŋ	0.081
ˈe	ˈi	0.131
ˈi	e	0.061
ˈu	ˈy	0.121
ˈɛ	ˈɛ	0.401
a	-	0.062
b	-	0.152
f	h	0.562
l	w	0.212
n	-	0.12
ʤ	-	0.662
ˈa	ˈa	0.872
ˈo	ˈa_w	0.222
d	-	0.073
l	-	0.063
m	-	0.093
n	n	0.673
o	a	0.113
p	p	0.913
z	z	0.263
ɲ	ɲ_ɔ	0.083
ɲ	ɲ	0.843
ʤ	ʒ	0.213
ʧ	t	0.13
ˈi	ˈi	0.593
ˈo	ˈa	0.083
ˈo	ˈy	0.203
ˈu	ˈu_ŋ	0.223
ˈy	ˈy	0.873
ˈø	ˈɔ	0.173
ˈɔ	ˈy	0.133
ˈɛ	ˈe	0.553
d	ʤ	0.14
d	ð	0.314
e	e	0.494
f	<#_b	0.144
i	-	0.274
s	ʦ	0.114
ɲ	n	0.074
ʤ	ʎ	0.124
ˈi	ˈe	0.134
ˈo	ˈɔ	0.164
ˈø	ˈu	0.14
a	a	0.165
d	d	0.455
f	<#_a	0.135
m	m_i	0.085
n	n_ˈa	0.055
n	ŋ	0.085
r	-	0.055
ʋ	β	0.335
ʋ	b	0.665
j	j	0.096
k	k	0.966
t	n	0.066
ɡ	ɡ	0.386
ʧ	ˈe_ʎ	0.196
ʧ	j_t	0.286
ˈe	-	0.066
ˈi	ˈi_ŋ	0.066
ˈu	-	0.056
ˈu	ˈu	0.6
ˈɔ	w_ˈe	0.096
ˈɔ	ˈɔ	0.576
b	β	0.187
f	h_ˈi	0.117
i	i	0.367
j	l	0.687
l	l	0.517
o	u	0.437
p	-	0.087
t	t	0.87
z	-	0.057
ɡ	ɣ	0.447
ˈe	ˈɛ	0.257
ˈe	ˈe	0.47
ˈy	ˈu	0.127
ˈɔ	ˈa_w	0.077
a	ɔ	0.678
e	ˈe	0.138
e	a	0.188
j	-	0.178
l	t	0.188
s	j_ʃ	0.078
s	s	0.598
z	ʒ	0.68
ɡ	k	0.128
ʧ	ʎ	0.388
ˈø	w	0.188
ˈɔ	ˈu	0.118
e	-	0.139
i	e	0.359
o	e	0.089
o	ˈu	0.089
r	r	0.419
r	ɾ	0.499
ˈo	ˈu	0.329
ˈø	ˈy	0.499
