Catalan	Emilian	probability
ˈɛ_w	ˈʌu̯_z	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈi_t	ˈɛ_t	1.0
ˈe_s	ˈɛ_s	1.0
ˈa_l	ˈɛ	1.0
ʧ	-	1.0
ʤ_ə	d_i	1.0
ʒ	ð	1.0
ʎː	j	1.0
ʎ_ˈa	l_ˈɛ	1.0
ʃ	s	1.0
ɾ_ə	e_r	1.0
ɣ	ɡ	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ð	d	1.0
z	-	1.0
t_ə	t_a	1.0
t	t	1.0
s_ə	z	1.0
r_t	r_t	1.0
p	p	1.0
mː	t_m	1.0
m	m	1.0
l_ˈa	j_ˈa	1.0
k_l	ʧ	1.0
k	k	1.0
j_t	t	1.0
j	-	1.0
f	f	1.0
d	d	1.0
ɾ	r	0.94
u	u	0.85
ə	a	0.827
n	n	0.806
β	v	0.765
l	l	0.734
ɲ	ɲ	0.73
r	r	0.682
b	v	0.624
ŋ	ŋ	0.617
ʎ	l	0.597
s	s	0.567
i	i	0.566
ˈɔ	ˈɔː	0.527
ˈi	ˈe	0.513
ˈu	ˈo	0.504
i	-	0.434
ˈa	ˈɛ	0.415
ˈu	ˈuː	0.384
ŋ	ŋ_k	0.383
s	θ	0.381
b	b	0.376
ˈo	ˈʌu̯	0.36
ˈɛ	ˈa	0.359
w	w	0.346
r	r_e	0.318
ˈe	ˈɛ	0.314
ˈa	ˈaː	0.308
ˈo	ˈʌ	0.291
ɲ	n	0.27
ˈi	ˈiː	0.266
l	j	0.266
w	v	0.249
w	d	0.249
β	-	0.235
ʎ	ʧ	0.234
ˈe	ˈa	0.205
ˈo	ˈo	0.203
n	ŋ	0.194
ˈɛ	ˈa_j	0.193
ˈe	ˈæ	0.192
ʎ	j	0.169
ˈɛ	ˈɛ	0.166
w	-	0.156
ˈa	ˈa	0.153
u	-	0.15
ˈo	ˈɔ	0.146
ˈɔ	ˈɔ	0.131
ˈe	ˈɛː	0.122
ˈɔ	ˈuː	0.113
ˈe	ˈaː	0.113
ˈu	-	0.112
ˈɛ	ˈæ	0.103
ˈɔ	ˈo	0.102
ˈɛ	ˈɛː	0.099
ˈa	ˈa_ŋ	0.095
ˈɛ	ˈiː	0.079
ˈɔ	ˈʌ	0.078
ə	e	0.068
ˈi	ˈɛ	0.06
ˈi	j_ˈɔː	0.06
ɾ	d	0.06
ˈi	ˈi	0.058
ˈe	ˈe	0.055
s	z	0.051
