West Flemish	Yiddish	probability
b	b	1.0
iə̯	-	1.0
j	j	1.0
l	l	1.0
z̥	z	1.0
ç	k	1.0
ɡ̊	ɡ	1.0
ɪ	ɪ	1.0
ʃ	ʃ	1.0
d̥	l_t	0.091
d̥	d	0.301
h	χ	0.561
k	χ	0.411
m	ɪ	0.111
n	n	0.961
s	ʃ	0.471
t	ʦ	0.31
ˈeː	ˈɪ	0.061
ˈeː	ˈɛɪ̯	0.271
ˈoː	ˈɛɪ̯	0.061
ˈyː	ˈɔɪ̯	0.811
ˈøː	ˈɔɪ̯	0.181
ˈɑ	ˈɔ	0.131
ˈɔ	ˈɛ	0.091
d	t	0.552
m	m	0.832
v̥	b	0.92
ə	ə	0.722
ɾ	ʀ	0.972
ˈiə̯	ˈaɪ̯	0.42
ˈu	ˈa	0.192
ˈøː	ˈʊ	0.52
ˈɔ	ˈa	0.12
ˈɔ	ˈʊ	0.282
ˈɛ	ˈɔ	0.082
ˈɛː	ˈɔ	0.2
ˈɪ	ˈɛ	0.102
s	s	0.073
s	z	0.393
v	f	0.793
ɦ	ɡ	0.703
ʋ	v	0.883
ˈoː	ˈɛ	0.093
ˈoː	ˈʊ	0.113
ˈœ	ˈɪ	0.443
ˈɒː	ˈɛɪ̯	0.073
d	-	0.14
w	l	0.974
ˈeː	ˈɔ	0.074
ˈu	l	0.084
ˈɔ	ˈɔ	0.434
ˈɛ	ˈaɪ̯	0.164
ˈɛː	ˈɛ	0.184
d̥	t	0.5
p	p	0.055
p	f	0.945
t	s	0.425
ŋ	ɡ	0.075
ŋ	ŋ	0.925
ˈeː	ˈaɪ̯	0.075
ˈiə̯	ˈa	0.105
ˈu	h_ˈʊ	0.245
ˈɒː	ˈɛ	0.065
ˈɔ	-	0.055
k	k	0.566
m	ɛ_m	0.056
t	t	0.266
ə	-	0.126
ɦ	k	0.066
ɦ̥	k	0.306
ˈuə̯	ˈɪ	0.286
ˈæ	-	0.166
ˈæ	ˈɛ	0.346
ˈɒː	ˈa	0.166
ˈɛ	ˈɪ	0.466
ˈɛː	ˈɛɪ̯	0.616
d̥	-	0.107
v	b	0.197
z	h	0.087
z	z	0.767
ɦ	-	0.187
ɦ̥	χ	0.127
ʋ	-	0.117
ˈi	-	0.097
ˈi	ˈaɪ̯	0.87
ˈiə̯	ˈɪ	0.337
ˈu	ˈʊ	0.27
ˈuə̯	ˈʊ	0.67
ˈɒː	ˈɔ	0.697
d	d	0.308
v̥	p	0.08
ɦ̥	ɡ	0.568
ˈeː	ˈɛ	0.518
ˈiə̯	ˈɛ	0.138
ˈoː	ˈɔɪ̯	0.428
ˈɑ	ˈa	0.848
ˈɛ	ˈɛɪ̯	0.08
ˈɛ	ˈɛ	0.208
ˈɪ	ˈɪ	0.898
h	-	0.439
z	ʃ	0.129
ə	ɛ	0.089
ˈoː	ˈɔ	0.279
ˈu	ˈɔɪ̯	0.209
ˈyː	ˈaɪ̯	0.189
ˈæ	ˈa	0.239
ˈæ	ˈɪ	0.249
ˈøː	ˈɔ	0.109
ˈøː	ˈa	0.19
ˈœ	ˈɛ	0.099
ˈœ	ˈɔ	0.099
ˈœ	ˈʊ	0.359
