Saterland Frisian	Luxembourgish	probability
a	ˈi	0.5
a	ə	0.5
b	b	0.894
b	-	0.1
d	d	0.418
d	t	0.406
d	-	0.097
d	ɐ_t	0.075
f	f	1.0
h	h	1.0
j	-	0.347
j	ɡ	0.234
j	ˈe	0.188
j	j	0.184
j_ə	ə	1.0
j_ˈoː	ˈəɪ̯	0.117
j_ˈuː	ˈɑɪ̯	0.239
k	k	0.301
k	kʰ	0.29
k	ɕ	0.201
k	χ	0.141
k	-	0.053
k_ə	ɕ	1.0
l	l	0.978
l_j	l	0.489
m	m	0.956
m	-	0.047
n	n	0.835
n	-	0.087
n	ŋ	0.066
n	ʀ	0.031
p	f	0.69
p	p	0.308
r	ʀ	0.587
r	ɐ	0.339
r	-	0.073
r_j	ʀ	0.489
r_ə	ɐ	0.239
s	ʃ	0.434
s	z	0.271
s	s	0.244
s	kʰ	0.044
s_k	ʃ	1.0
t	t	0.426
t	s	0.224
t	ʦ	0.216
t	d	0.065
t	-	0.046
t_ə	s	0.489
v	v	0.602
v	w	0.286
v	-	0.102
w	w	0.461
w	ə	0.145
w	v	0.145
x	ɕ	0.596
x	χ	0.114
x	k	0.099
x	f	0.075
x	ʃ	0.066
z	s	0.574
z	z	0.126
z	ʀ	0.088
ŋ	ŋ	1.0
ə	-	0.585
ə	ə	0.401
ə	ˈaː	0.031
ə_r	ɐ	1.0
ɡ	ɡ	0.489
ɣ	ɡ	0.507
ɣ	-	0.251
ɣ	v	0.107
ɣ	ʑ	0.071
ɣ	k	0.058
ɪ	ə	0.701
ɪ	-	0.105
ɪ	e	0.099
ɫ	l	0.489
ˈa	ˈuə̯	0.361
ˈa	ˈaː	0.361
ˈa	ˈeː	0.203
ˈaː	ˈaː	0.418
ˈaː	ˈeː	0.178
ˈaː	ˈɛː	0.141
ˈaː	ˈɑ	0.141
ˈaːi̯	ˈaː	0.425
ˈaːi̯	ˈoː	0.239
ˈaːi̯	ˈeː	0.134
ˈaːu̯	ˈəɪ̯	0.239
ˈeː	ˈeː	0.468
ˈeː	ˈəɪ̯	0.278
ˈeː	ˈiə̯	0.19
ˈeː	ˈɛ	0.052
ˈeːu̯	ˈi	0.489
ˈi	ˈæːɪ̯	0.468
ˈi	ˈə	0.132
ˈi	-	0.087
ˈi	ˈɑɪ̯	0.087
ˈi	ˈəɪ̯	0.071
ˈiː	ˈəɪ̯	0.168
ˈiː	ˈɑ	0.168
ˈiː	ˈə	0.111
ˈiː	ˈoː	0.111
ˈiː	ˈɑɪ̯	0.098
ˈiːu̯	ˈiə̯	0.489
ˈoː	ˈaː	0.349
ˈoː	ˈəʊ̯	0.242
ˈoː	ˈəɪ̯	0.135
ˈoː	ˈu	0.053
ˈoː	ˈiː	0.047
ˈoː_ɣ	ˈəɪ̯	0.489
ˈoːu̯	ˈɑ	0.23
ˈoːu̯	ˈo	0.179
ˈoːu̯	ˈu	0.143
ˈoːu̯	ˈəʊ̯	0.112
ˈoːu̯	ˈʊ	0.112
ˈu	ˈɔ	0.281
ˈu	ˈəʊ̯	0.281
ˈuː	ˈæːʊ̯	0.282
ˈuː	ˈɑɪ̯	0.252
ˈuː	ˈu	0.207
ˈuː	-	0.113
ˈuː	ˈʊ	0.075
ˈyː	ˈə	0.574
ˈyː	ˈæːɪ̯	0.281
ˈœː	ˈi	0.239
ˈɔ	ˈɑ	0.422
ˈɔ	ˈo	0.149
ˈɔ	ˈʊɪ̯	0.141
ˈɔ	ˈə	0.113
ˈɔ	ˈaː	0.098
ˈɔː	ˈaː	0.324
ˈɔː	ˈə	0.132
ˈɔː	ˈoː	0.132
ˈɔː	ˈuː	0.102
ˈɔː	ˈuə̯	0.1
ˈɔːɪ̯	ˈeː	0.239
ˈɛ	ˈɛ	0.375
ˈɛ	ˈaː	0.284
ˈɛ	ˈu	0.139
ˈɛ	ˈoː	0.131
ˈɛɪ̯	ˈəɪ̯	0.23
ˈɛɪ̯	ˈɛː	0.137
ˈɛɪ̯	ˈeː	0.104
ˈɛɪ̯	ˈæːɪ̯	0.104
ˈɛɪ̯	ˈoː	0.083
ˈɛː	ˈe	0.328
ˈɛː	ˈaː	0.189
ˈɛː	-	0.127
ˈɛː	ˈæ	0.127
ˈɛː	ˈiː	0.082
ˈɛː_r	ˈaː	0.489
ˈɪ	ˈɑ	0.437
ˈɪ	ˈə	0.28
ˈɪ	ˈe	0.107
ˈɪ	ˈi	0.096
ˈɪ	ˈiː	0.057
ˈʊ	ˈo	0.388
ˈʊ	ˈiː	0.157
ˈʊ	ˈuː	0.09
ˈʊ	ˈɑ	0.09
ˈʊ	ˈʊ	0.09
