Proto-Germanic	Faroese	probability
a	ʊ	1.0
b	b̥	0.975
d	d̥	0.847
d	ʤ̊	0.076
e	ɪ	0.52
e	a	0.48
i	-	0.732
i	ʊ	0.175
i	ɪ	0.093
iː	ɪ	0.518
iː	-	0.482
j	-	0.726
j	ʤ̊ː	0.114
jː	ɡ̊ː	1.0
k	k	0.329
k	-	0.209
k	kʰ	0.193
k	ʧʰ	0.093
k	ʰk	0.059
kʷ	kʰ	0.564
kʷ	ʰʧ	0.293
kʷ	k	0.143
kː	ʰʧː	0.675
kː	ʰk	0.325
l	l	0.724
l	l̥	0.218
lː	t_l̥	1.0
m	m	0.884
m	-	0.063
mː	m	1.0
n	n	0.439
n	-	0.432
n	n̥	0.081
nː	nː	1.0
p	p	0.593
p	ʰp	0.269
p	v	0.098
pː	ʰpː	0.791
pː	tː	0.209
r	ɹ	0.735
r	-	0.132
r	t	0.07
r	ʊ_ɹ	0.05
s	s	0.687
s	ʃ	0.158
s	-	0.138
sː	sː	1.0
t	t	0.559
t	tʰ	0.148
t	ʰt	0.14
t	ʰtː	0.091
tː	ʰt	0.812
tː	ʰtː	0.188
u	ʊ	0.463
u	-	0.347
u	ɪ	0.19
w	v	0.678
w	-	0.283
wː	ʤ̊ː	0.714
wː	ɡ̊	0.286
x	h	0.768
x	-	0.156
xʷ	kʰ	0.528
xʷ	-	0.301
xʷ	ʤ̊ː	0.094
xʷ	ʧʰ	0.077
z	ɹ	0.748
z	-	0.252
ð	-	0.467
ð	j	0.299
ð	w	0.101
ð	v	0.074
ŋ	ŋ	0.927
ŋ	ɲ	0.073
ɑ	a	0.52
ɑ	ʊ	0.346
ɑ	-	0.118
ɑi̯	ˈʉːu̯	1.0
ɑː	a	1.0
ɑ̃	-	0.971
ɔː	-	0.802
ɔː	a	0.198
ɔːu̯	a	1.0
ɔːː	a	0.462
ɔːː	ɪ	0.269
ɔːː	w	0.108
ɔːː	ˈœ	0.082
ɔːː	ʊ	0.079
ɔ̃ː	a	0.956
ɛː	ɪ	1.0
ɡ	ɡ̊	0.952
ɡʷ	ʤ̊	1.0
ɣ	ɡ̊	0.468
ɣ	-	0.188
ɣ	ʤ̊	0.103
ɣ	j	0.081
ɣ	w	0.067
ɸ	f	0.851
ɸ	v	0.089
ɸ	kʰ	0.056
ˈe	j	0.162
ˈe	ˈoː	0.13
ˈe	ˈeː	0.121
ˈe	ˈøː	0.099
ˈe	ˈœ	0.074
ˈe	ˈʊ	0.063
ˈe	ˈɪ	0.062
ˈeu̯	ˈɔːu̯	0.296
ˈeu̯	ˈʉːu̯	0.264
ˈeu̯	ˈœ	0.103
ˈeu̯	ˈʏ	0.08
ˈeu̯	ˈɪ	0.079
ˈeu̯	ˈʊ̯iː	0.06
ˈeu̯	ˈuː	0.059
ˈeu̯	ˈɛːa̯	0.059
ˈeː	ˈeː	1.0
ˈi	ˈɪ	0.552
ˈi	ˈʊ̯iː	0.104
ˈi	ˈiː	0.095
ˈi	r	0.089
ˈi	ˈeː	0.073
ˈi	ˈɛ	0.07
ˈiu̯	ˈʊ̯iː	0.498
ˈiu̯	ˈʊ	0.46
ˈiː	ˈʊ̯iː	0.965
ˈĩː	ˈa	1.0
ˈu	ˈʊ	0.435
ˈu	ˈɔ	0.312
ˈu	ˈɪ	0.075
ˈuː	ˈʉːu̯	0.532
ˈuː	ˈɪ	0.158
ˈuː	ˈɛːa̯	0.119
ˈuː	ˈʊ	0.082
ˈuː	ˈʏ	0.061
ˈɑ	ˈa	0.413
ˈɑ	ˈɛːa̯	0.149
ˈɑ	ˈɛ	0.129
ˈɑ	ˈɔ	0.107
ˈɑ	ˈɔ̯aː	0.076
ˈɑi̯	ˈai̯	0.409
ˈɑi̯	ˈaːi̯	0.296
ˈɑi̯	ˈɛ	0.132
ˈɑi̯	ˈɔ̯aː	0.112
ˈɑu̯	ˈɛːi̯	0.431
ˈɑu̯	ˈɔːi̯	0.281
ˈɑu̯	-	0.181
ˈɑu̯	ˈɔ̯aː	0.073
ˈɔː	ˈɔːu̯	0.532
ˈɔː	ˈøː	0.334
ˈɔː	ˈʊ̯iː	0.055
ˈɛː	ˈɔ̯aː	0.885
β	v	0.847
β	-	0.109
θ	-	0.375
θ	tʰ	0.363
θ	ʧʰ	0.148
θ	w	0.084
