Proto-Germanic	Faroese	probability
a	ʊ	0.484
b	b̥	1.0
d	d̥	0.807
d	tʰ	0.082
d	ʤ̊	0.062
d	-	0.046
e	ɪ	0.204
e	a	0.098
i	-	0.584
i	ʊ	0.326
i	ɪ	0.074
iː	-	0.319
iː	ɪ	0.319
j	a	0.47
j	-	0.387
j	ʤ̊	0.074
j	ˈa	0.058
jː	ɡ̊	0.484
k	k	0.329
k	kʰ	0.329
k	ʧʰ	0.116
k	ɹː	0.067
k	h	0.056
k_s	k	1.0
kʷ	ʰʧ	0.66
kʷ	kʰ	0.154
kː	ʰk	0.484
l	l	0.739
l	l̥	0.139
l	ʎ	0.046
l	-	0.033
l	j	0.032
l_ɑ	l	1.0
l_ɔː	l	1.0
lː	t_l̥	1.0
m	m	0.918
m	n	0.045
m	-	0.044
mː	m	0.234
n	n	0.672
n	-	0.287
n	n̥	0.027
n	ŋ	0.027
n_x	ŋ	0.484
n_ɑ	n̥	1.0
n_ɑ̃	n̥	0.852
n_ɑ̃	a	0.097
n_θ	nː	1.0
nː	nː	0.956
nː	ʊ	0.04
p	p	0.433
p	ʰp	0.409
p	v	0.084
p	ɹ	0.06
pː	tː	0.484
r	ɹ	0.76
r	-	0.074
r	t	0.074
r	ʊ_ɹ	0.036
r	ɹ_a	0.027
r_i	ɹ	1.0
r_u	ʊ	0.234
r_ð	ɹ	1.0
r_ɑ̃	ɹ	1.0
s	s	0.77
s	-	0.152
s	ʃ	0.049
s_k	ʃ	1.0
sː	sː	1.0
t	t	0.529
t	ʰt	0.194
t	tʰ	0.192
t	ʈ	0.068
t	-	0.031
t_ɑ̃	t	1.0
u	ʊ	0.515
u	-	0.326
u	ɪ	0.136
u_n	ʊ	0.484
w	v	0.545
w	-	0.315
w	ˈʊ̯iː	0.039
w	ʧː	0.035
w	ˈɪ	0.035
w_ɑ	ʊ	1.0
wː	ɡ̊	1.0
x	h	0.778
x	-	0.082
x	k	0.04
x	v	0.04
x	f	0.038
x_l	l	1.0
x_r	ɹ	1.0
x_t	ʰtː	1.0
xʷ	kʰ	0.472
xʷ	ʧʰ	0.153
xʷ	v	0.127
xʷ	ʤ̊	0.093
xʷ	-	0.088
z	ɹ	0.777
z	-	0.209
z	ɡ̊_f	0.027
z_ɑ̃	ɹ	0.484
ð	-	0.408
ð	j	0.211
ð	w	0.164
ð	n	0.064
ð	d̥	0.055
ŋ	ŋ	0.892
ŋ	ɲ	0.107
ŋ_k	ʰkː	1.0
ɑ	ʊ	0.692
ɑ	-	0.216
ɑ	a	0.035
ɑ	ɛ	0.031
ɑ_l	l	1.0
ɑ_n	a	1.0
ɑi̯	ˈʉːu̯	0.055
ɑː	a	0.234
ɑ̃	-	0.915
ɑ̃	ʊ_ɹ	0.061
ɔː	-	0.847
ɔː	n̥	0.097
ɔː	a	0.055
ɔːu̯	a	0.234
ɔːː	a	0.676
ɔːː	ə	0.127
ɔːː	ɪ	0.09
ɔːː	w	0.088
ɔ̃ː	a	0.785
ɔ̃ː	-	0.119
ɔ̃ː	w	0.087
ɛː	ɪ	1.0
ɡ	ɡ̊	0.944
ɡ	-	0.051
ɡ_r	ɡ̊	1.0
ɡʷ	ʤ̊	1.0
ɣ	ɡ̊	0.526
ɣ	ʤ̊	0.139
ɣ	v	0.099
ɣ	j	0.068
ɣ	-	0.065
ɸ	f	0.839
ɸ	v	0.109
ɸ	-	0.05
ˈe	j	0.23
ˈe	ˈeː	0.135
ˈe	-	0.127
ˈe	ˈøː	0.092
ˈe	ˈɛ	0.08
ˈe_w	ˈɛːa̯	1.0
ˈeu̯	ˈɔːu̯	0.324
ˈeu̯	ˈʉːu̯	0.138
ˈeu̯	ˈuː	0.101
ˈeu̯	ˈɛːa̯	0.092
ˈeu̯	ˈʏ	0.092
ˈeu̯_x	ˈɔːu̯	0.234
ˈeː	ˈeː	0.484
ˈi	ˈɪ	0.458
ˈi	ˈiː	0.238
ˈi	ˈʊ̯iː	0.115
ˈi	ˈɛ	0.066
ˈi	r	0.058
ˈi_n	ˈʊ̯iː	1.0
ˈiu̯	ˈʊ̯iː	0.366
ˈiu̯	ˈʊ	0.177
ˈiː	ˈʊ̯iː	0.802
ˈiː	ˈɛːa̯	0.092
ˈiː	ʊ̯ˈiː	0.086
ˈĩː	ˈa	0.484
