Yiddish	Eastphalian	probability
b	b	0.698
b	v	0.161
b	f	0.101
b	-	0.044
d	d	0.686
d	-	0.309
f	f	0.765
f	p	0.137
f	b	0.064
f	v	0.035
h	h	0.953
h	k	0.053
j	j	1.0
k	k	0.692
k	ç	0.164
k	ɣ	0.082
k	-	0.055
l	l	1.0
m	m	0.95
m	n	0.054
n	n	0.825
n	-	0.118
n	m	0.042
p	p	1.0
s	t	0.774
s	s	0.225
t	t	0.46
t	d	0.421
t	-	0.106
v	v	0.866
v	w	0.131
z	z	0.75
z	s	0.23
z	ʃ	0.034
ŋ	ŋ	1.0
ə	ɐ	0.644
ə	-	0.313
ə	ə	0.044
ɛ	ə	0.517
ɛ	ɐ	0.45
ɡ	-	0.387
ɡ	ɣ	0.279
ɡ	j	0.181
ɡ	x	0.063
ɡ	ç	0.041
ɪ	ɪ	1.0
ʀ	r	0.407
ʀ	-	0.398
ʀ	ɐ	0.192
ʁ	-	0.574
ʁ	r	0.284
ʃ	s	0.556
ʃ	ʃ	0.442
ʎ	l	0.495
ʦ	t	1.0
ʧ	ʃ	1.0
ˈa	ˈa	0.741
ˈa	ˈɔ	0.067
ˈa	ˈɒː	0.058
ˈa	ˈaː	0.038
ˈa	ˈɪ	0.038
ˈaɪ̯	ˈiː	0.521
ˈaɪ̯	ˈɪ	0.131
ˈaɪ̯	ˈyː	0.114
ˈaɪ̯	ˈeː	0.075
ˈaɪ̯	ˈʏ	0.068
ˈi	ˈoː	1.0
ˈɔ	ˈɒː	0.242
ˈɔ	ˈɔ	0.153
ˈɔ	ˈɛː	0.129
ˈɔ	ˈoː	0.119
ˈɔ	ˈa	0.096
ˈɔɪ̯	ˈeo̯	0.488
ˈɔɪ̯	ˈuː	0.378
ˈɔɪ̯	ˈøː	0.052
ˈɔɪ̯	ˈoː	0.05
ˈɔɪ̯	ˈɔ	0.044
ˈɛ	ˈɛ	0.235
ˈɛ	ˈeː	0.198
ˈɛ	ˈɛː	0.149
ˈɛ	ˈœ	0.149
ˈɛ	ˈɛɪ̯	0.149
ˈɛɪ̯	ˈɛɪ̯	0.782
ˈɛɪ̯	ˈɪ	0.12
ˈɛɪ̯	ˈøː	0.09
ˈɪ	ˈɪ	0.445
ˈɪ	ˈɛɪ̯	0.157
ˈɪ	ˈɔʏ̯	0.128
ˈɪ	ˈɛ	0.085
ˈɪ	ˈʏ	0.063
ˈʊ	ˈʊ	0.39
ˈʊ	ˈaʊ̯	0.325
ˈʊ	ˈɔ	0.128
ˈʊ	ˈoː	0.054
ˈʊ	ˈøː	0.048
χ	x	0.41
χ	k	0.35
χ	ç	0.195
χ	-	0.045
