Yiddish	Eastphalian	probability
b	b	0.61
b	v	0.186
b	-	0.121
b	f	0.083
d	d	0.644
d	-	0.356
f	f	0.762
f	p	0.143
f	b	0.08
h	h	0.972
j	j	1.0
k	k	0.715
k	ç	0.185
l	l	0.993
m	m	0.889
m	-	0.089
n	n	0.801
n	-	0.116
n	m	0.075
p	p	1.0
s	t	0.732
s	s	0.268
t	t	0.515
t	d	0.458
v	v	0.847
v	w	0.133
z	z	0.772
z	s	0.21
ŋ	ŋ	1.0
ə	ɐ	0.726
ə	-	0.222
ə	ə	0.052
ɛ	ɐ	0.564
ɛ	ə	0.436
ɡ	-	0.293
ɡ	j	0.267
ɡ	ɣ	0.249
ɡ	ç	0.101
ɡ	x	0.064
ɪ	ɪ	1.0
ʀ	ɐ	0.46
ʀ	r	0.425
ʀ	-	0.115
ʁ	-	1.0
ʃ	s	0.501
ʃ	ʃ	0.499
ʎ	l	1.0
ʦ	t	1.0
ʧ	ʃ	1.0
ˈa	ˈa	0.786
ˈaɪ̯	ˈiː	0.496
ˈaɪ̯	ˈeː	0.158
ˈaɪ̯	ˈɪ	0.126
ˈaɪ̯	ˈyː	0.11
ˈaɪ̯	ˈʏ	0.071
ˈi	ˈoː	1.0
ˈɔ	ˈɒː	0.251
ˈɔ	ˈoː	0.182
ˈɔ	ˈɔ	0.133
ˈɔ	ˈaː	0.131
ˈɔ	ˈɛː	0.121
ˈɔ	ˈɛ	0.068
ˈɔ	ˈa	0.062
ˈɔ	ˈʊ	0.051
ˈɔɪ̯	ˈeo̯	0.476
ˈɔɪ̯	ˈuː	0.307
ˈɔɪ̯	ˈøː	0.079
ˈɔɪ̯	ˈoː	0.077
ˈɛ	ˈeː	0.261
ˈɛ	ˈɛɪ̯	0.212
ˈɛ	ˈœ	0.152
ˈɛ	ˈɛ	0.151
ˈɛ	ˈɛː	0.1
ˈɛ	ˈɪ	0.066
ˈɛɪ̯	ˈɛɪ̯	0.821
ˈɛɪ̯	ˈøː	0.119
ˈɛɪ̯	ˈɪ	0.06
ˈɪ	ˈɪ	0.502
ˈɪ	ˈɛɪ̯	0.126
ˈɪ	ˈiː	0.109
ˈɪ	ˈɔʏ̯	0.1
ˈɪ	ˈʏ	0.07
ˈʊ	ˈʊ	0.516
ˈʊ	ˈaʊ̯	0.236
ˈʊ	ˈɔ	0.097
ˈʊ	ˈoː	0.083
χ	k	0.373
χ	x	0.37
χ	ç	0.216
