Swabian	Swabian	probability
ˈʌ	ˈʏ_r	1.0
ˈɛː	-	1.0
ˈɔː_ʕ	ˈoː_r	1.0
ˈɔə̯	ˈʊ	1.0
ˈɔ_ʕ	ɳː	1.0
ˈɔ	ˈɔ	1.0
ˈuː	ˈuː	1.0
ˈiː	-	1.0
ˈeː	-	1.0
ˈeə̯	-	1.0
ʣ	tː	1.0
ʌ_#>	#>	1.0
ʃ_d	s_t	1.0
ʁ	r	1.0
ɪ	-	1.0
ŋ_ɡ	kː	1.0
ŋ	ŋː	1.0
x_d	tː	1.0
x	k	1.0
s_#>	#>	1.0
p͡f	pʰ	1.0
n_d	nː	1.0
n_#>	#>	1.0
l_e	lː	1.0
i	ˈɵ	1.0
h	h	1.0
f_ˈi	f	1.0
eə̯	ɔ	1.0
d_ʁ	tʰ_r	1.0
d_a	d_a	1.0
b_#>	v_#>	1.0
a_#>	#>	1.0
<#_ˈɛ	<#_ˈa	1.0
<#_ʋ	<#	1.0
<#_ʁ	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#	<#_j	1.0
l	l	0.892
a	a	0.879
n	n	0.833
ʋ	v	0.824
ˈuə̯	ˈuː	0.778
kʰ	kʰ	0.75
b	b	0.75
ç	k	0.714
m	m	0.714
ˈe	ˈɪ	0.667
ˈao̯	ˈʉː	0.667
ʦ	tʰ	0.667
f	f	0.667
d	d	0.661
ˈa	ˈa	0.652
ˈɛ	ˈɛ	0.647
ˈɔe̯	ˈeː	0.636
ˈəi̯	ˈiː	0.615
ˈɪ	-	0.6
ˈɔː	ˈoː	0.6
ˈi	-	0.6
ˈoː	ˈoː	0.556
ʕ	r	0.556
ˈo	ˈɵ	0.533
#>	n_#>	0.526
ʌ	r	0.524
ɡ	ɡ	0.5
ʌ	ɛ_r	0.476
s	s	0.455
ˈoː	ˈøː	0.444
ˈaː	ˈɑː	0.444
ˈu	ˈʏ	0.429
ˈiə̯	-	0.429
ˈɪ	ˈɪ	0.4
ˈɔː	ˈa	0.4
ˈi	ˈɪ	0.4
ʃ	s	0.4
#>	ɛ_#>	0.368
ˈɔe̯	ˈɛ	0.364
ˈe	-	0.333
ˈae̯	-	0.333
ʕ	ɳ	0.333
ʃ	s_k	0.3
ˈu	ˈœ	0.286
ˈu	-	0.286
ˈiə̯	ˈʉː	0.286
ˈiə̯	j_ˈʉː	0.286
ç	-	0.286
m	mː	0.286
s	t	0.273
ˈa	ˈɑː	0.261
ʃ	ɧ	0.25
kʰ	ɕ	0.25
b	v	0.25
ˈɛ	-	0.235
ˈəi̯	ˈyː	0.231
ˈuə̯	ˈøː	0.222
ˈaː	ˈoː	0.222
ˈaː	ˈa_n	0.222
ˈae̯	ˈɛ	0.222
ˈae̯	ˈœ	0.222
ˈae̯	ˈeː	0.222
ˈo	ˈʊ	0.2
ˈao̯	ˈøː	0.2
d	-	0.196
ʋ	-	0.176
ʦ	tː	0.167
ʦ	-	0.167
n	-	0.167
f	v	0.167
f	p	0.167
ˈəi̯	-	0.154
ˈo	ˈɔ	0.133
ˈo	-	0.133
ˈao̯	-	0.133
a	n	0.121
ˈɛ	ˈɛː	0.118
ˈaː	jː	0.111
ʕ	ʂ	0.111
ɡ	ɡː	0.111
ɡ	j	0.111
ɡ	-	0.111
d	tʰ	0.107
#>	ɡ_#>	0.105
s	tː	0.091
ˈa	ˈɛ	0.087
ɡ	ŋ	0.083
ɡ	k	0.083
s	ɧ	0.068
s	sː	0.068
l	ɛ_l	0.054
l	lː	0.054
