Standard German	Standard German	probability
ˈʊ_n	ˈʏ	1.0
ˈɛː	-	1.0
ˈɔʏ̯	-	1.0
ˈœ	-	1.0
ˈøː	-	1.0
ˈoː_n	n	1.0
ˈiː_ɐ_#>	ˈɛ_#>	1.0
ˈa_s	ˈɒː_d	1.0
ˈa_n	ˈœ	1.0
ˈa_l	ˈuː_l	1.0
ʦ	t	1.0
ʃ_v	s	1.0
ʃ_l	s_l	1.0
ʃ_#>	ʃ_#>	1.0
ɪ	i	1.0
ɡ̊	-	1.0
ɡ_n	nʲ	1.0
ə_n	ə	1.0
ə_#>	#>	1.0
ɐ_n	ʀ_n	1.0
ŋ	ŋ	1.0
ç_ə	k	1.0
ç_#>	#>	1.0
z̥_#>	s_#>	1.0
v_ˈɔ	ˈʊ	1.0
v	v	1.0
tʰ	d	1.0
t_ɐ	ə_ʀ	1.0
t_n	dʲ_ə	1.0
s_t	s_t	1.0
p͡f	p	1.0
p	-	1.0
n_d	n	1.0
m	m	1.0
l_t	lʲ	1.0
kʰ	k	1.0
k	k	1.0
h	h	1.0
f_#>	p_#>	1.0
eː	ɛi̯	1.0
b_n	v_ə	1.0
a	ə	1.0
<#_ʁ	<#_ʀ	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_kʰ	<#	1.0
<#	<#_j	1.0
#>	v̥_#>	1.0
l	l	0.914
ʁ	ʀ	0.913
z	s	0.864
<#_l	<#_l	0.833
b	b	0.818
f	f	0.767
ˈiː	ˈiː	0.75
ə	ə	0.75
ˈyː	-	0.714
ˈʏ	-	0.667
ˈʊ	ˈʊ	0.636
ɐ	ʀ	0.611
<#_ˈa	<#	0.6
ˈeː	ˈiː	0.556
x	x	0.545
ɡ	ɡ	0.524
n	n	0.517
ʃ	ʃ	0.5
ʃ	s	0.5
t	t	0.5
d̥	-	0.467
ˈuː	ˈœ	0.455
ç	k	0.455
x	k	0.455
d	t	0.45
ˈeː	-	0.444
ˈaɪ̯	ˈi	0.444
s	tʲ	0.412
<#_ˈa	<#_ˈeː	0.4
ɐ	ə_ʀ	0.389
n	ə	0.379
ˈɪ	-	0.375
ˈaɪ̯	ˈiː	0.37
ˈʊ	-	0.364
ç	x	0.364
s	t	0.353
ˈʏ	ˈa	0.333
ˈɪ	ˈi	0.333
ˈɔ	-	0.333
ˈoː	ˈyː	0.333
b̥	ə_v̥	0.333
b̥	v̥	0.333
b̥	-	0.333
ˈaʊ̯	ˈʏ	0.316
ˈaʊ̯	ˈuː	0.316
d	d	0.3
ˈyː	ˈɛi̯	0.286
ˈɛ	ˈa	0.278
ˈɔ	ˈɔ	0.267
ˈaː	ˈɛi̯	0.263
ˈaː	-	0.263
ˈa	ˈɒ	0.261
ˈoː	ˈɔu̯	0.25
ˈoː	-	0.25
ˈiː	-	0.25
ə	x	0.25
ɡ	j	0.238
t	d̥	0.233
ˈɛ	ˈɛː	0.222
ˈɛ	-	0.222
ˈa	ˈɒː	0.217
ˈaʊ̯	-	0.211
ˈɪ	ˈa	0.208
d̥	nʲ	0.2
d̥	d̥	0.2
ˈuː	ˈʏ	0.182
ˈuː	ˈɛ	0.182
ˈuː	-	0.182
ç	ŋ	0.182
ˈa	ˈʊ	0.174
ˈɛ	ˈeː	0.167
ˈoː	ˈuː	0.167
t	dʲ	0.167
<#_l	<#	0.167
ˈaː	ˈeː	0.158
ˈaʊ̯	ˈœː	0.158
d	-	0.15
ɡ	-	0.143
z	-	0.136
ˈɔ	ˈʊ	0.133
ˈɔ	ˈɔː	0.133
ˈɔ	ˈœ	0.133
d̥	z̥	0.133
s	z	0.118
s	s	0.118
ˈɛ	ˈɒ	0.111
ˈaɪ̯	-	0.111
ˈaː	ˈɛː	0.105
ˈaː	ˈɔː	0.105
ˈaː	ˈɒː	0.105
t	-	0.1
f	p	0.1
d	tʲ	0.1
ɡ	j_ə	0.095
b	v_ə	0.091
b	-	0.091
ˈa	ˈœ	0.087
ˈa	ˈeː	0.087
ˈa	ˈa	0.087
ˈa	-	0.087
ʁ	-	0.087
l	lʲ	0.086
ˈɪ	ˈai̯	0.083
ˈaɪ̯	ˈa	0.074
n	nʲ	0.069
f	v̥	0.067
f	v_ə	0.067
