Phone1	Phone2	Surprisal
a	ɐ	1.39
a	ɜ	1.952
a	a	2.217
a	ɞ	3.572
a	-	4.038
a_ɾ	ɾ	0.0
b	v	0.553
b	b	1.651
d	d	0.248
d	-	2.662
e	e	1.235
e	ɞ	2.826
e	o	2.949
e	i	2.976
e	ˈæ	3.002
e	-	4.247
f	f	0.0
i	-	0.931
i	i	1.073
j	-	1.358
j	ˈe	2.015
j	ˈæ	2.366
j	j	2.569
j_ˈe	ˈe	0.694
j_ˈe	ˈæ	1.389
k	k	0.0
l	l	0.0
l_m	mː	0.0
m	m	0.0
n	n	0.266
n	n_d	3.302
n	-	3.895
o	o	0.409
o	-	2.019
p	p	0.0
p_u	s	0.0
r	r	0.0
s	s	0.394
s	z	2.383
s	-	4.398
t	t	0.086
t	-	4.114
t_a	t_ɞ	0.0
u	o	1.532
u	-	1.722
u	ɜ	2.466
u	u	2.554
w	ˈɒ	0.893
w	w	1.7
w	ˈu	2.7
w_ˈe	ˈɒ	0.0
ð	ð	0.155
ð	t	3.299
ŋ	ŋ	0.0
ɡ	ɡ	0.454
ɡ	k	1.89
ɣ	ɣ	0.449
ɣ	-	1.904
ɣ_u	k	0.0
ɲ	ɲ	0.0
ɾ	ɾ	0.821
ɾ	r	1.835
ɾ	ɾ_ɜ	4.024
ɾ	-	4.763
ɾ	e	4.857
ɾ	ɾ_ˈæ	5.587
ɾ_n	r_n	0.0
ɾ_o	ɾ_e	0.0
ɾ_ˈa	ɾ_ˈa	0.0
ʃ	ʤ	0.78
ʃ	-	1.259
ʎ	ʎ	0.294
ʎ	p_l	3.368
ʎ	k_l	3.516
ʎ_e	ʎ_e	0.0
ʎ_ˈe	ʎ_ˈe	0.0
ʝ	ʎ	0.333
ʝ	ʤ	2.279
ʧ	t	0.0
ˈa	ˈa	0.0
ˈa_ð	ˈa	0.0
ˈe	ˈæ	1.349
ˈe	ˈe	2.015
ˈe	ˈi	2.286
ˈe	-	3.922
ˈe	w	4.131
ˈe	ˈi_t	4.972
ˈe_u	k	0.0
ˈe_ʝ	ʎ	0.0
ˈe_ʧ	ˈi_t	0.0
ˈe_β	w	0.0
ˈe_θ	w	0.0
ˈi	ˈi	0.142
ˈi	-	3.417
ˈi_ɾ	ɾ_e	0.0
ˈo	ˈo	0.919
ˈo	ˈɒ	1.582
ˈo	-	3.874
ˈo	ˈa_l	4.547
ˈo	ˈo_t	5.262
ˈu	ˈu	0.091
ˈu	-	4.027
β	β	1.442
β	v	1.695
β	w	2.049
β	-	3.618
β_e	w	0.0
β_u	p	0.0
θ	-	0.808
θ	s	1.961
θ	ɾ	2.542
