Asturian	Asturian	probability
θ_#>	w_#>	1.0
β_u	p	1.0
β_e	w	1.0
ˈi_ɾ	ɾ_e	1.0
ˈe_θ	w	1.0
ˈe_β	w	1.0
ˈe_ʧ	ˈi_t	1.0
ˈe_ʝ	ʎ	1.0
ˈe_u	k	1.0
ˈa_ŋ_#>	ˈa_#>	1.0
ˈa_ð	ˈa	1.0
ˈa	ˈa	1.0
ʧ	t	1.0
ʝ_u_#>	ʎ_#>	1.0
ʎ_ˈe	ʎ_ˈe	1.0
ʎ_e	ʎ_e	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_o	ɾ_e	1.0
ɾ_n	r_n	1.0
ɾ_#>	r_#>	1.0
ɲ	ɲ	1.0
ɣ_u	k	1.0
ŋ_#>	#>	1.0
ŋ	ŋ	1.0
w_ˈe	ˈɒ	1.0
u_#>	#>	1.0
t_a	t_ɞ	1.0
s_#>	s_#>	1.0
r	r	1.0
p_u	s	1.0
p	p	1.0
n_u_#>	#>	1.0
m_e_#>	m_#>	1.0
m	m	1.0
l_u_#>	l_#>	1.0
l_m	mː	1.0
l_#>	#>	1.0
l	l	1.0
k	k	1.0
j_#>	j_#>	1.0
f	f	1.0
e_#>	#>	1.0
a_ɾ	ɾ	1.0
<#_θ	<#_s	1.0
<#_ˈo	<#_ˈɒ	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ_w	<#_ˈu	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_i	<#_i	1.0
<#_e	<#_e	1.0
<#_a	<#_a	1.0
<#	<#_ʤ	1.0
t	t	0.935
ˈu	ˈu	0.9
ˈi	ˈi	0.885
ð	ð	0.846
d	d	0.812
n	n	0.811
ʎ	ʎ	0.792
ʝ	ʎ	0.75
ʃ	ʤ	0.75
s	s	0.75
o	o	0.727
ɣ	ɣ	0.7
ɡ	ɡ	0.7
i	-	0.667
b	v	0.621
j_ˈe	ˈe	0.611
θ	-	0.571
w	ˈɒ	0.538
ˈo	ˈo	0.5
ɾ	ɾ	0.491
ˈe	ˈæ	0.438
e	e	0.424
j	-	0.417
β	β	0.4
j_ˈe	ˈæ	0.389
a	ɐ	0.387
b	b	0.379
u	o	0.364
i	i	0.333
ˈo	ˈɒ	0.318
w	w	0.308
ɣ	-	0.3
ɡ	k	0.3
ɾ	r	0.291
a	ɜ	0.287
θ	s	0.286
β	v	0.28
u	-	0.273
o	-	0.273
ˈe	ˈe	0.25
ʝ	ʤ	0.25
ʃ	-	0.25
j	ˈe	0.25
#>	ɞ_#>	0.25
#>	w_#>	0.25
#>	r_#>	0.25
#>	e_#>	0.25
β	w	0.2
d	-	0.188
u	ɜ	0.182
u	u	0.182
s	z	0.179
a	a	0.175
j	ˈæ	0.167
j	j	0.167
ð	t	0.154
w	ˈu	0.154
e	ɞ	0.152
θ	ɾ	0.143
ʎ	p_l	0.125
e	ˈæ	0.121
e	o	0.121
e	i	0.121
β	-	0.12
ˈi	-	0.115
n	-	0.108
ˈe	ˈi	0.104
ˈu	-	0.1
a	ɞ	0.1
ˈe	-	0.083
ʎ	k_l	0.083
n	n_d	0.081
ɾ	ɾ_ɜ	0.073
s	-	0.071
ˈo	ˈa_l	0.068
ˈo	-	0.068
t	-	0.065
ˈe	w	0.062
e	-	0.061
ɾ	e	0.055
ɾ	-	0.055
