Shanghainese	Shanghainese	probability
⁵⁵	-	1.0
ʨʰ	ʦʰ	1.0
ʨ	k	1.0
ʔ_⁵	p̚	1.0
ʔ_¹²	k̚	1.0
ʑ	ʣ_i	1.0
ɥ	ʉ_ɐ	1.0
ɤ	-	1.0
ɡ	ɡ	1.0
ŋ̍	ŋ	1.0
¹²	-	1.0
y	ɨ	1.0
w	w	1.0
v	b_ɨ	1.0
tʰ	tʰ	1.0
t	t	1.0
pʰ	pʰ	1.0
o_ʔ	k̚	1.0
l	l	1.0
k	k	1.0
d	d	1.0
<#_ɦ	<#	1.0
<#_nʲ	<#	1.0
<#	<#_ʔ	1.0
⁵³	˦	0.944
ŋ	ŋ	0.909
ɦ	ɦ	0.857
ɕ	s	0.833
nʲ	ȵ	0.833
h	h	0.833
e	ʌ_i	0.778
³⁴	˧˥	0.731
s	ɕ	0.667
m	m	0.667
kʰ	kʰ	0.667
j	i	0.667
²³	˦	0.621
p	p	0.6
ã	ɐ_ŋ	0.6
ʦʰ	ʨʰ	0.571
z̩	ɨ	0.571
f	p	0.571
ɔ	e_u	0.556
ɑ̃	ɑ_ŋ	0.556
ʔ	t̚	0.526
ʥ	ɡˠ	0.5
ʥ	ɡ	0.5
ɯ	ʉ	0.5
ɯ	u	0.5
ɜ	ɨ_u	0.5
ɜ	ə_u	0.5
ø	ɑ_n	0.5
b	bˠ	0.5
b	b	0.5
ʔ	k̚	0.474
ɔ	ɑ_u	0.444
ɑ̃	ɐ_ŋ	0.444
a	a	0.444
ʦʰ	ʦʰ	0.429
z̩	i_e	0.429
n	n	0.429
f	p_ʉ	0.429
ə	ɨ	0.417
p	-	0.4
ã	ŋ	0.4
ʦ	ʦ	0.364
ʦ	ʈ	0.364
ɪ	ɪ	0.333
ɪ	e	0.333
ɪ	-	0.333
z	ʥ	0.333
u	ɑ	0.333
m	mˠ	0.333
kʰ	kʰˠ	0.333
j	ɨ	0.333
a	æ	0.333
o	ɨ_u	0.304
ø	ʌ_m	0.3
³⁴	˥˩	0.269
ə	ə	0.25
u	u_ɑ	0.25
u	u_o	0.25
n	u_n	0.238
²³	˧˥	0.227
i	i_ɪ	0.227
i	i	0.227
z	ɖˠ	0.222
z	ɖ	0.222
e	-	0.222
a	ɐ	0.222
o	u	0.217
ø	n	0.2
ʦ	ʨ	0.182
i	e	0.182
ə	i_u	0.167
ə	i	0.167
ɕ	sˠ	0.167
u	u	0.167
s	ʃˠ	0.167
s	ʃ	0.167
nʲ	ɳ	0.167
h	hˠ	0.167
²³	˥˩	0.152
ɦ	ɦˠ	0.143
n	ɪ_m	0.143
i	e_n	0.136
i	e_i	0.136
o	ɨ_o	0.13
z	ʤ	0.111
z	ʑ	0.111
n	ŋ	0.095
n	æ_ŋ	0.095
ʦ	ʈˠ	0.091
ŋ	ŋˠ	0.091
i	ɛ_n	0.091
o	ʌ	0.087
o	w	0.087
o	i_a	0.087
o	a	0.087
⁵³	-	0.056
