Aragonese	Sicilian	probability
f	f	1.0
i	i	1.0
u	ˈu	1.0
ŋ	ŋ	1.0
ʃ	ʃː	1.0
ʝ	-	1.0
b	v	0.771
j	ˈɛ	0.171
j	-	0.701
k	k	0.961
l	l_ɪ	0.071
l	l	0.561
r	ʐ	0.441
ɲ	nː	0.111
ʎ	ɖː	0.411
β	v	0.451
d	d	0.992
m	mː	0.162
t	ʧː	0.062
w	ˈɔ	0.372
ˈe	ɾ_ɪ	0.052
ˈi	ɪ	0.12
θ	ɕ	0.672
e	a	0.073
e	ɪ	0.403
s	s	0.903
w	w	0.543
ɡ	ɡ	0.863
ɣ	ɡ	0.393
ɾ	-	0.093
ʎ	ɟː	0.343
ʧ	ʤ	0.263
ˈa	ˈa	0.93
e	ʊ	0.154
e	i	0.274
l	ɖː	0.14
ˈo	ˈo	0.124
n	n	0.745
o	u	0.055
o	ʊ	0.855
p	p	0.995
t	t	0.605
ð	ɾ	0.05
ð	t	0.95
b	b	0.206
e	-	0.096
t	j	0.076
ɡ	-	0.116
ɾ	ɾ	0.386
ˈi	ˈi	0.856
ˈo	ˈa	0.06
ˈu	ˈu	0.96
n	-	0.077
ɣ	k	0.607
ʧ	j	0.737
ˈa	-	0.07
ˈe	ˈɛ	0.17
ˈo	ˈɔ	0.07
ˈo	ˈu	0.747
a	a	0.918
m	m	0.838
n	n_ɪ	0.108
s	-	0.058
t	tː	0.138
w	-	0.058
ɾ	r_ɪ	0.128
ɾ	ɾ_ɪ	0.178
ʎ	cː	0.218
β	-	0.118
θ	ɕ_ɪ	0.328
j	j	0.079
l	-	0.189
r	r	0.269
r	ʐː	0.29
t	ʈ	0.069
ɲ	ɲː	0.889
ɾ	ɪ_ɾ	0.059
ɾ	r	0.09
ˈe	ɪ	0.139
ˈe	ˈi	0.539
β	p	0.419
