Italian	Emilian	probability
ˈɛ_tː	ˈɛ_t	1.0
ˈɛ_s	ˈɛ_s	1.0
ˈa_tː	ˈaː_t	1.0
ˈa_p	ˈɛ_v	1.0
ˈa_n	ˈa_ŋ	1.0
ʧː	θ	1.0
ʦː	θ	1.0
ʦ	θ	1.0
ʤː	ð	1.0
ʤ	ð	1.0
ʣː	ð	1.0
ʎː	j	1.0
ʃː	s	1.0
ɲː	ɲ	1.0
ɡ_j	ʤ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ˈɔ	ˈɔː	1.0
v	v	1.0
u	u	1.0
tː	t	1.0
s_i	z	1.0
s_e	s	1.0
s	s	1.0
rː	r	1.0
r_t	r_t	1.0
r_o	e_r	1.0
nː	n	1.0
mː	-	1.0
lː	l	1.0
kː_j	ʧ	1.0
kː	k	1.0
fː	f	1.0
f	f	1.0
e_r	r	1.0
dː	d	1.0
bː	b	1.0
b	b	1.0
a_l	a_l	1.0
a	a	0.97
m	m	0.959
l	l	0.939
r	r	0.86
d	d	0.859
p	p	0.77
k	k	0.768
j	j	0.756
e	e	0.729
ʧ	z	0.693
ˈu	ˈo	0.667
o	u	0.658
ˈa	ˈɛ	0.597
n	ŋ	0.575
t	t	0.568
i	-	0.528
w	w	0.525
ˈe	ˈa	0.52
o_l	u_l	0.516
o_l	l	0.484
ˈɔ	ˈɔː	0.478
w	-	0.475
i	i	0.472
ˈi	ˈe	0.466
t	d	0.381
n	n	0.38
ˈo	ˈʌu̯	0.375
ˈɛ	ˈɛ	0.371
ˈo	ˈʌ	0.31
ˈi	ˈiː	0.31
ʧ	θ	0.307
ˈɔ	ˈɔ	0.279
ˈa	ˈaː	0.263
j	-	0.244
ˈo	-	0.242
k	ɡ	0.232
p	v	0.23
ˈu	ˈuː	0.22
ˈɛ	ˈæ	0.218
ˈɛ	-	0.21
ˈɛ	ˈɛː	0.202
ˈe	ˈa_j	0.177
o	-	0.172
o	o	0.17
e	-	0.166
ˈi	-	0.141
ˈa	ˈa	0.141
d	-	0.141
ˈe	ˈiː	0.121
e	a	0.105
ˈe	ˈæ	0.091
ˈe	ˈe	0.091
ˈɔ	ˈuː	0.084
ˈɔ	ˈo	0.083
ˈi	ˈi	0.083
ˈɔ	-	0.075
ˈo	ˈuː	0.073
ˈu	ˈʌu̯	0.062
r	e	0.061
l	-	0.061
r	r_e	0.055
ˈu	-	0.052
t	-	0.051
