Campidanese	Emilian	probability
β	v	1.0
ˈɛ_n	ŋ	1.0
ˈo_u	ˈɔː_v	1.0
ˈa_ʃ	ˈaː_s	1.0
ˈa_t	ˈaː_t	1.0
ˈa_n	ˈa_ŋ	1.0
ʧ	θ	1.0
ʦ	t	1.0
ʒ_i	z	1.0
ʒ	z	1.0
ʃ	s	1.0
ɾ_a	a	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛ_ɾ	r	1.0
ɖː	l	1.0
ɔ	u	1.0
ŋ	ŋ	1.0
z_u	z	1.0
z	-	1.0
w	w	1.0
ŭ	-	1.0
t_a	t_a	1.0
s_ˈa	s_ˈa	1.0
r	r	1.0
p	p	1.0
o	u	1.0
n_ʤ	ɲ	1.0
l	l	1.0
f	f	1.0
e	-	1.0
d	d	1.0
ă	-	1.0
m	m	0.958
k	k	0.943
t	t	0.935
a	a	0.912
ˈa_i	ˈɛ_r	0.878
s	s	0.775
ɾ_i	r	0.735
ð	d	0.698
ʤ	ð	0.691
nː	ɲ	0.681
ɾ	r	0.653
ɛ	e	0.651
b	v	0.604
j	-	0.596
ɭː	l	0.557
ɣ	ɡ	0.503
n	ŋ	0.492
ˈa	ˈɛ	0.447
ɭː	j	0.443
ˈe	ˈɛ	0.427
n	n	0.413
ˈɔ	ˈɔː	0.407
j	j	0.404
b	b	0.396
ˈi	ˈe	0.389
ɛ	-	0.349
ˈu	ˈo	0.341
u	u	0.333
u	e	0.326
nː	n	0.319
ˈe	-	0.318
ˈo	ˈo	0.311
ð	t	0.302
ˈɛ	ˈæ	0.266
ɾ_i	e_r	0.265
ˈa	ˈaː	0.264
ɣ	-	0.26
ˈe	ˈɛː	0.254
ˈo	ˈʌ	0.249
ɣ	ʧ	0.237
ˈa	ˈa	0.236
s	-	0.225
ˈu	ˈuː	0.217
ˈi	ˈa	0.215
i	e	0.215
ˈɛ	ˈa	0.204
i	-	0.193
ʤ	-	0.191
ˈu	ˈʌu̯	0.177
ˈɔ	ˈʌu̯	0.176
ˈɛ	ˈɛ	0.173
ˈi	ˈiː	0.173
ˈo	ˈuː	0.17
i	v	0.168
ˈu	ˈʌ	0.16
ˈo	ˈɔː	0.16
ˈɔ	ˈɔ	0.154
i	e_r	0.146
ˈɛ	ˈiː	0.141
u	-	0.133
i	i	0.124
ˈa_i	r	0.122
ˈɔ	-	0.121
ʤ	ʤ	0.119
ˈo	ˈɔ	0.11
ɾ	v_e	0.107
ɾ	j	0.106
ˈu	ˈɔ	0.105
u	ˈɔː	0.104
u	a	0.104
i	r	0.098
n	-	0.095
ˈi	-	0.087
ˈi	ˈa_j	0.084
ˈɛ	r	0.079
ɾ	-	0.077
ˈɔ	ˈo	0.076
ˈɛ	ˈɛː	0.073
ˈɔ	r	0.066
t	θ	0.065
ˈɛ	-	0.064
k	-	0.057
i	z	0.055
ˈa	-	0.054
ˈi	ˈi	0.053
a	-	0.051
