French	Bellunese	probability
b	b	1.0
d	d	1.0
f	f	1.0
p	p	1.0
v	v	1.0
y	ˈu	1.0
z	z	1.0
ø	o	1.0
œ	ˈo	1.0
ɔ̃	ˈo_ŋ	1.0
ə	e	1.0
ɥ	t	1.0
n	-	0.071
ɔ	ˈɔ	0.531
ɛ	ˈe	0.291
ɛ̃	ˈi_ŋ	0.411
ʒ	-	0.281
j	-	0.152
l	j	0.22
t	t	0.842
ɛ	ˈɛ	0.232
ɡ	ɡ	0.972
ʁ	-	0.052
i	ˈi	0.543
m	m	0.683
o	ˈɛ_l	0.543
s	θ	0.433
ɑ̃	ˈe_ŋ	0.643
ʁ	r_o	0.053
k	k	0.914
ɛ̃	ŋ	0.284
ʃ	k	0.784
a	e	0.235
a	ˈa	0.325
w	ˈe_d	0.295
ɛ̃	ˈa_ŋ	0.305
e	ˈa	0.156
e	ˈa_r	0.436
k	k_w	0.086
l	l	0.676
u	ˈu	0.166
ʁ	r_a	0.076
ʃ	k_a	0.216
e	-	0.407
m	m_a	0.317
o	ˈɔ	0.457
s	s	0.567
u	o	0.307
u	ˈo	0.527
w	-	0.577
ɛ	ˈa	0.37
ʁ	e_r	0.07
a	a	0.408
i	ˈɛ	0.288
j	j	0.848
t	s_t	0.158
ɑ̃	ˈa_ŋ	0.258
ʁ	r	0.748
i	ˈe	0.069
i	-	0.099
l	l_a	0.079
n	n_a	0.339
n	n	0.59
w	ˈe	0.129
ɑ̃	n	0.099
ɔ	ˈo	0.09
ɔ	o	0.379
ɛ	-	0.09
ʒ	ð	0.719
