German	Danish	probability
b̥	w	1.0
d̥	-	1.0
kʰ	kʰ	1.0
p͡f	pʰ	1.0
v	ʋ	1.0
z	s	1.0
ˈøː	ˈøː	1.0
ˈɔʏ̯	ˈyˀ	1.0
d	ʦʰ	0.791
f	f	0.641
h	h	0.831
t	ð̞ˠ	0.591
ʦ	t	0.281
ʦ	ʦʰ	0.71
ˈaɪ̯	ˈɛ	0.061
ˈaɪ̯	ˈiˀ	0.371
ˈaʊ̯	ˈuˀ	0.51
ˈaː	ˈa	0.521
ˈoː	ˈœˀ	0.551
k	k	0.312
s	ð̞ˠ	0.512
tʰ	d̥	0.912
ə	-	0.082
ə	ə	0.882
ɡ	-	0.052
ʁ	-	0.062
ˈaː	ˈɔˀ	0.332
ˈɛ	ˈɛ	0.42
b	w	0.253
n	n	0.543
t	t	0.313
ɪ	-	0.113
ˈaʊ̯	ˈuː	0.083
ˈaʊ̯	ˈʌ	0.223
ˈeː	ˈɛ	0.3
ˈʊ	ˈu	0.173
f	p	0.064
ŋ	ŋˀ	0.74
ɡ̊	j	0.504
ˈɛ	ˈe	0.414
ˈʏ	ˈø	0.34
x	w	0.245
x	-	0.755
ç	j	0.535
ʃ	s	0.475
ʃ	s_k	0.525
ˈa	ˈʌ	0.095
ˈa	ˈɛ	0.165
ˈa	ˈa	0.335
ˈaɪ̯	ˈiː	0.155
ˈaɪ̯	ˈeˀ	0.355
ˈeː	ˈɔˀ	0.25
ˈeː	ˈeˀ	0.45
ˈiː	ˈiˀ	0.115
ˈuː	ˈøː	0.105
ˈuː	ˈoˀ	0.895
ˈɔ	ˈu	0.365
b	b̥	0.706
f	-	0.116
k	-	0.06
m	m	0.986
n	nˀ	0.096
t	-	0.096
ŋ	ŋ	0.26
ɐ	ʌ	0.186
ɡ	w	0.16
ɡ	ɡ̊	0.756
ɡ̊	w	0.496
ˈɛ	ˈæ	0.166
ˈɪ	ˈiˀ	0.096
ˈɪ	ˈe	0.836
ˈʏ	ˈœ	0.66
l	lˀ	0.227
l	l	0.757
ç	-	0.417
ɐ	ɐˀ	0.177
ɐ	ɐ	0.567
ɪ	i	0.887
ˈaʊ̯	ə	0.067
ˈaʊ̯	ˈœˀ	0.117
ˈaː	ˈɛː	0.147
ˈiː	ˈyˀ	0.457
ˈɔ	ˈʌ	0.267
ˈʊ	ˈɔ	0.827
k	ɡ̊	0.628
s	s	0.488
tʰ	ʦʰ	0.088
ʁ	ʁ	0.938
ˈa	k_#>	0.138
ˈa	ˈɑ	0.168
ˈaɪ̯	ˈɛˀ	0.058
ˈiː	ˈyː	0.428
ˈɔ	ˈo	0.368
d	-	0.209
f	b̥	0.179
h	j	0.169
n	ə	0.329
ɐ	-	0.069
ˈa	n_#>	0.059
ˈoː	ˈɔː	0.449
