Saterland Frisian	North Frisian	probability
#>	n_#>	1.0
<#	<#_j	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɣ	<#_ɡ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈaː	<#_ˈɒ	1.0
<#_ˈi	<#_ˈi	1.0
<#_ˈoː	<#_ˈuː	1.0
d_ə	d	1.0
f_#>	f_#>	1.0
j_ˈeː	ɡ	1.0
j_ˈoː	ˈiː	1.0
j_ˈʊ	ˈʊ	1.0
k_#>	k_#>	1.0
k_ə	k	1.0
l	l	1.0
l_d	lʲ	1.0
l_ə	l_#>	1.0
m_#>	m_#>	1.0
m_ə	m_ə	1.0
n_#>	n_#>	1.0
p	p	1.0
p_#>	p_#>	1.0
r	r	1.0
r_#>	r_#>	1.0
s_#>	s_#>	1.0
s_k	ʃ	1.0
s_t	s_t	1.0
t_#>	t_#>	1.0
t_ə	t_ə	1.0
v	v	1.0
v_ˈɪ	v_ˈʊ	1.0
w	v	1.0
x	x	1.0
x_#>	j_#>	1.0
z	z	1.0
z_ə	s_#>	1.0
ŋ	ŋ	1.0
ə_#>	ə_#>	1.0
ə_l	l_i	1.0
ɣ_j	j	1.0
ɣ_ə	w	1.0
ɪ_x	i	1.0
ˈa	ˈɒ	1.0
ˈaː	ˈɒː	1.0
ˈaːi̯_#>	ˈɛi̯	1.0
ˈeː_#>	ˈiː_#>	1.0
ˈi	ˈi	1.0
ˈi_#>	ˈeː_#>	1.0
ˈiː_r	ˈeː_r	1.0
ˈoːu̯_d	ˈɔ_r	1.0
ˈɔː_t	ˈɒː_d	1.0
ˈɛ_t	ˈa_t	1.0
ˈɪ	ˈa	1.0
ˈɪ_ŋ	ˈai̯_ŋ	1.0
ˈʊ	ˈʊ	1.0
<#_v	<#_v	0.81
k	-	0.111
t	t	0.381
d	t	0.222
d	ˈa	0.222
d	s	0.222
d_#>	dʲ_#>	0.312
j	j	0.222
j	d	0.222
l_#>	lʲ_#>	0.2
ˈiː	ˈi	0.462
ˈɔː	ˈɒː	0.222
ˈɛɪ̯	ˈɛi̯	0.312
<#_s	<#_s	0.783
d	-	0.333
n	-	0.143
n	nʲ	0.143
n_d	nʲ	0.273
ə	ə	0.423
ɣ	w	0.333
ɣ	-	0.333
ɣ	j	0.333
ˈeː	ˈɛː	0.143
ˈɔː	ˈɒ	0.333
k	k	0.444
k	ʃ	0.444
n	n	0.714
t	tʲ	0.524
ˈiː	ˈaː	0.154
ˈoː	ˈɔː	0.174
ˈoː	ˈyː	0.304
ˈɔ	ˈʊ	0.4
ˈɔː	ˈɔː	0.444
ˈɛ	ˈeː	0.714
ˈɛː	ˈa	0.444
<#_ˈuː	<#_ˈɔu̯	0.5
<#_ˈuː	<#_ˈyː	0.5
n_ə	n	0.5
n_ə	n_ə	0.5
t	z	0.095
v_ə	v	0.5
v_ə	v_ə	0.5
ə	-	0.5
ˈiː	ˈiː	0.385
ˈoː	ˈuː	0.435
ˈoːu̯	ˈɔ	0.125
ˈoːu̯	ˈɔu̯	0.25
ˈoːu̯	ˈœ	0.625
ˈuː	ˈøː	0.375
ˈɛɪ̯	r	0.125
ˈɛɪ̯	ˈiː	0.125
ˈɛɪ̯	ˈɛ	0.25
j	-	0.556
ˈɔ	ˈɔː	0.6
ˈɛ	ˈɒ	0.286
ˈɛː	ˈeː	0.556
<#_s	<#	0.217
n_d	n	0.727
ə	r	0.077
ˈeː	ˈiː	0.857
ˈoː	ˈiː	0.087
d_#>	d_#>	0.688
l_#>	l_#>	0.8
ˈuː	ˈaː	0.188
ˈuː	ˈyː	0.438
ˈɛɪ̯	ˈai̯	0.188
<#_v	<#	0.19
