East Frisian Low Saxon	English	probability
χ	ˈaɪ̯	1.0
ˈʏə̯	ˈɪ	1.0
ˈʊə̯	-	1.0
ˈɪə̯	-	1.0
ˈɪ_χ	ˈaɪ̯	1.0
ˈɔː	ˈɛ	1.0
ˈɒːɒ̯	-	1.0
ˈɑːʊ̯	-	1.0
ˈɑːɑ̯	-	1.0
ˈɑɪ̯	-	1.0
ˈɑ_χ	ˈaɪ̯	1.0
ˈɑ_l	ˈɑː	1.0
ˈœːy̯	ˈuː	1.0
ˈœy̯	ˈiː	1.0
ˈœ	ˈɐ	1.0
ˈøː_ɐ	ˈɔː	1.0
ˈøy̯	ˈiː	1.0
ˈæːɪ̯	-	1.0
ˈæː	-	1.0
ˈæɪ̯_t	t	1.0
ˈæɪ̯_n	ˈəʊ̯_n	1.0
ˈyː	ˈɪ	1.0
ˈuːu̯	ˈaʊ̯	1.0
ˈoːo̯	-	1.0
ˈoː_ɐ	ˈɔː	1.0
ˈiːi̯	ˈaɪ̯	1.0
ˈiː	ˈaɪ̯	1.0
ˈeːe̯	ˈe_ð	1.0
ʊ	ˈɐ	1.0
ɫ	l	1.0
ɣ̊	ʤ	1.0
ɡ̊	-	1.0
ɡ_l	ɫ	1.0
ə	-	1.0
ɑɪ̯	ˈiː	1.0
ɐ_ɣ̊	ɪ	1.0
ŋ	ŋ	1.0
z̥	z	1.0
w	w	1.0
v̥	-	1.0
s_k	ʃ	1.0
s	s	1.0
o	ˈəʊ̯	1.0
n_n	n	1.0
m	m	1.0
k_n	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
d_ˈoː	d_ˈe	1.0
d_n	d	1.0
b	b	1.0
t	t	0.977
r	ɹ	0.964
z	s	0.872
p	p	0.86
v	w	0.804
ˈuː	ˈaʊ̯	0.747
ˈeː	-	0.744
d	θ	0.731
ˈɪ	ˈɪ	0.646
ˈɑː	ˈæ	0.618
n	n	0.616
ˈøːø̯	ˈəʊ̯	0.593
ˈʊ	ˈɐ	0.578
ˈɑː_ɐ	ˈɑː	0.57
l	l	0.528
ˈɑ	ˈæ	0.517
ɡ	ɡ	0.508
ˈʏ	-	0.507
ˈʏ	ˈɪ	0.493
ɡ	-	0.492
ɐ	ə	0.473
ˈɒː	-	0.451
ˈɑː_ɐ	ˈɔː	0.43
l	ɫ	0.412
ˈøːø̯	-	0.407
k	k	0.406
ˈɔ	ˈɒ	0.402
ˈɛ	ˈɪ	0.396
ˈæɪ̯	ˈiː	0.385
ˈɑː	ɜː	0.382
ˈæɪ̯	ˈəʊ̯	0.378
n	-	0.369
ˈoː	-	0.368
ˈɒː	ˈeɪ̯	0.363
k	ʧ	0.359
ˈøː	-	0.355
ˈøː	ˈiː	0.341
ˈɛ	-	0.313
ˈøː	ˈɪ	0.304
ˈɔ	-	0.301
ˈɑʊ̯	ˈʊ	0.3
ˈɑʊ̯	ˈuː	0.3
ˈɔ	ˈəʊ̯	0.297
ˈɛ	ˈe	0.291
ˈoː	ˈiː	0.279
ˈɪ	ˈaɪ̯	0.266
ˈeː	ˈe	0.256
ˈuː	ˈaɪ̯	0.253
ˈʊ	-	0.242
k	kʰ	0.235
ˈɑʊ̯	ˈiː	0.2
ˈɑʊ̯	ˈaʊ̯	0.2
ɐ	-	0.196
v	v	0.196
ˈɒː	ˈiː	0.186
ˈʊ	ˈʊ	0.18
ˈoː	ˈe	0.178
ˈoː	ˈɐ	0.174
ˈɑ	-	0.169
p	pʰ	0.14
d	ð	0.138
d	d	0.131
z	-	0.128
ˈɑ	ˈɒ	0.127
ˈæɪ̯	ˈe	0.122
ɐ	ˈɑː	0.122
ˈæɪ̯	ˈuː	0.115
ˈɑ	ˈɑː	0.093
ˈɑ	ˈeɪ̯	0.093
ˈɪ	ˈe	0.088
ɐ	ˈɔː	0.067
l	-	0.061
ɐ	ˈɪ_ə	0.058
