Old West Norse	Yiddish	probability
θ	d	1.0
ˈɛː	-	1.0
ˈɛi̯	ˈɛɪ̯	1.0
ˈɔː	ˈʊ	1.0
ˈɒu̯	ˈɔɪ̯	1.0
ˈɑu̯	ˈɔɪ̯	1.0
ˈøː	ˈɪ	1.0
ˈøy̯	ˈɔɪ̯	1.0
ˈu_n	ˈʊ_n	1.0
ˈoː_ð	ˈʊ_t	1.0
ˈiː	ˈaɪ̯	1.0
ˈeː_r̥	ˈɪ_ʀ	1.0
ˈeː	χ	1.0
ˈa	ˈa	1.0
ʦ	t	1.0
ʝː	ˈɔ_ɡ	1.0
ɾ	ʀ	1.0
ɡː	k	1.0
ɟː	-	1.0
ɟ	ɡ	1.0
ɑː	-	1.0
ç	h	1.0
x_w	v	1.0
v_ɑ	b_n	1.0
tʰ	ʦ	1.0
t_ɑ	s_n	1.0
sː	z	1.0
s_ˈuː	z_ˈɔɪ̯	1.0
s_t	ʃ_t	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
r̥ː	ə_ʀ	1.0
r_ˈy	ʀ_ˈɪ	1.0
pː	ˈɔɪ̯_f	1.0
p_ɑ	f_n	1.0
p	f	1.0
n̥	n	1.0
m	m	1.0
l̥	ɫ	1.0
lː	ɫ	1.0
l	ɫ	1.0
kʰ	k	1.0
k	χ	1.0
j_ˈɔ	ˈɛ	1.0
j_ˈɑ	ˈɛ	1.0
h	h	1.0
f	f	1.0
e	-	1.0
cː	k	1.0
c	ʧ	1.0
b	b	1.0
a	n	1.0
r	ʀ	0.968
n	n	0.949
ˈi	ˈɪ	0.917
ɣ	ɡ	0.837
ŋ	ŋ	0.796
ð	t	0.726
ˈɑ	ˈa	0.707
j	ˈɪ	0.7
ˈɑː	ˈɔ	0.682
ˈɔ	-	0.669
ˈɛ	ˈɛ	0.665
r̥	ʀ	0.656
ɡ	ɡ	0.634
ˈyː	ˈaɪ̯	0.632
nː	n	0.628
kː	k	0.61
ˈe	ˈɛ	0.595
ɑ	n	0.586
t	s	0.583
ˈoː	-	0.581
ˈo	ˈɔ	0.557
v	v	0.542
u	ˈɛ_n	0.522
s	z	0.51
i	ə	0.509
ˈuː	ˈɔɪ̯	0.507
d	d	0.501
m_r̥	ɛ_m	0.5
m_r̥	ə_m	0.5
d	t	0.499
ˈuː	-	0.493
i	-	0.491
u	-	0.478
tː	t	0.441
ˈu	ˈʊ	0.434
ˈoː	ˈʊ	0.419
ˈy	ˈɪ	0.398
kː	ŋ_k	0.39
nː	n_ə	0.372
ˈyː	-	0.368
ˈɛ	ˈa	0.335
ˈo	ˈʊ	0.332
ˈɔ	ˈa	0.331
ˈɑː	ˈa	0.318
ˈy	ˈɔ	0.301
ˈy	-	0.301
tː	χ_t	0.301
j	-	0.3
ˈu	ˈɔ	0.291
tː	ʦ	0.258
ˈe	-	0.251
s	ʃ	0.242
ˈɑ	ˈɔ	0.229
t	t	0.225
r̥	ə	0.206
ŋ	-	0.204
ɡ	-	0.2
ɑ	ə_n	0.2
v	b	0.198
t	ʦ	0.192
s	s	0.191
ɡ	ɡ_ə	0.166
ɣ	-	0.163
ˈe	ˈɪ	0.154
ð	d	0.15
r̥	χ	0.138
ˈu	ˈɪ	0.137
ˈu	ˈɛ	0.137
v	-	0.134
v	f	0.126
ð	-	0.124
ˈo	ˈɔɪ̯	0.111
ɑ	-	0.11
ɑ	ə	0.092
ˈi	-	0.083
ˈɑ	-	0.063
s	n	0.057
n	-	0.051
