Gothic	Gothic	probability
θ_s	ɾ	1.0
β	-	1.0
ˈiː_s	ˈiː	1.0
ˈi_s	ˈɛ_s	1.0
ˈa_t	ˈeː_d	1.0
ʍ	v	1.0
ɡʷː	ˈyː	1.0
ɡʷ	-	1.0
ɡ	-	1.0
ɔː	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
x	-	1.0
t_s	t	1.0
t_a	t	1.0
t	t	1.0
p	p	1.0
oː	-	1.0
nː	n	1.0
n_θ	ɾ	1.0
n_s	n	1.0
n_#>	#>	1.0
m_s	ə_m	1.0
m	m	1.0
lː	l	1.0
l_θ	lʲ	1.0
l	l	1.0
kʷ	kʰ	1.0
k	k	1.0
j	-	1.0
iː	-	1.0
i_s	s	1.0
h_s	x	1.0
f	f	1.0
e	ə	1.0
b_s	e	1.0
a_r	ɐ	1.0
<#_θ	<#_d	1.0
<#_ˈu	<#	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#	1.0
<#_t	<#_tʰ	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#_h	<#	1.0
<#	<#_j	1.0
a	-	0.923
b	b	0.867
s	-	0.843
d	d	0.8
ˈuː	ˈʏ	0.75
u	-	0.75
n	n	0.75
ˈiː	ˈɪ	0.714
i	-	0.714
ˈɛː	ˈɛ	0.667
ˈɛ	-	0.667
r	r	0.615
w	v	0.6
h	h	0.6
#>	f_#>	0.6
n_d	n	0.571
ˈiu̯	ˈiː	0.556
ˈɔː	ˈɔa̯	0.5
ˈeː	ˈuː	0.5
ˈeː	-	0.5
ð	ɾ	0.5
ð	-	0.5
ˈi	ˈɪ	0.458
ˈoː	-	0.444
ˈɔ	ˈuː	0.429
n_d	nʲ	0.429
θ	ɾ	0.4
#>	ɐ_#>	0.4
ˈɛː	-	0.333
ˈoː	ˈʊ	0.333
ˈu	ˈʏ	0.308
ˈu	ˈʊ	0.308
r	ɐ	0.308
θ	tʰ	0.3
θ	-	0.3
ˈɔ	ˈɔa̯	0.286
ˈɔ	-	0.286
ˈiː	ˈiː	0.286
i	ə	0.286
ˈɔː	ˈɔː	0.25
ˈɔː	-	0.25
ˈuː	z	0.25
u	ə	0.25
n	-	0.25
h	x	0.25
ˈa	ˈɔː	0.235
ˈu	ˈɛ	0.231
ˈoː	ˈœ	0.222
ˈiu̯	ˈʏ	0.222
ˈiu̯	-	0.222
ˈi	ˈɛ	0.208
d	-	0.2
ˈa	ˈa	0.176
ˈɛ	ˈɛː	0.167
ˈɛ	ˈaː	0.167
ˈu	-	0.154
h	-	0.15
w	ˈuː	0.133
w	v_ˈʏ	0.133
w	-	0.133
b	-	0.133
ˈi	ˈʊ	0.125
ˈi	-	0.125
ˈa	ˈaɪ̯	0.118
ˈa	ˈʊ	0.088
ˈa	ˈɛ	0.088
ˈi	ˈeː	0.083
s	s	0.078
r	x	0.077
a	ɐ	0.077
ˈa	ˈʏ	0.059
ˈa	ˈɔa̯	0.059
ˈa	ˈoː	0.059
ˈa	ˈeː	0.059
ˈa	-	0.059
