Macedonian	Czech	probability
b	b	1.0
i	ɪ	1.0
j	j	1.0
l	l	1.0
m	m	1.0
p	p	1.0
z	z	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ˈu	ˈu	1.0
a	ɛ	0.131
f	x	0.21
k	x	0.061
r	r	0.691
d	d	0.842
k	k	0.922
n	n_iː	0.192
n	n	0.702
ˈi	ˈɪ	0.562
r	r̝̊	0.093
v	v	0.683
ɛ	-	0.313
ɡ	iː_#>	0.083
ˈɛ	j_ˈɛ	0.093
f	v_iː	0.364
o	o	0.884
t	c	0.164
ɫ	l_iː	0.124
ˈa	ˈa	0.634
ˈo	ˈo	0.684
ˈr̩	r̝	0.074
ˈɛ	ˈiː	0.154
f	f	0.425
s	s	0.965
n	ɲ	0.106
o	-	0.116
r	r̝	0.216
ɡ	ɦ	0.86
ɫ	l	0.846
ˈa	ˈu	0.096
ˈɛ	ˈɛ	0.606
v	v_j	0.317
ɛ	ɛ	0.687
ɡ	t_#>	0.057
ˈa	ˈaː	0.27
ˈo	ˈuː	0.277
ˈr̩	ˈɛ	0.147
a	-	0.08
d	ɟ	0.158
ˈi	ˈiː	0.438
ˈr̩	ˈr̩	0.778
ˈɛ	ˈɛː	0.108
a	a	0.789
t	t	0.829
