Czech	Belarusian	probability
f	w	1.0
m̩	m	1.0
r̝	r	1.0
r̝̊	r	1.0
ɟ	ʣʲ	1.0
ɪ	ˈi	1.0
ʃ	ʂ	1.0
ʒ	ʐ	1.0
ʧ	ʧ	1.0
ˈl̩	ˈo_w	1.0
ˈuː	ˈo	1.0
a	a	0.271
d	ʣʲ	0.441
iː	ɨ	0.711
j	j	0.171
k	kʲ	0.181
s	sʲ	0.471
v	vʲ	0.341
z	z	0.571
ɛ	ˈæ	0.091
ɛ	a	0.361
ˈo	v_ˈo	0.071
m	mʲ	0.642
n	nʲ	0.182
p	pʲ	0.552
x	x	0.892
ɛ	æ	0.082
ˈo	a	0.442
ˈɛ	ˈɛ	0.052
ˈɛ	ˈe	0.352
b	bʲ	0.223
r	a_r	0.203
t	t	0.463
ʦ	ʧ	0.103
ˈaː	ˈa	0.23
ˈiː	ˈɨ	0.233
ˈɪ	ˈi	0.463
l	ɫ	0.394
o	ˈo	0.084
ɦ	ɣ_ˈo	0.154
ˈr̩	r	0.504
ˈu	ˈu	0.654
c	ʧ	0.145
c	ʦʲ	0.855
ɛ	ˈe	0.275
ɲ	-	0.225
ɲ	nʲ	0.775
ˈaː	a	0.385
ˈaː	ˈo	0.385
ˈɛ	æ	0.185
ˈɛː	ˈe	0.5
ˈɛː	a	0.5
o	a	0.916
ˈa	ˈa	0.076
ˈr̩	ˈɵ_r	0.496
ˈu	u	0.346
ˈɛ	ˈæ	0.076
ˈɛ	a	0.086
b	b	0.777
r	r	0.797
t	ʦʲ	0.537
ʦ	ʦ	0.897
ˈa	a	0.457
ˈiː	ˈe	0.767
ˈo	ˈo	0.487
ˈɛ	ˈɵ	0.07
ˈɪ	ˈɨ	0.537
l	ʌ_ɫ	0.178
l	lʲ	0.428
m	m	0.358
n	n	0.818
p	p	0.448
x	xʲ	0.108
ɦ	-	0.068
ɦ	ɣ	0.778
ˈa	ˈæ	0.288
a	ˈa	0.729
d	d	0.559
iː	i	0.289
j	-	0.829
k	k	0.819
s	s	0.529
v	v	0.659
z	zʲ	0.429
ɛ	e	0.149
ˈa	ˈo	0.179
ˈɛ	ˈo	0.179
