Luxembourgish	Westphalian	probability
χ	k	1.0
ˈɜɪ̯_s	ˈøː_t	1.0
ˈɛː	-	1.0
ˈɛ_k	ˈɛ	1.0
ˈɔ	ˈʊ	1.0
ˈɑʊ̯	ˈuː	1.0
ˈɑ_n_ə	ˈɪ	1.0
ˈæːʊ̯_s	ˈʊ_s	1.0
ˈæːʊ̯	ˈuː	1.0
ˈæːɪ̯	ˈiː	1.0
ˈæ	-	1.0
ˈuː_ɐ	ˈuːə̯	1.0
ˈuə̯	ˈa	1.0
ˈu_m	m	1.0
ˈu	ˈoː	1.0
ˈoː	ˈɔː	1.0
ˈiː_ɕ_t	ç	1.0
ˈiː_ɐ	ˈɪɛ̯	1.0
ˈiə̯	ˈɪɛ̯	1.0
ˈi	-	1.0
ˈeː_ɕ	ˈeː_k	1.0
ˈe_k	ˈʏ	1.0
ˈe	ˈɪ	1.0
ˈaː_χ	ˈa_x	1.0
ˈaː_ŋ	ˈa_ŋ	1.0
ˈaː_l	ˈɔ_l	1.0
ʦ_#>	t_#>	1.0
ʦ	t	1.0
ʃ_t	s_t	1.0
ʃ_#>	ʃ_k_#>	1.0
ʃ	ʃ	1.0
ə_ɕ_#>	ɪ_ç_#>	1.0
ə_v̥_#>	ʋ_#>	1.0
ə_f	v	1.0
ɕ	x	1.0
ɐ_#>	ɐ_#>	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ_k_ə	ŋ_k	1.0
ŋ	ŋ	1.0
z	z	1.0
w	ʋ	1.0
v̥_#>	v_#>	1.0
v	v	1.0
t_#>	t_#>	1.0
s_ə_n	t_n	1.0
s	t	1.0
p	p	1.0
n_ˈɜɪ̯	n_ˈaɪ̯	1.0
n_d̥	n	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ˈoː	l_ˈɔː	1.0
l_ə	l	1.0
l_#>	l_#>	1.0
l	l	1.0
j	j	1.0
f_#>	p_#>	1.0
f	-	1.0
d̥_#>	d_#>	1.0
d̥	t	1.0
<#_ˈɑɪ̯	<#_ˈuː	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ʦ	<#_t	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʀ	<#_r	1.0
<#_ɡ	<#_x	1.0
<#_z	<#_s	1.0
<#_v	<#_v	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
n_#>	n_#>	0.953
ʀ	r	0.826
ˈeː	ˈeː	0.778
ˈəʊ̯	ˈaʊ̯	0.75
t	t	0.75
n	n	0.75
ɕ_#>	k_#>	0.714
#>	ə_#>	0.643
ˈo	ˈʊ	0.636
ˈɑɪ̯	ˈiː	0.6
ə	-	0.593
ˈɑ_n	ˈɪ_n	0.571
ˈə	ˈɪ	0.538
ˈɑ	ˈa	0.538
s_#>	s_#>	0.538
ˈiː	ˈiɛ̯	0.5
ˈiː	-	0.5
s_#>	t_#>	0.462
ˈɑ_n	ˈa_n	0.429
ˈaː	ˈa	0.412
ˈɑɪ̯	ˈyː	0.4
ˈɜɪ̯	ˈaɪ̯	0.385
ˈaː	ˈaʊ̯	0.353
ˈɑ	ˈɪ	0.308
ɕ_#>	x_#>	0.286
ˈəʊ̯	ˈɔː	0.25
t	d	0.25
n	-	0.25
#>	n_#>	0.25
ˈaː	ˈaː	0.235
ˈeː	ˈɛ	0.222
ˈo	ˈuːə̯	0.182
ˈo	ˈuə̯	0.182
ʀ	-	0.174
ˈɜɪ̯	ˈœː	0.154
ˈɜɪ̯	ˈeː	0.154
ˈɜɪ̯	ˈaɪ̯_ɡ	0.154
ˈɜɪ̯	ˈaɪ̯_z	0.154
ˈə	ˈʏ	0.154
ˈə	ˈɛ	0.154
ˈə	-	0.154
ˈɑ	ˈɔ	0.154
ə	k	0.111
#>	t_#>	0.107
ə	ɡ	0.074
ə	v	0.074
ə	p	0.074
ə	d	0.074
