Logudorese	Logudorese	probability
ˈu_n	w_ˈẽ	1.0
ˈi_ɾ	ˈi	1.0
ˈi_ɛ	ˈi_w	1.0
ˈi_s	ˈɪ_l	1.0
ˈe_l	ˈa_l	1.0
ˈa_ɾ	ˈa	1.0
ʦ_a	s_ɔ	1.0
ʦ	-	1.0
ɾ_ɛ_#>	#>	1.0
ɾ_u	ə	1.0
ɾ_t	ˈɔ	1.0
ɾ_a	ʀ_ˈa	1.0
ɣ_u	k	1.0
ɛ̆	-	1.0
ɛ_#>	#>	1.0
ɖː_u	l_ɔ	1.0
ŋ	-	1.0
z_u	lː	1.0
ŭ	-	1.0
u_#>	#>	1.0
t_ɛ	j	1.0
t_u	s	1.0
s_u	ˈɔ_s	1.0
r	ʀ	1.0
p_ˈi	pʲ	1.0
o	-	1.0
n_u	ŋ	1.0
n_t	ŋ	1.0
m_ˈe	m_ˈe	1.0
m_ɛ_n_ɛ_#>	m_#>	1.0
m_b	ŋ_k	1.0
k_ɾ	k_l	1.0
k_ɛ	e	1.0
j_z	w_t	1.0
i_ɣ	ə	1.0
i_s	ɪ	1.0
<#_ʣ	<#_ʤ	1.0
<#_ɾ	<#_ʀ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#	<#_k	1.0
#>	ə_#>	1.0
p	p	0.875
i	-	0.875
t	t	0.867
f	f	0.864
m	m	0.846
e	-	0.75
d	d	0.733
s	s	0.714
ɾ	ʀ	0.712
a	ɔ	0.711
ɛ_ɾ	ʀ	0.7
ʣ	ʎ	0.667
ɖː	l	0.667
l	l	0.65
ɔ	-	0.636
<#_l	<#_l	0.632
ˈe	ˈe	0.625
ɣ_ɛ	s	0.625
z	-	0.615
s_t	t	0.6
j_u	ʎ	0.6
ˈa	ˈa	0.588
ɛ	ə	0.586
ˈo	w	0.579
ð	d	0.533
ˈu	ˈu	0.516
β	b	0.5
β	-	0.5
ˈɛ	ˈe	0.5
ɡ	ɡ	0.5
ɡ	-	0.5
ɔ̆	ə	0.5
ɔ̆	-	0.5
t_u_#>	j_#>	0.5
t_u_#>	#>	0.5
ð	-	0.467
k	ʧ	0.452
ɣ	-	0.444
s_t	ʧ	0.4
j_u	ʤ_ə	0.4
j	l	0.4
j	-	0.4
z	s	0.385
ɣ_ɛ	j	0.375
n	ŋ	0.368
n	n	0.368
<#_l	<#_ʎ	0.368
ˈi	ˈi	0.364
b	b	0.359
ˈi	ˈɪ	0.333
ʣ	ɲ	0.333
ɣ	ʤ	0.333
ɖː	-	0.333
nː	ŋ_d	0.333
nː	ŋ	0.333
nː	-	0.333
b	v	0.308
ɛ_ɾ	ˈi	0.3
ˈu	ˈy	0.29
ˈɛ	ˈɪ	0.286
s	ʧ	0.286
k	k	0.286
ɔ	u	0.273
u	ə	0.269
d	-	0.267
ˈe	ˈẽ	0.25
e	ʀ	0.25
ˈa	ˈã	0.235
u	-	0.231
ɣ	ˈɔ_k	0.222
ˈo	w_ˈɔ	0.211
l	-	0.2
j	ʎ	0.2
u	ɔ	0.192
ˈɔ	w	0.182
ɛ	-	0.172
a	ɒ	0.158
u	ŋ	0.154
ˈɔ	ˈɔ	0.152
ˈɔ	ˈœ	0.152
ˈi	ˈĩ	0.152
l	ˈa_l	0.15
k	s	0.143
f	fʲ	0.136
t	ŋ	0.133
b	ʤ	0.128
b	vʲ	0.128
ˈe	ˈɪ̃	0.125
p	-	0.125
i	ɪ	0.125
ˈɔ	ˈũ	0.121
ˈɔ	ˈu	0.121
ˈi	-	0.121
ˈɛ	ˈẽ	0.107
ˈɛ	-	0.107
ˈo	ˈœ	0.105
ˈo	ˈu	0.105
n	ˈɔ̃	0.105
ɛ	ɔ	0.103
ˈu	w	0.097
ˈu	-	0.097
ɾ	l	0.096
ˈɔ	w_ˈɔ	0.091
ɔ	ũ	0.091
n	ɲ	0.079
n	-	0.079
ˈa	ˈe_j	0.078
u	ʎ	0.077
u	w	0.077
m	ŋ	0.077
m	mʲ	0.077
b	ɡ	0.077
k	k_w	0.071
ɛ	ʀ	0.069
ɛ	j	0.069
ˈɔ	ˈa	0.061
ˈɔ	u	0.061
ˈɔ	-	0.061
ˈa	-	0.059
ɾ	w	0.058
ɾ	-	0.058
