Standard German	Swiss German	probability
ˈʊ	ˈu	1.0
ˈɛː	ˈæ	1.0
ˈœ	ˈø	1.0
ˈøː	ˈøː	1.0
ʦ	ʦ	1.0
ʁ	r	1.0
ɪ	i	1.0
ɡ_ʁ	ɡ̊_r	1.0
ə_n	ə	1.0
ə	ə	1.0
ç_ə	χ_ə	1.0
z̥	z̥	1.0
z_ə	s	1.0
z	z̥	1.0
v	ʋ	1.0
tʰ_ʁ	t_r	1.0
tʰ	t	1.0
p͡f	p͡f	1.0
p	p	1.0
n_ˈaː	n_ˈɒ	1.0
n_d̥	ŋ	1.0
m	m	1.0
l_t	l_t	1.0
kʰ	ɣ̊	1.0
k_s	χ_s	1.0
j	j	1.0
h	h	1.0
f_n	fː_ə	1.0
eː	æ	1.0
d̥	d̥	1.0
d	d̥	1.0
b	b̥	1.0
a	ə	1.0
l	l	0.959
ˈɪ	ˈi	0.887
t	t	0.879
ɡ	ɡ̊	0.87
ˈuː	ˈuə̯	0.845
ˈɛ	ˈæ	0.826
ˈa	ˈɒ	0.801
ŋ	ŋ	0.793
ɐ	r	0.747
ˈoː	ˈoː	0.727
ˈɔ	ˈo	0.723
ʃ	ʒ̊	0.721
ˈaː	ˈɒː	0.698
n	n	0.679
ˈʏ	ˈy	0.667
f	v̥	0.651
k	k͡χ	0.603
ˈaʊ̯	ˈuː	0.586
x	χ	0.56
ˈɔʏ̯	ˈyː	0.551
ˈaɪ̯	ˈæi̯	0.547
s	sː	0.514
ˈyː	ˈyə̯	0.497
ˈeː	ˈeː	0.495
x	χː	0.44
ˈaʊ̯	ˈau̯	0.414
ˈaɪ̯	ˈiː	0.4
k	ɡ̊ː	0.397
ˈiː	ˈyː	0.356
ˈiː	ˈiə̯	0.355
ç	ɡ̊	0.35
ˈʏ	-	0.333
ç	χ	0.304
n	ə	0.302
ˈiː	ˈi	0.29
ˈeː	ˈæː	0.283
f	f	0.28
ˈɔ	ˈu	0.277
ˈɔʏ̯	ˈy	0.273
ˈoː	ˈo	0.273
s	z̥	0.273
ˈyː	ˈyː	0.261
ɐ	ə_r	0.253
ˈyː	ˈy	0.242
ˈeː	ˈæ	0.222
ç	χː	0.217
s	ʃ	0.213
ŋ	ŋ_ɡ̊	0.207
ʃ	ʃː	0.183
ˈɔʏ̯	ˈøi̯	0.176
ˈɛ	ˈe	0.174
ˈaː	ˈoː	0.157
ˈuː	ˈyə̯	0.155
ˈaː	ˈɒ	0.145
ɡ	-	0.13
ç	ˈiə̯_χ	0.129
ˈa	ˈɒː	0.125
t	tː	0.121
ˈɪ	ˈy	0.113
ʃ	ʃ	0.095
ˈa	ˈæ	0.074
f	fː	0.069
ˈaɪ̯	-	0.052
