Lower Sorbian	Old Prussian	probability
ʦ	k	1.0
ʒ	ɡ	1.0
ʑ	d	1.0
ʐ̊	ɡ_i	1.0
ʐ	ɡ	1.0
ʂ	r_au̯	1.0
ɲ	aː	1.0
ɡ̊	ɡ_i	1.0
ɡ	ɡ	1.0
ɛ	-	1.0
x	s	1.0
w	l	1.0
t	t	1.0
s	s	1.0
r	r	1.0
pʲ	p	1.0
p	p	1.0
nʲ	a_j	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
l	l	1.0
i	oːu̯	1.0
d̥	d	1.0
d	d	1.0
b	b	1.0
a_d	ai̯	1.0
v	v	0.845
z	z	0.805
j	-	0.788
ɕ	t	0.756
k	k	0.741
vʲ	v	0.599
e	n	0.5
ɔ	a	0.493
ɨ	-	0.423
u	u	0.41
vʲ	w	0.401
ɪ	i_n	0.32
ɪ	-	0.32
a	o	0.313
e	e	0.263
k	-	0.259
u	-	0.252
ɕ	t_o	0.244
e	-	0.237
ɪ	e_n	0.23
a	e	0.221
j	j	0.212
ɨ	a	0.211
a	a	0.201
z	ɡ	0.195
a	-	0.185
ɨ	uː	0.183
ɨ	u	0.183
u	ŋ	0.178
ɔ	e	0.159
u	au̯	0.159
v	a	0.155
ɪ	aːi̯	0.131
ɔ	-	0.117
ɔ	o	0.116
ɔ	i	0.116
a	a_n	0.062
